{'短评内容': '很好，住的很舒服！以后就让京东定酒店了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好很满意女朋友也喜欢原先也住过这个酒店所以这次还住这个酒店', '短评打分': 5}
{'短评内容': '出行方便，公园对过，卫生干净，服务态度好。', '短评打分': 5}
{'短评内容': '和朋友考试去的，位置不错，价格也不错', '短评打分': 5}
{'短评内容': '大床房的床有点小，酒店位置，周边环境都还不错，酒店的服务也很不错，房间的隔音效果不太好。总体说还行吧。', '短评打分': 5}
{'短评内容': '很好，但是进到里面，房间里面电话马上响，问要足疗保健不，还有特服，，太可怕了', '短评打分': 5}
{'短评内容': '很舒适的环境噢', '短评打分': 5}
{'短评内容': '开会住的酒店，交通还挺方便', '短评打分': 4}
{'短评内容': '还行，就是周边买吃的地方有点', '短评打分': 4}
{'短评内容': '一般般，仅价格实惠而已', '短评打分': 2}
{'短评内容': '一般般，价格实惠。', '短评打分': 2}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '早餐不如以前了，设施都有点老化。不过位置不错，价位也不高。', '短评打分': 4}
{'短评内容': '酒店是在好位置 但是酒店主要住的都是培新人员 晚上很吵 不适合商务居住 另外房间隔音不好 地毯很脏 一次性拖鞋没有  晚上一直被打扰 结账前台没有足够经验 钱也给错 还好自己提醒  另外房间内有空调还是什么设备轻微异响，导致无法入睡', '短评打分': 3}
{'短评内容': '总体还可以吧  前台的服务挺好的', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '房间还行，床非常舒服', '短评打分': 5}
{'短评内容': '房间还行，不过洗澡间太小了，洗手间也没有隔开，仅仅一个帘子', '短评打分': 5}
{'短评内容': '价格实惠，入住方便快捷，交通便利', '短评打分': 5}
{'短评内容': '第二次入住了，卫生干净，市中心。不过晚上会有电话问要不要按摩', '短评打分': 5}
{'短评内容': '环境不错，空调温度适合，睡的挺舒服，洗澡间偏小，房屋隔音效果偏差', '短评打分': 5}
{'短评内容': '环境很好，也很干净', '短评打分': 3}
{'短评内容': '隔音超级不好，背后的房间放电视的声音都听的到。\n\n而且设施太陈旧了吧！！电流声都听的到，，浴室和卧室没有隔断也非常不爽。。。\n\n总之住的不好！！', '短评打分': 1}
{'短评内容': '在市中心，酒店一般，但对得起这个价格！呵呵', '短评打分': 5}
{'短评内容': '我住过的最差的一家酒店，房间设施陈旧，淋浴和卫生间与房间连个隔断都没有，全在一起，还没窗户，就是旧写字楼改造的，房间一股霉味儿，楼道里还能看见按摩小姐，印象坏透了，强烈不推荐！！！', '短评打分': 1}
{'短评内容': '我觉得卫生条件，房间的环境挺不错的~只是觉得隔音实在是太差了~别说门外有人路过还是有人总是大声说话，就是晚上我都能听见隔壁打呼噜的声音~这点让我比较无语~其他都还不错~服务人员的服务态度特挺不错的~门口浴缸的小鱼实在太可爱了~~~', '短评打分': 5}
{'短评内容': '很满意，交通也方便。', '短评打分': 3}
{'短评内容': '酒店很舒适，卫生很干净，隔音稍差，外面说话屋里听的很清楚。前台没有具体标价及世界时间。', '短评打分': 3}
{'短评内容': '位置不错，打车方便，房间比较干净，餐饮也方便。', '短评打分': 5}
{'短评内容': '位置很不错，设施环境还不错，感觉行政单间和商务单间格局是一样的，可能就多了免费杂志吧，不过送了小礼物，挺好！', '短评打分': 5}
{'短评内容': '比较满意！', '短评打分': 3}
{'短评内容': '房间不错，不过门口停车太贵了。30过夜。', '短评打分': 3}
{'短评内容': '条件一般，服务不错', '短评打分': 3}
{'短评内容': '还不错，就是有点老，希望服务能在好一些就更好了。', '短评打分': 5}
{'短评内容': '干净整洁，饭菜不错！', '短评打分': 3}
{'短评内容': '酒店还不错,性价比较高!', '短评打分': 3}
{'短评内容': '房间挺不错，就是透气有点不好，只有顶层窗户可以打开', '短评打分': 5}
{'短评内容': '这家酒店门面太小了，到了跟前竟没有它的门脸在哪儿，一度想放弃去别家，不过进去之后才发现里面装修和房间还挺多。稍贵。', '短评打分': 5}
{'短评内容': '地理位置很优越，房间比较大，很不错。', '短评打分': 3}
{'短评内容': '春节期间特价房入住的，价格很优惠，四星的标准，交通方便，设施不错，服务也不错！推荐', '短评打分': 5}
{'短评内容': '环境不错，性价比还算高，交通便利，值得推介！！！！！！！！！！！！！！ \n', '短评打分': 5}
{'短评内容': '酒店位置很好，在市中心，内部环境也不错，很干净。就是我住的房间3G信号不是很好', '短评打分': 5}
{'短评内容': '物美价廉，还不错，出门比较方便，地理位置较好', '短评打分': 5}
{'短评内容': '房间够大,早餐不好.\n我曾无意间走到一个写着消毒间的房间,里面居然在清洗一次性的拖鞋.洗好后晾在绳子上.\n我不怀疑酒店的消毒措施,不过要环保,不如提供胶质拖鞋,也可以很好的消毒嘛.', '短评打分': 1}
{'短评内容': '位置不错，房间也很好，就是酒店门口太小了，找了一会儿才找到', '短评打分': 5}
{'短评内容': '很是不错的酒店，位置好，而且房间干净整洁', '短评打分': 5}
{'短评内容': '不错，环境很好，里北国商城很近，不错。\n不足是没有停车场', '短评打分': 5}
{'短评内容': '地理位置优越，房间设置良好！就是服务人员态度并不算非常热情！', '短评打分': 5}
{'短评内容': '房间性价比不错，早餐也可以。', '短评打分': 3}
{'短评内容': '环境不错，通风效果不好。服务质量有待提高。性价比很高。', '短评打分': 5}
{'短评内容': '平安夜下午6点半才打电话预定的，大约7点半到的该酒店，酒店旁边非常繁华，紧邻北国商圈，门脸有些小，但是一进去超大，前台很快的办理的入住登记，我们共三间房，当天的特价房215元，不含早餐（旁边有永和豆浆，早晨起来可以自己去旁边吃），房费和押金共交了1500元。房间在7楼，房间给人感觉小巧、干净、精致，床很软，很安静，壁挂的电视稍有些小了，总体入住很满意，我个人推荐这家，真的不错！', '短评打分': 5}
{'短评内容': '服务很好，硬件一般，下次还会选择', '短评打分': 3}
{'短评内容': '服务很不错，性价比高', '短评打分': 3}
{'短评内容': '酒店干净价格适中', '短评打分': 3}
{'短评内容': '不错，安静，干净，周边环境也不错，服务态度也很好，性价比高', '短评打分': 5}
{'短评内容': '不错的酒店，干净，安静，舒适，性价比较高，推荐', '短评打分': 5}
{'短评内容': '环境不错。装修的也有档次。', '短评打分': 3}
{'短评内容': '酒店位置不错，就在商业区离火车、客运站都很近。店里员工服务态度不错。选了198元和268元 两间。但是个人认为还是198的看起来更好一点。268有点廉价旅馆的味道，多了一个外窗。198是在天井位置，窗户打不开。总体来说，还不错，下次去还会去。', '短评打分': 5}
{'短评内容': '电视有点小，看着不太舒服，淋浴房也比较简陋，除了位置好，有点不值房价', '短评打分': 1}
{'短评内容': '酒店地处石家庄市的繁华闹市区，周边都是五星级酒店，这家酒店的性价比特性就显出来了。酒店非常不错，服务人员礼貌，房间干净整洁，是非常不错的一家酒店。唯一的缺点是晚上的骚扰电话，与这家酒店的格调不相称，希望改进', '短评打分': 5}
{'短评内容': '不错的酒店，前台服务的态度很好，值得入住，地理位置也很优越，出行购物很方便', '短评打分': 5}
{'短评内容': '除了毛巾清洗的问题以外，没什么大毛病。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '网速太慢，毛巾太脏\n。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '还可以，一般。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'bucuo ...............................................', '短评打分': 5}
