{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '没早餐，位置好找，停车方便，卫生还可以。', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 4}
{'短评内容': '经常住，很好', '短评打分': 5}
{'短评内容': '十点多吵到1点多也没人来处理，这很无语', '短评打分': 2}
{'短评内容': '环境优雅，舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '经常住，服务挺好的！', '短评打分': 5}
{'短评内容': '除了有小强，其他还好', '短评打分': 5}
{'短评内容': '不错不错不错！', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '房间很干净，不错', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '因为是航展期间，价格就不用说了，服务可以。', '短评打分': 5}
{'短评内容': '很好的酒店，多次入住了，房间挺干净，服务人员很有礼貌，酒店房间中还有一个备用的充电器，很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '住的豪华套房，房间真的有50方那么大，虽然远点儿，但是远比海泉湾的酒店实惠。服务员也很nice，而且房间也很干净整洁，总体来说非常满意！', '短评打分': 5}
{'短评内容': '性价比好', '短评打分': 4}
{'短评内容': '附近性价比很高的酒店，就是比较偏僻，吃饭的地方比较少。', '短评打分': 5}
{'短评内容': '平沙比较小，这个不错。', '短评打分': 5}
{'短评内容': '价格便宜，房间干净，没有什么异味，全五星', '短评打分': 5}
{'短评内容': '有点小贵，卫生、装修不怎么样', '短评打分': 3}
{'短评内容': '还可以吧。可以免费停车，靠马路，没早餐。离海泉湾不远', '短评打分': 5}
{'短评内容': '选址比较偏，虽然觉得有点小贵，但也不会太离谱', '短评打分': 5}
{'短评内容': '总体感觉不错！不算太难找，去海泉湾的话很方便只有10分钟路程！附近还有海鲜店，吃完还能买点烟花玩玩~就是房内没有一次性用具！记得自带', '短评打分': 3}
{'短评内容': ' 门口有公交，去海泉湾很方便。服务态度不错，环境较干凈，就是临近马路，窗户隔音一般。', '短评打分': 3}
{'短评内容': '这样的价格不该要求太多，但是实在是要什么没什么', '短评打分': 1}
{'短评内容': '酒店房间大小适中，配套设施一般，周边交通挺便利的，空气清新，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '房间电视，空调，上网都可以，服务很好，体贴周到，态度都很友善，配套硬件设施齐全，管理不错', '短评打分': 5}
