{'descr': '环境优美，交通便利，服务周到', 'star': 5}
{'descr': '房间有点异味，而且电视不是液晶的。', 'star': 3}
{'descr': '环境不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '卫生间洗浴时会积水', 'star': 3}
{'descr': '住的非常舒服，房间也很干净，环境很安静，度过了很愉快的两天，就是没病下去，我带的羊腿化了。。', 'star': 5}
{'descr': '服务很好，', 'star': 5}
{'descr': '明明付钱订过了，到的时候，去却说没有房间，最后竟然给我们安排了一件间漏雨的房间！', 'star': 2}
{'descr': '还不错', 'star': 4}
{'descr': '老牌子设施还是不错的，隔音效果也不错，卫生安全都还可以。被套稍微有点不干净，希望可以改善。', 'star': 5}
{'descr': '环境不错，位置好找，服务也蛮不错的。就是明明写的一点前退房，到店了说携程网上订的都是十二点之前退房。入住还是晚上九点以后住的，十二点退房有点过于早了，不管是携程网还是美团网订的都花钱了。真是无语。', 'star': 5}
{'descr': '临街窗户不太隔音，其他方面很满意的。', 'star': 5}
{'descr': '还可以，不过不喜欢一次性的杯子', 'star': 4}
{'descr': '干净，整洁，舒适，服务态度好，', 'star': 5}
{'descr': '服务还行啊，就是电视不咋地，竟然还是大笨头', 'star': 5}
{'descr': '一般吧，不过金卡打折还是不错的', 'star': 4}
{'descr': '不错，价格合适，环境也可以，地理位置也不错', 'star': 5}
{'descr': '前台态度很好  房间也不错 周围很方便', 'star': 5}
{'descr': '宾馆干净、服务态度超好', 'star': 4}
{'descr': '酒店非常干净，早餐也不错', 'star': 5}
{'descr': '酒店非常干净，早餐也不错', 'star': 5}
{'descr': '酒店还不错，挺好的，下次继续入住啊！！！！！！！！！！！！！', 'star': 5}
{'descr': '对面就是内内工大，交通也方便，但是呼市打车~不说了', 'star': 5}
{'descr': '干净，方便房间里还有俩瓶免费矿泉水，就是没有无线宽带，是个遗憾', 'star': 5}
{'descr': '房间有点潮，服务很好。', 'star': 3}
{'descr': '酒店不错很干净，服务员服务很周到，价格很合理。', 'star': 5}
{'descr': '这家酒店不错，但一楼的电脑上网速度很慢，服务很不错。设施齐全，就是被子厚些，睡觉太热。', 'star': 5}
{'descr': '这家酒店在内蒙古工业大学附近，酒店不错，服务很好，一楼有电脑上网。', 'star': 5}
{'descr': '抱歉没有及时评价,环境很好,如家一如既往的质量保证', 'star': 5}
{'descr': '环境不错，也很安静，旁边各种饭店，超市，小吃都很方面。', 'star': 5}
{'descr': '提前知道没有洗漱用品 没想到还没有拖鞋 我穿了靴子去 好纠结呐~', 'star': 5}
{'descr': '性价比不错的店 不过刚刚涨价了 呵呵 位置还可以', 'star': 5}
{'descr': '酒店环境还不错就是小了点', 'star': 3}
{'descr': '非常干净，很安静，很暖和，前台服务员很亲切，离天坛很近哦！', 'star': 5}
{'descr': '地点离天坛东门不算远，步行10分钟吧。条件一般但该有的都有。我住的双人房面积12平方米吧但空调的室外机声音很大。', 'star': 5}
{'descr': '经济使用型，麻雀虽小五脏俱全，对于只是休息没有高要求的人很适合。', 'star': 5}
{'descr': '性价比不错！缺点没有一次性用品', 'star': 3}
{'descr': '房间强烈不推荐单人间B，太小了，没窗户很闷。其他不错，服务态度也很好，性价比还是可以的。就是隔音不好，晚上经常能听到别的房间传出的各种声音。', 'star': 5}
{'descr': '很不错的呢！价格很合理，这样的价位在北京还是很给力的！', 'star': 5}
{'descr': '酒店位置还算不错~离地铁公交大概步行五到十分钟~酒店很整洁干净，工作人员也很友好~~房间相比较而言~还是比较宽敞的~就是没有窗户~感觉有点闷~没有自然风。', 'star': 5}
{'descr': '环境不错，服务态度也很好，就是wifi的信号在角落的房间不是很好。', 'star': 5}
{'descr': '环境很好，性价比很高，就是无线网络如果再稳定一些就好了。', 'star': 5}
{'descr': '房间挺干净，环境很好，性价比很高，非常不错的快捷酒店~', 'star': 5}
{'descr': '酒店位置不错，卫生还是一样的好，周边也有不少小吃，比较方便，不过第一次来不是太好找。', 'star': 5}
{'descr': '百时快捷酒店北京天坛店还不错，我订的单人间，虽然不大，但洗手间浴室都有，房间干净整洁，整体感觉还行。', 'star': 3}
{'descr': '干净整洁，交通便利，服务态度不错，但隔音不好', 'star': 5}
{'descr': '房间虽小,但满干净的,同价位的相比汉庭海友客栈性价比要高!因为提供浴巾和地巾,无洗漱用品.', 'star': 5}
{'descr': '房雖小但乾淨，又有對外窗。才128元。值得。缺點就是離地鐵應該有9百公尺。有點遠。', 'star': 3}
{'descr': '周围交通便利，房间有点小但价格合适而且干净整洁', 'star': 5}
{'descr': '价格很合适，干净整洁，交通便利，就是隔音效果不太好', 'star': 5}
{'descr': '很舒服,就是位置有点台里面了，其他都很好，网络有点不稳定。。', 'star': 5}
{'descr': '几好，服务几周到  唯一差的就是拖鞋要自己买  有事找工作人员要下楼 房间里面没有联系前台的电话', 'star': 5}
{'descr': '不好，酒店位置一般，价格也不低，隔音差得很，屋里没有电话，设施不好', 'star': 1}
{'descr': '酒店很干境,环境还可以', 'star': 3}
{'descr': '门口的车停得进门都困难，网速很慢，电视竟然有很多台画面是不动的……', 'star': 1}
