{'短评内容': '一个字，烂！俩个字超烂！入户大门差点关不上，卫生间门关不上，花洒只能拿在事上洗澡，卫生间光线昏暗，抽风机坏的，房间四盏射灯有俩盏不亮，找前台小妹要灯泡只给一个，说明是自己更换好说歹说才给了俩个，楼到的一堆垃圾从我们当天12点多看到到第二天退房都看到还在。半夜三、四点被其他从外面回来的客人吵醒两三次。车还得停到一两百米外的汉庭酒店。要不是房费已经被携程预先扣了，真不会入住。没有下次！', '短评打分': 1}
{'短评内容': '房间很小还不错', '短评打分': 5}
{'短评内容': '床很软服务也不错', '短评打分': 5}
{'短评内容': '环境差，灯只一个会亮，房间小！隔音不好，有浓浓的恶臭味！', '短评打分': 1}
{'短评内容': '真的很坑爹啊', '短评打分': 1}
{'短评内容': '性价比一般般了', '短评打分': 4}
{'短评内容': '只能说可以住，谈不上有多么好', '短评打分': 3}
{'短评内容': '一般化，看消费人群.......', '短评打分': 5}
{'短评内容': '小房间还蛮好的', '短评打分': 4}
{'短评内容': '空间较小，很安静，无电梯，行李多的话不推荐', '短评打分': 3}
{'短评内容': '恍恍惚惚恍恍惚惚', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '也就那样吧，晚上回去都没热水，洗浴房下水也不行，一进房间就一股难闻的气味', '短评打分': 4}
