{'短评内容': '不错早餐也很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '早餐挺丰富，性价比高，', '短评打分': 4}
{'短评内容': '门口公交车，很方便', '短评打分': 5}
{'短评内容': '酒店周边并不是很方便，不过酒店环境还可以，算是经济适用型，服务也比较周到，性价比不错!', '短评打分': 4}
{'短评内容': '房间很好，干净，整洁，交通方便，打五星。出门在外，能订到这样的酒店，既便宜，还舒适，真的要感谢携程网。谢谢。', '短评打分': 5}
{'短评内容': '不错，始终不渝，再接再厉', '短评打分': 5}
{'短评内容': '卫生。饭菜可口', '短评打分': 5}
{'短评内容': '酒店卫生，安静', '短评打分': 5}
{'短评内容': '实惠型酒店', '短评打分': 4}
{'短评内容': '非常满意下次过来还会住这里！', '短评打分': 5}
{'短评内容': '设施旧了点 不隔音 整体还比较清爽', '短评打分': 4}
{'短评内容': '还不错，满经济实惠的，下次还会再去', '短评打分': 5}
{'短评内容': '酒店出乎意料的好，环境宽敞，价格非常实惠', '短评打分': 5}
{'短评内容': '集体活动预订的酒店，觉得价格挺便宜的。到了酒店觉得性价比还是挺高的， 设施齐全，前台服务也不错，最后退房因为第二天自由活动 大家各自退房 有一大早就退的 也有房间到中午再退 但费用是集中结算的 前台给予很耐心和详细的解答 手续办理起来也挺方便的 总体来说不错 下次来海宁可以继续选这家', '短评打分': 5}
{'短评内容': '非常满意此次住宿，如有机会去海宁还会入', '短评打分': 5}
{'短评内容': '还不错啦啊', '短评打分': 4}
{'短评内容': '住在这里很方便，地理位置去海宁皮革城很近，价格也可以', '短评打分': 5}
{'短评内容': '房间还行，但是蚊子很多。早餐一般，离皮草批发城较近，但是我们是开车去的，较方便。', '短评打分': 5}
{'短评内容': '不错的酒店！服务好、卫生好，步行十几分钟就可以到皮革城的。', '短评打分': 3}
{'短评内容': '因为住得很满意，所以第二天又加了一天，呵呵。', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店，前台服务不错，房间很大很干净，价格适中。从火车站打车过来也就是八元左右。', '短评打分': 5}
{'短评内容': '房间总体还好,卫生干净,有网没电脑。', '短评打分': 3}
{'短评内容': '性价比还是不错的，唯一的遗憾是位置太偏，吃饭不方便', '短评打分': 5}
{'短评内容': '服务好，房间很大，单人间有电脑，就是重启后数据都没了。。。早餐还不错，就是种类少了点。', '短评打分': 5}
{'短评内容': '酒店还不错，离皮革城步行大概十来分钟吧！只是带窗的房都没了，定了没窗的，里面到不闷，酒店早餐不错，种类挺多，味道也不错！', '短评打分': 3}
{'短评内容': '性价比很高。房价大，床也大，还免费早餐，才178元。', '短评打分': 5}
{'短评内容': '很不错1，环境好，服务水平也高，设备新，齐全，方便停车，方便出行。', '短评打分': 5}
{'短评内容': '在酒店住了两天，是朋友推荐的。很不错。服务人员热情，房间很卫生，热水温度也高。唯一不足的是我的房间空调可能有问题，开起来声音很大，像排气扇，因为也用不上空调，也就忘了给客服讲。（308房）早餐也还可以，方便。离皮革城也很近。会向朋友推荐。', '短评打分': 5}
