{'短评内容': '1 房间电话打不通  2 早餐很差 3 住两晚服务人员竟然还没打扫卫生 需要本人跟前台说 来了之后随便打扫下 非常不走心 4 无线网信号差 总之再也不想来了', '短评打分': 1}
{'短评内容': '房间太破，服务员态度很好，早餐也可以。', '短评打分': 3}
{'短评内容': '早餐一般 很简单 酒店位置还好了离火车站很近 周边小吃很多还好了  房间设施陈旧 门口有停车场 停车比较方便', '短评打分': 3}
{'短评内容': '没有暖风', '短评打分': 3}
{'短评内容': '很差，很脏。水壶都是水垢电视坏的电话坏的什么都没有总之以后不会再住了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间配置空气净化器这一点很好！出行方便，出门坐16路免费公交车可到达高铁站。房间部分用品设施太旧早该更换了，房费含早餐还算可以。', '短评打分': 4}
{'短评内容': '环境也不错', '短评打分': 5}
{'短评内容': '还可以 位置不错', '短评打分': 5}
{'短评内容': '多次入住，主要是离办事的单位近。宾馆基础不错，前台和早餐厅的服务人员工作态度和专业技术能力都不错。就是房间里面的设施需要更新了。你懂的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不干净.什么都没有了。깨끗하지 않아요 단지 싼맛에 자면 좋음', '短评打分': 2}
{'短评内容': '酒店不错，就是赶上了一个大型会议，人很多，吃饭有点挤.', '短评打分': 5}
{'短评内容': '设备有些陈旧，隔音一般，价位还可以，好', '短评打分': 2}
{'短评内容': '服务态度很好房间也大，周边交通方便', '短评打分': 4}
