{'descr': '还是可以的', 'star': 5}
{'descr': '隔音太差，没有饮用水', 'star': 4}
{'descr': '，总体来说还是很不错的。', 'star': 4}
{'descr': '还可以，地理位置好，就是信号太差', 'star': 5}
{'descr': '酒店位置比较偏，很安静', 'star': 4}
{'descr': '服务态度差好差劲', 'star': 5}
{'descr': '房间设施齐全！服务也很好！给提行李什么的！', 'star': 4}
{'descr': '环境一般，很吵，设备老化。一早就有人在大吵大闹，服务员也在吵，不过离地铁口很近约700米。也算方便。', 'star': 4}
{'descr': '卫生还可以，服务员也热情，就是地理位置不太好，离地铁口远，门头不显眼，周围有点乱，房间的话设备比较老旧，看着暗沉，房间还算够大，跟快捷酒店比起来的话', 'star': 3}
{'descr': '在老房子里，没有电梯，有行李的话要累死人，绝对不推荐。没电梯应该先表示啊。服务人员态度很差，好像他们不是服务客人，是来管理你们的。其他话不多说了，上海宾馆到处都是，有很多其他选择，这里就算了吧。', 'star': 2}
{'descr': '每次来都住这家，离地铁站不远，到南京路，外滩也近，周边小吃也多，去哪里都方便的，', 'star': 5}
{'descr': '比较方便，那么晚了还能预定到，也要谢谢携程的客服人员，方便朋友入住了。平时一直经过，但是没注意到过，据说里面还是蛮干净的，希望越来越好，下次还会推荐的', 'star': 4}
{'descr': '环境还可以吧，必定是在上海这个大都市里，服务不错', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '房间干净，服务态度好。电视机有点旧。', 'star': 4}
{'descr': '因为地理位置好，所以性价比不高，宾馆很旧，设施陈旧，临时找的也就不挑了。', 'star': 3}
{'descr': '很好 住的很舒服', 'star': 5}
{'descr': '特价房十分坑爹啊，非常坏就对了，后来换了间双人房，感觉不错', 'star': 5}
{'descr': '环境很差，位置也不是很方便。房间感觉很不干净的样子', 'star': 1}
{'descr': '相当的失望，脏乱差是这家店的最佳评价。居然跟台球厅连在一起，设施破的不堪入目，根本就是个3类招待所，看哪儿都是脏乎乎的\n，双人被子小的一个人要露出半边身子，没有浴巾，要了送来一看，又黄又破，用来搽脚都嫌脏，本人有史以来住的最恶心的一家店。不知道怎么还会有好评，真晕。', 'star': 1}
{'descr': '之前帮朋友订的，因位置靠近南京路、人民广场，不知住的具体咋样啊？经济酒店，应该都差不多吧~', 'star': 5}
{'descr': '环境可以！服务也不错,离步行街也近', 'star': 3}
{'descr': '房间很好，离南京路很近，不错', 'star': 3}
{'descr': '＋房间较小，卫生间比较大，设施还算齐全，地理位置不错，相对性比价较好，对得起这个价格。', 'star': 3}
{'descr': '除了离南京路近，没有优点。不知道屋子里为什么要放那么多没用的家具，浪费空间。', 'star': 1}
{'descr': '价钱合适，地点也离南京路步行街比较近。晚上楼下路口还有烧烤，挺方便的。服务态度特别好，特别周到。卫生方面很好！', 'star': 5}
{'descr': '感觉不错', 'star': 3}
{'descr': '房间很小，设施很久很差，只是近南京路，出行很便当。', 'star': 5}
{'descr': '交通方便，卫生，安静，不错！缺点：房间不算大', 'star': 5}
{'descr': '地理位置还行，在南京路北面500米左右，但房间面积小，比较压抑。', 'star': 5}
{'descr': '房间还算干净，这个地段性价比可以', 'star': 3}
{'descr': '房间挺干净（就是室内电源插座少点，要是充电的设备比较多的话，还是很麻烦的），周围吃的玩的都有，步行5分钟就能到达南京路。离外滩也比较近，要是你打不到车的话，20分钟绝对能走到。', 'star': 5}
{'descr': '交通方便，地段好，室内环境不错。', 'star': 3}
{'descr': ' 我已入住离人民广场很近就是楼高有行李不方便', 'star': 3}
{'descr': '离南京街很近。交通也比较便捷。条件嘛对得起这个价钱。很好', 'star': 5}
{'descr': '，服务很好，都不错', 'star': 3}
{'descr': '十京晶宾馆没电梯！', 'star': 3}
{'descr': '还不错的吧.', 'star': 3}
{'descr': '房间不大，不过挺干净的，位置近地铁一号线，房间全在三楼，对面是台球厅，二楼是网吧，其它都还好！', 'star': 5}
{'descr': '经济，干净，安静，网络不给力，慢！', 'star': 3}
{'descr': '位置很好 ，很方便，性价比 比人民广场附近的酒店，高多了。强烈推荐！', 'star': 5}
{'descr': '出行和购物很方便,床单和被套的图案很温馨,被子也很柔暖.\n设施稍微陈旧,房间小.', 'star': 5}
{'descr': '  房间比较干净，服务员很好，房间价位适中，离南京路步行街很近很方便，唯独就是没有电梯。', 'star': 3}
{'descr': '房间比较干净，就是需要走楼梯，服务员都很好，总体感觉比较好。', 'star': 3}
{'descr': '虽然在繁华地段，但酒店的环境真是不敢恭维，有些陈旧。', 'star': 1}
{'descr': '宾馆交通方便，服务很小！', 'star': 3}
{'descr': '订单居然没查到，临时换到分店，环境一般，隔音差', 'star': 3}
{'descr': '地理位置非常方便', 'star': 3}
{'descr': '地理位置不是特别好找，离地铁口要走一段\n\n服务人员很热情，二楼有桌球室，空了可以打打桌球\n\n房间还比较干净，性价比不错的。', 'star': 5}
{'descr': '地段不错，酒店整体还不错，洗手间有点异味。', 'star': 5}
{'descr': '房间在4楼，环境还可以。', 'star': 3}
{'descr': '除了地段比较好之外，最好别去。酒店很旧，卫生设施及床单感觉比较脏，而且沿马路很吵。', 'star': 1}
{'descr': '地理位置确实非常的便利，就是房间比较小，晚上会吵些，可能与我入住当天是跨年夜有关吧，就凭交通便利下次也还会入住并推荐给朋友，价格也是很有竞争力的~房间卫生收拾的和及时！', 'star': 5}
{'descr': '还可以位置', 'star': 3}
{'descr': '酒店前台两个美女都很好，很客气。。就是这个酒店感觉好阴森，不建议一个单身女性住，晚上住着害怕。。。', 'star': 1}
{'descr': '设施非常陈旧，墙上的电插孔很少，基本是坏的，', 'star': 1}
{'descr': '离人民广场，步行街都很近，外滩也很近，值得推荐一下', 'star': 5}
{'descr': '这家店卫生和早餐都还行！就是环境差了些，周围是娱乐场，离南京路还有很长一大段！交通也不方便！', 'star': 1}
{'descr': '酒店的地理位置非常的不错，但是没有电梯东西多实在的不方便，房间比较的陈旧，但性价比还是不错的。', 'star': 5}
{'descr': '凯华世家宾馆干净、地域不错，方便。', 'star': 3}
{'descr': '离车站近。好找。房间也挺干净。\n唯一的缺点是没有电梯。没有行李也无所谓。\n行李多了有点困难。', 'star': 5}
{'descr': '环境不错，地理位置很好，房间也很正洁，价钱很公道，比想象中好很多，真是很不错的宾馆。', 'star': 5}
{'descr': '位置相当好，地处著名的“中华商业第一街”南京路步行街附近，并紧靠著名旅游景点外滩，去城隍庙也很方便。附近很多地铁，基本是上海的中心了。性价比很高。房间还行。', 'star': 5}
{'descr': '距离人民广场地铁很近，步行8分钟，去南京路，外滩很方便步行就到。服务周到，下雨有雨伞给用，房间整洁，很安静，早餐也可口。下次还会选择这里。', 'star': 5}
{'descr': '价格适中.服务态度不错.离人民广场和南京路很近', 'star': 5}
{'descr': '还好。住得舒适的。下次去上海还住那里。。。', 'star': 5}
{'descr': '我们所订房间已住下。', 'star': 3}
{'descr': '我己入住京晶房间很干净', 'star': 3}
{'descr': '干净 服务好 很值这个价 交通方便 真的离南京路和外滩很近', 'star': 5}
{'descr': '地点方便，价格适中，有廉价早餐，房间舒适，服务较好，适宜工薪族选择。', 'star': 3}
{'descr': '个人觉得不错。很温馨。就是前台和住的离得有点远。', 'star': 5}
{'descr': '环境挺好的 180的大床我们三个人住 很宽敞 推荐哦 以后去还会入住的', 'star': 5}
{'descr': '房间很小，卫生不彻底，外面噪音太大，床上用品清洁不够，早餐的种类不够多，牛奶豆浆的味道很糟糕。', 'star': 1}
{'descr': '位置不错距离人民广场和南京路很近，房间也很大。只是没有电梯…', 'star': 3}
{'descr': '房间比较大,但是比较旧.楼下是网吧.卫生洗浴用品太旧..', 'star': 5}
{'descr': '还行的，睡的挺安静，交通非常的方便的，床也挺舒服的，就是一上楼的时候2。3楼的环境不太喜欢', 'star': 5}
{'descr': '离南京路步行街真的很近了，服务也挺好的，虽然地方小了一点，不过总体满意！', 'star': 5}
{'descr': '还可以的,住的地方蛮安静的，交通很放便,只是二楼三楼是其他行业有点小失望', 'star': 3}
{'descr': '地理位置不错，在南京东路附近，整体都说的过去，我不推荐的理由是因为房间和卫生间有蟑螂……………………如果不在意的人可以入住，其他都不错，还有就是床特别硬', 'star': 1}
{'descr': '还行，地点好，交通方便，服务也较热情。就是房间小，特别是网速很慢。\n另外我的房间朝里，可能沿街的会吵吧。', 'star': 5}
{'descr': '交通很便利,很不错', 'star': 3}
{'descr': '服务非常好这家，我和爸爸妈妈还有我的小儿子定的家庭套房一张1.5宽的大床和1.2宽的大床住的非常舒服很实惠的价格。离南京路真的很近走路不到10分就到了。', 'star': 5}
{'descr': '该酒店位置不错,离南京路和人民广场\\苏州河很近,交通便利,酒店价格非常适合工薪阶层旅游居住,酒店服务不错,适合大家居住.', 'star': 5}
{'descr': '服务较差，登记信息不全，如已购买了早餐，未及时给发早餐券、电脑未登记购买信息，导致结账时被查询且影响时间，另外还无法开具发票，不推荐。', 'star': 1}
{'descr': '酒店地理位置很好，距离外滩、南京路步行街等都很近，卫生不错，就是空间有些狭小，挺安静的，交通很方便，离地铁近', 'star': 5}
{'descr': '服务态度不错 地理位置也不错 就是房间设施老旧了些 性价比还行', 'star': 3}
{'descr': '位置很好，房间太小，空调太吵。位置很好，房间太小，空调太吵。位置很好，房间太小，空调太吵。位置很好，房间太小，空调太吵。位置很好，房间太小，空调太吵。', 'star': 5}
