{'短评内容': '酒店不错，房间挺有特色', '短评打分': 5}
{'短评内容': '前台态度不好 房间空调不冷 一直不给处理 就像蒸桑拿一样 外面都比房间凉快 后来给我们换了一个小房间 被子味道很重 总之就是很不好的消费', '短评打分': 3}
{'短评内容': '蚊子多', '短评打分': 4}
{'短评内容': '总体还算可以。卫生一般，但装修感觉还不错，特别是公共区域的。设备齐全，满足基本住宿条件。麻雀虽小五脏俱全。', '短评打分': 4}
{'短评内容': '可以  蛮好的', '短评打分': 5}
{'短评内容': '环境什么都很好，不过千万别定没窗的房间啦。', '短评打分': 4}
{'短评内容': '干净整洁有空调，工作人员态度好，隔音有点不好', '短评打分': 5}
{'短评内容': '不错，就是很吵', '短评打分': 5}
{'短评内容': '（差评）预订酒店携程支付完了之后，到店还要再次支付，携程没有给予一点信息提示，还要自己打电话去了解。网上看特价78元，预订返点5元，最终的预订价格是88元，几天过去了1毛都没返点，已经不是头一回这样了，大家看图就知道，对于携程的返点个人已经不抱任何希望了，之前点过一次差评，被携程内部给隐藏了，说白了就是骗子！我希望携程能自己反省，不要什么事情就打电话给客户讲一堆大道理！！客户不是傻子！！', '短评打分': 5}
{'短评内容': '环境不错，价格合适', '短评打分': 5}
{'短评内容': '很好 一直住这家', '短评打分': 5}
{'短评内容': '酒店房间比较旧，墙上脏，被子潮湿，楼上卫生间冲水声音特别大，影响休息。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的老爸哥哥过来住了一晚挺赶紧的，装饰比较小清新', '短评打分': 3}
{'短评内容': '值得一去，交通方便哦！', '短评打分': 3}
{'短评内容': '酒店房间较小，靠马路边也显得比较吵，厕所比较小，没有门。不过卫生还算干净，酒店内风格独特，在景区附近，入住还算OK，不过酒店要征收当地税收，在厦门入住酒店基本都会有要入住顾客征税的现象。', '短评打分': 5}
{'短评内容': '不错，挺满意的，环境卫生什么的都不错，商务大床房的床铺很大。下次去厦门还会入住的', '短评打分': 5}
{'短评内容': '环境优美舒适温馨 设计得很特别 设备也齐全 不足的是位置有些许偏僻 很多计程车司机都不会路 需要改进的是服务态度不够亲切和善', '短评打分': 5}
{'短评内容': '还好，就是厕所小了点..............', '短评打分': 5}
{'短评内容': '-不错，就是隔音效果不太好，晚上都是说话的声音', '短评打分': 3}
{'短评内容': '不错！性价比不错挺有特色的酒店值得一住！', '短评打分': 5}
{'短评内容': '酒店很新，装修简约而有特色。房间小巧精致，但仍有细节有待加强！', '短评打分': 3}
