{'短评内容': '新楼行政房的房间还可以。', '短评打分': 5}
{'短评内容': '出差常住，地铁方便。', '短评打分': 5}
{'短评内容': '前台人员很热情，体验很好', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '前台服务很好，酒店不错', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '服务挺好！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店很漂亮，干净，用京东订酒店可以返京豆，很超值哦', '短评打分': 5}
{'短评内容': '好，不错，环境很好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错?支持京东商城', '短评打分': 5}
{'短评内容': '帮朋友订的，听说不错', '短评打分': 5}
{'短评内容': '舒适，安全', '短评打分': 5}
{'短评内容': '嘟嘟嘟嘟嘟对付它体积日日日日日日日', '短评打分': 5}
{'短评内容': '什么2013年重装修&hellip;&hellip;还是一塌糊涂啊，下面的鸭馆也是名不符实的，坑子就是一个字，早点就没啥内容，幸亏没加人头，一百块也是坑的要疯&hellip;&hellip;', '短评打分': 5}
{'短评内容': '地点很好，购物方便，紧邻地铁站，但设施陈旧，早餐98元超贵不值', '短评打分': 4}
{'短评内容': '酒店就在市中心，紧靠八佰伴和崇安寺', '短评打分': 5}
{'短评内容': '最满意的一次入住，房价很舒适，配套设施很齐全，地理位置非常好，对面就是三凤桥，离王兴记也很近，大堂非常气派漂亮，楼下还有哈根达斯，早餐非常棒', '短评打分': 5}
{'短评内容': '下了火车坐地铁就俩站，非常好找，地理位置非常优越，紧邻步行街，三凤桥饭庄就在对面，王兴记离得也很近，楼下还有哈根达斯，大堂非常漂亮房间很舒适，很贴心，最满意的一次入住早餐也非常棒', '短评打分': 5}
{'短评内容': '有点旧了', '短评打分': 4}
{'短评内容': '整洁，市中心交通方便，早餐不错', '短评打分': 5}
{'短评内容': '吃喝玩乐一应俱全，还有朝鲜咪咪表演', '短评打分': 5}
{'短评内容': '还不错，中规中矩', '短评打分': 5}
{'短评内容': '总的还可以，就是设备太老了点', '短评打分': 5}
{'短评内容': '水果没送，不过给升级了个套房，比豪华大床房好太多了', '短评打分': 4}
{'短评内容': '豪华大床房太一般了，酒店设施太老了，位置倒是不错', '短评打分': 4}
{'短评内容': '房间太老了，住了很多次，周边环境还是很繁华，商店很多，但是这样的酒店借个充电器也借不到，感觉有点不好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '地点绝佳，房间设施齐全，卫生较好。', '短评打分': 5}
{'短评内容': '位置很不错，其他尤其是房间里很一般', '短评打分': 4}
{'短评内容': '环境较差，设备老旧，有气味，卫生间非常垃圾！', '短评打分': 2}
{'短评内容': '很好的酒店，还会来的。', '短评打分': 4}
{'短评内容': '交通方便，环境不错', '短评打分': 5}
{'短评内容': '入住多次了，很不错的位置，服务什么的都还好了', '短评打分': 5}
{'短评内容': '入住多次了，很不错的位置，服务什么的都还好了', '短评打分': 5}
{'短评内容': '新装修了，大堂很漂亮，房间空间很大，服务态度也非常好的，就是卫生间的马桶太小了……你懂的', '短评打分': 5}
{'短评内容': '位置很好，旁边就是三凤桥，房间太旧了,毕竟老酒店了', '短评打分': 5}
{'短评内容': '建议没窗的房间就不要住了，设施旧。', '短评打分': 3}
{'短评内容': '地点位置不错，性价比高，无锡老牌酒店，高端点房间还是不错的。早餐很划算。', '短评打分': 5}
{'短评内容': '在市中心，帮客人订的。虽然是老店，但装修后大堂非常气派。只是房间还是比较小，比较老。', '短评打分': 5}
{'短评内容': '前台服务冷淡，入住当日，2006号房间空调无法制冷，向酒店反馈数次无解决', '短评打分': 1}
{'短评内容': '酒店地理位置较好，在市中心，房间干净，适合商务出行', '短评打分': 5}
{'短评内容': '酒店应该不错，但是房间太差劲。大家不要再订无窗的房间了，房间里闷的都不如走廊舒服', '短评打分': 5}
{'短评内容': '市区内，性价比比较好，服务态度还可以，就是结账是前台说没有发票，留下我的地址会邮寄给我，到现在还没收到发票', '短评打分': 1}
{'短评内容': '环境还可以吧 稍微显得旧一点了 不是所以房间都是新装修的 停车场蛮大的 早餐也还行', '短评打分': 5}
{'短评内容': '交通方便，位置很好。餐厅东西有点贵，希望增加烟酒小卖部', '短评打分': 5}
{'短评内容': '处于无锡最繁华的CBD闹市地段，虽然身在闹市但楼层22层足以消音，四星级的性价比还是比较高，虽然少了早餐但进出酒店门口便是游人慕名纷至沓来品尝的三凤桥肉庄酒家，中山路上的王兴记，八佰伴、大洋百货、百盛、大世界电影城等一应俱全，晚上从外回酒店，酒店内的哈根达斯都成了美味的夜宵，有家的感觉，出行超便捷', '短评打分': 5}
{'短评内容': '酒店不错哦，住的很开行酒店不错哦，住的很开行', '短评打分': 5}
{'短评内容': '位置不错，适合出差，价格还可以，就是不含早', '短评打分': 5}
{'短评内容': '重新装修了，比以前好多了。目前在中心城区就这家最好了（万怡停业了）', '短评打分': 5}
{'短评内容': '很温馨，很暖和，无锡老牌酒店，地理位置方便，出行购物之选，楼下还有必胜客，哈根达斯及其他当地知名餐饮集团，和商业街', '短评打分': 5}
{'短评内容': '地点很好，在市中心，吃饭逛街都很方便，不远处就有星巴克，喜欢喝咖啡的朋友特别方便。', '短评打分': 5}
{'短评内容': '不错的酒店，喜欢！下次来还会住的。呵呵！', '短评打分': 5}
{'短评内容': '酒店很不粗，位置也很好，出门就是市中心核心商务区，总体来说很不错 ，下次还会入住。', '短评打分': 5}
{'短评内容': '19层房间内的装修材料味道很浓重，不知是什么原因。', '短评打分': 3}
{'短评内容': '对于它的服务态度很不满。\n总台的服务态度很差。\n让顾客受气了……', '短评打分': 1}
{'短评内容': '老品牌酒店，每次去无锡都住这里。不错。就是房间稍旧了点。', '短评打分': 5}
{'短评内容': '无锡锦江大酒店是个很不错的酒店，服务很好，卫生条件也是很好的，又是在最繁华的商业街。价廉物美。下次还要来，一定会向朋友们推荐的。', '短评打分': 5}
{'短评内容': '住的大床间，喜欢软床可惜不是，其他还好。', '短评打分': 3}
{'短评内容': '酒店在市中心，交通便利，房间也不错，价格也可以，只是有些旧', '短评打分': 5}
{'短评内容': '酒店还可以，离市中心很近，服务也不错，只是价格偏高', '短评打分': 5}
{'短评内容': '老酒店了，N年前去住的时候感觉很时尚，高档的酒店，该重新装修下拉', '短评打分': 1}
{'短评内容': '位置好，很方便。设施有点旧，插座不够用。。。。 希望改善', '短评打分': 5}
{'短评内容': '酒店在市中心，可是指示牌实在太小，对于像我们这样的外地客人，自己驾车前往，找酒店花费的时间太多。。。停车场暗无天日黑咕隆咚的，晚上不敢下去取车，房间设备老旧。。。。晚上还没空调。。。唯一好点的就是前台的态度还算热情吧！', '短评打分': 1}
{'短评内容': '酒店位置很好，很方便。目前正在装修，房间有点老旧，性价比一般。', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会选择入住的，位于市中心，出行方便。', '短评打分': 5}
{'短评内容': '挺好的酒店，不错，老牌的，哈哈，下次还会选择', '短评打分': 5}
{'短评内容': '挺好的酒店，不错，老牌的，哈哈，下次还可以住', '短评打分': 5}
{'短评内容': '还不错...................................................\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '酒店基本情况尚可，设施略显陈旧，部分楼层正在装修，稍有影响。', '短评打分': 5}
{'短评内容': '位置很好,几个餐馆都很不错,服务很好,下次还会入住.', '短评打分': 5}
{'短评内容': '不错的酒店，推荐不错的酒店，推荐不错的酒店，推荐', '短评打分': 5}
{'短评内容': '房间需要改进了，客房设施太差了，大厅还不错，酒店位置不错。', '短评打分': 1}
{'短评内容': '酒店的整体情况尚可，但客房有些旧，附件地铁修建，交通略有不便。', '短评打分': 5}
{'短评内容': '酒店整体情况尚可，大堂新装修，只是客房有点旧了。', '短评打分': 5}
{'短评内容': '马马虎虎，房间设施有点陈旧，服务还可以。', '短评打分': 5}
{'短评内容': '房间设施陈旧，外部在装修，噪音特别大，即使晚上也很难入睡。', '短评打分': 1}
{'短评内容': '很好，下次会考虑继续住。很好，下次会考虑继续住。', '短评打分': 5}
{'短评内容': '住的时间很短，感觉不错，交通便利。早餐也还好。还会再来。', '短评打分': 5}
{'短评内容': '大堂很漂亮，但是房间很旧，地毯很脏，卫生间的龙头只出热水，没有一点舒适感。。。', '短评打分': 1}
{'短评内容': 'sheshichenjiubuyiju1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', '短评打分': 1}
{'短评内容': '房间陈旧', '短评打分': 3}
{'短评内容': '极其方便的交通，不过酒店正在装修，所以早上挺吵的。', '短评打分': 5}
{'短评内容': '还不错！不过当时宾馆正在装修，再过一段时间等升上五星会更好！', '短评打分': 5}
{'短评内容': '位置很好很中心，房间设施还可以，就是电源设计不合理', '短评打分': 5}
{'短评内容': '整体不错，房间较为干净，床比较舒服，价格比较实惠，值得。', '短评打分': 5}
