{'短评内容': '周围都是老胡同，可以到处逛逛，老板也很热情。', '短评打分': 5}
{'短评内容': '酒店位置还可以，老板很热情，还帮我们升级了房间，但浴室下水比较慢，洗个澡地上到处都是水。', '短评打分': 5}
{'短评内容': '挺好的，因为是去考试，所以选择的离考试地点近的地方，交通很方便，离南锣鼓巷、后海都很近', '短评打分': 5}
{'短评内容': '老北京四合院 房间很大 床非常舒服 离南锣几分钟的路程 ', '短评打分': 5}
{'短评内容': 'feel还是不错，但设施是一般般，可能是民宿的问题', '短评打分': 4}
{'短评内容': '不错，环境很好。', '短评打分': 5}
{'短评内容': '好失败的感觉，不过在那位置298元也只能订到那样的酒店了。', '短评打分': 3}
{'短评内容': '交通挺方便，在什刹海附近，出门就是鼓楼东大街，吃饭逛街也挺方便。网络比较差，民宿的设施很一般，水龙头是坏的，连个小肥皂都没，这些可以改进下。', '短评打分': 3}
{'短评内容': '还好，可以逛一下鼓楼大街，附近特色比较多', '短评打分': 4}
{'短评内容': '带孩子，一起，和妹妹一家人！定了两间！真心推荐！不赖', '短评打分': 5}
{'短评内容': '真的挺不赖的，特别干净，还有个小院，孩子们玩的很开心', '短评打分': 5}
{'短评内容': '很一般不过这么多钱在这位置就这样吧！', '短评打分': 4}
{'短评内容': '位置不是很好找，在小巷中，不过老板挺好的，院子不大，没有想象中的好', '短评打分': 5}
{'短评内容': '四合院离南锣鼓巷超级近！整条街艺术氛围浓厚，很多吉他店、音乐bar。', '短评打分': 5}
{'短评内容': '环境，风格是不错，很有老北京的感觉，全是300左右四合院的代表，设备什么的一般，但住进去不会太在意这个，老板的态度不错，就是早餐太坑人了，广东人表示20/人的早餐真心不值！其他都不错细节各种，想感受四合院的值得一去！！', '短评打分': 5}
{'短评内容': '什么都好.就是洗澡那个水..！近了打身上疼.远了是毛毛细雨.洗到最后腿是冰凉.想好好洗个澡那就算了.水龙头的水都比淋浴强.冻得不行不行了.', '短评打分': 5}
{'短评内容': '小院不大,挺温馨,孩子喜欢,离南罗鼓巷不远,有点小贵', '短评打分': 5}
