{'短评内容': '酒店整体不错，就是房间里的电源插座太少。', '短评打分': 5}
{'短评内容': '位置好，近海边。', '短评打分': 4}
{'短评内容': '窗户没有遮虫网，空调直对床铺吹，电视遥控不好用，房间插座不好用，早餐厅换楼层不通知，反正巨差', '短评打分': 2}
{'短评内容': '酒店较老，设备陈旧些。', '短评打分': 4}
{'短评内容': '房间味儿太大，开窗户放了一天，晚上回来，味还是很大。早上出去，看见前台的小姐在房间里叠被子，铺床，所以，卫生做的马虎吧。服务不到位，房间放着茶叶罐，但是一根茶叶都没有，水也没有，以为这个酒店就是不带水的，自己买了水回来。洗澡的热水器一直滴水，洗手间地上很多水，地毯上的污渍很明显，所以味儿大吧。电视没有插电源，要自己插电使用。', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '不好', '短评打分': 4}
{'短评内容': '空间超大、', '短评打分': 5}
{'短评内容': '这个酒店反正我是很满意的，这个价位比快捷酒店好多了，早餐也还可以了，不足的是水龙头水小，门口修路。', '短评打分': 5}
{'短评内容': '单间面积太小，空调噪音很大，反正感觉严重的信价比差，再也不想住第二次了，希望酒店能够有所改善和变化吧。', '短评打分': 1}
{'短评内容': '环境可以，交通也比较方便', '短评打分': 5}
{'短评内容': '离火车站汽车站还算近，周边还挺整洁。设施比较简陋。床硬，卫生间的设施非常奇怪，浴缸超级高，要想洗个澡得费力爬过浴缸才能够到水龙头，手脚不利索的千万别冒险。 ', '短评打分': 4}
{'短评内容': '离客户比较近', '短评打分': 3}
{'短评内容': '怎能用一个差字形容，8:40到酒店，服务员说酒店厨师已经下班，到周边找吃的，黑灯瞎火，没有人烟。只好在离酒店一公里一小卖部买了泡面。回来泡面。本来吃完面想上网，房间没有网络，好不容易叫来服务员，装了一个路由器，可登录不了，找前台，前台说忙去呢，找客房服务，回答是你自己慢慢弄。。。', '短评打分': 2}
{'短评内容': '酒店床很硬，浴室水放出來是黃的，房門反鎖轉鈕是壞的；讓人住的很意外', '短评打分': 2}
{'短评内容': '房间太小。配套也不好。 隔音差。', '短评打分': 3}
