{'短评内容': '好的', '短评打分': 5}
{'短评内容': '服务有待改进', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还可以吧，', '短评打分': 5}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '早餐我还没去吃过', '短评打分': 5}
{'短评内容': '可以很好早餐也丰富，环境优美', '短评打分': 5}
{'短评内容': '物超所值！！！好舒服了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '物有所值，硬件设施和软件设施都不错。', '短评打分': 5}
{'短评内容': '朋友推荐的，应该很不错。', '短评打分': 5}
{'短评内容': '还未出行，介绍都说不错。', '短评打分': 5}
{'短评内容': '星级老牌酒店，到丽江古城很近……', '短评打分': 5}
{'短评内容': '离客户单位近，就选这里咯！', '短评打分': 3}
{'短评内容': '可以，不行，不错，值得一住，也干净', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '总的来说阿丹阁酒店还是比较经济实惠的，住副楼那间的网络不大好，早餐不错，也可以免费停车。离古城约1公里左右，走走就能到了', '短评打分': 4}
{'短评内容': '房间很好～很值！', '短评打分': 5}
{'短评内容': '酒店实惠，卫生，离机场大巴近，但是空调开不起来，早餐不错，值了。', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '服务员，像丽江古城的酒托，', '短评打分': 1}
{'短评内容': '服务差，前台服务员，感觉像欠他钱似的！', '短评打分': 1}
{'短评内容': '酒店不错，可以看玉龙雪山，价格比较实惠。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间如三星级传统酒店，离老城有一段距离，服务可以', '短评打分': 5}
{'短评内容': '不在古城内，设施陈旧，最恶劣的是还要收我们一个人80块的古城维护费，我们在其他星级酒店入住都没有提及要收这个，以后绝对不会选择这家酒店而且强烈建议朋友们都不要入住，古城内有好多环境服务都很好的酒店。', '短评打分': 1}
{'短评内容': '性价比较差，服务较差。\r\n我住的房间两天没有毛巾、沐浴乳洗发水。\r\n贵宾楼设备陈旧，地毯较脏。', '短评打分': 1}
{'短评内容': '当地人真的好淳朴，好热情哦。玩的非常开心。', '短评打分': 5}
{'短评内容': '酒店服务质量很好，都是微笑服务的，酒店位置不错，离公交车站都不远，附近也有超市买东西方便', '短评打分': 5}
{'短评内容': '酒店设施很好，住着很舒适，也很安静，离古城不远，走路就能到，乘车也很方便，住在这里还是蛮方便的', '短评打分': 5}
{'短评内容': '丽江色星级酒店标准都不是很高，这家酒店还可以，入住还是比较舒适的。', '短评打分': 5}
{'短评内容': '位置出行挺方便的，对面有个超市。生活很方便。酒店早餐种类多，味道也很好。', '短评打分': 5}
{'短评内容': '酒店卫生很好，卫生间，床单被子都很舒适洁净。', '短评打分': 5}
{'短评内容': '很安静很舒适的一家酒店，位置一般，离古城有一点距离。出行还是非常方便的。', '短评打分': 5}
{'短评内容': '酒店提供的早餐不错，比较有当地特色的，服务很到家，价格实惠，性价比蛮高的', '短评打分': 5}
{'短评内容': '酒店卫生条件很不错，蛮干净的，房间硬件设施很齐全，早餐丰盛，而且酒店对面就是超市，买东西很方便', '短评打分': 5}
{'短评内容': '酒店的服务很差，早餐也很差，实在对不起这个价格，大家不要再上当了！', '短评打分': 1}
{'短评内容': '有些房间不能上网', '短评打分': 5}
{'短评内容': '酒店的标准达不到4星，条件还赶不上快捷酒店。建议大家不要选这个酒店。地毯都是黑的，空调还有时间的，白天不开，晚上9点，半夜就停，冬天屋里不到10度。', '短评打分': 1}
{'短评内容': '酒店4星，价格合理。交通方便。', '短评打分': 5}
{'短评内容': '房间太小，卫生一般！', '短评打分': 5}
{'短评内容': '非常一般,下次还是住古城里吧', '短评打分': 3}
