{'短评内容': '有收押金100 退房的时候等了半天人才过来 房间非常吵 封闭', '短评打分': 1}
{'短评内容': '价格实惠。', '短评打分': 5}
{'短评内容': '前台服务很好，周边环境在建设地铁，所以对声音敏感的不适合，环境比较旧，设备也比较旧，卫生还可以，毛巾浴巾建议养成自己带的习惯，因为有点小味道，但是房间价格很便宜，出行很方便，属于市区中心位置，所以如果要求很高的话，建议住贵一点的房间，个人觉得总体还可以。', '短评打分': 3}
{'短评内容': '300多一晚，房间小的可怜，拖鞋都没有，厕所连个门都没有，不建议居住，完全对不起300多的这个价格，服务还好，设施房间就是差', '短评打分': 4}
{'短评内容': '周边有修路，很吵，别的都还好', '短评打分': 5}
{'短评内容': '。？你某一年', '短评打分': 5}
{'短评内容': '只能说一般般，', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 4}
{'短评内容': '房间比较小，不过很干净，房间虽小五脏俱全，哈哈', '短评打分': 5}
{'短评内容': '房间比较干净，简单，这个价格也不能要求太好了，值得这个价格啦', '短评打分': 5}
{'短评内容': '落地窗，安静，舒适，干净，楼下有保安，安全', '短评打分': 5}
{'短评内容': '一般般、价格便宜．', '短评打分': 3}
{'短评内容': '服务态度很好，房间很不错，下次再来', '短评打分': 5}
{'短评内容': '地理位置非常好', '短评打分': 5}
{'短评内容': '位置很好，出行方便，吃饭更方便，服务人员很体贴，热情。', '短评打分': 3}
{'短评内容': '酒店环境不错，工作人员服务态度好，房间比想的要大，点赞', '短评打分': 3}
{'短评内容': '那个床也是醉了，躺上去中间掉个大窟窿。一夜没睡好。弹簧顶着不舒服', '短评打分': 4}
{'短评内容': '噪音大了点网速还行交通方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
