{'短评内容': '设施一般，无线维修中。', '短评打分': 3}
{'短评内容': '一般般，艺龙订了房间，预付钱了，到酒店竟然说没有这样的房间，只有底楼了，晕', '短评打分': 3}
{'短评内容': '订的其中一个房间马桶是坏的，价格太贵', '短评打分': 2}
{'短评内容': '服务态度很好，就是设备太陈旧而且没无线网', '短评打分': 3}
{'短评内容': '被子床单不知道多久没有洗过了，掀开被子，床上还有头发，很长的几根，我真是无语不知道该说什么了，装修也是老得不行。。。睡觉都只能穿着衣服睡', '短评打分': 2}
{'短评内容': '各种斑点。电视，电话不能用。呵呵', '短评打分': 1}
{'短评内容': '都是斑点的各种，各位自己看图。一摊一摊褐色的不明污渍在床单上。而且还发黄…要求酒店换，人家表示，满房的。没有被套。最后是换成从别的房间拿过来的被子。电话机没电话线，电视机开不了。要不是信用卡担保。真的是呵呵了。', '短评打分': 1}
{'短评内容': '听说挺一般的，呵呵', '短评打分': 2}
{'短评内容': '环境稍偏，居然啊没网线', '短评打分': 3}
{'短评内容': '太偏远了点！设施卫生都还不错', '短评打分': 3}
{'短评内容': '酒店有个停车场还是不错得，但是不是商务酒店，没有餐饮与相关设施，房间内设施陈旧', '短评打分': 1}
{'短评内容': '感觉这酒店性价比不错，原定住一晚，又多住了一晚。', '短评打分': 5}
{'短评内容': '酒店标间面积挺大，卫生间也挺宽敞。虽然房费不含早点，但是出门不远路口有很多卖早点的，味道很好。', '短评打分': 5}
{'短评内容': '酒店不在主路边上，不太好找。酒店无电梯，但是房间比较宽敞豁亮，层高也比较高。', '短评打分': 5}
{'短评内容': '很适合自驾出游的朋友。幽静，干净。美中不足的事为不提供早餐。', '短评打分': 5}
{'短评内容': '酒店外部环境幽静，房间比较干净简洁。推荐', '短评打分': 5}
{'短评内容': '\n   酒店不错，帮朋友预定的说很好。有机会还会选择这家', '短评打分': 5}
{'短评内容': '还可以比较安静', '短评打分': 3}
{'短评内容': '太冷了，空调噪音大，还没有电梯，地方偏僻交通不便', '短评打分': 1}
{'短评内容': '房间的卫生条件很不错，打扫的很干净，住宿环境蛮好，总体感觉各方面还都不错', '短评打分': 5}
{'短评内容': '酒店挺干净的，而且环境也不错。就是电视播放不是很清晰!', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '酒店的住宿环境很好，卫生条件不错，打扫的很干净，房间装饰的很温馨，服务很周到，住着很舒服', '短评打分': 5}
{'短评内容': '地点很偏，宾馆不提供早餐，在周边也没有找到早餐点。唯一好处距离开发区比较近。', '短评打分': 1}
{'短评内容': '酒店的装修还是不错的，不过我们去的时候好像人不是很多，服务员服务的蛮周到的。', '短评打分': 5}
{'短评内容': '交通算是比较便利的，出行便利，设施方面，沙发是紫色的，很漂亮。', '短评打分': 5}
{'短评内容': '设施很一般，不过好在价位还是比较划算的。', '短评打分': 5}
{'短评内容': '不推荐，交通不方便', '短评打分': 3}
{'短评内容': '在新城区，交通很不方便。 设施差，淋浴的水龙头的水管破裂。\r\n没电梯。\r\n一句话，不会再在这里住了。', '短评打分': 1}
{'短评内容': '交通极其不便利，环境非常安静', '短评打分': 1}
{'短评内容': '性价比高，内部的环境，服务还可以，地理位置也还不错', '短评打分': 5}
