{'短评内容': '设施太老，', '短评打分': 3}
{'短评内容': '酒店服务好，在当地比，还不错。只可惜，结账时发现正逢酒店优惠活动，价格比我的订价都低', '短评打分': 5}
{'短评内容': '这个酒店还不错，我听喜欢滴，装修也不错，看着挺高级的。', '短评打分': 5}
{'短评内容': '还可以，新装修的房间比老房间好，但卫生间有点漏水', '短评打分': 5}
{'短评内容': '属于老酒店了，设施有点陈旧，可以考虑重新装修了，否则怎么跟人家新酒店竞争。不过酒店所处的地段不错，出行都很方便，服务也还可以', '短评打分': 5}
{'短评内容': '酒店能不能给我咖啡喝啊，怎么能没有咖啡呢？', '短评打分': 5}
{'短评内容': '酒店住的人有点少，可能不是旺季吧。酒店如果能提供瓶装水就好了。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通便捷，早餐一般，房间挺干净的，服务态度良好', '短评打分': 5}
{'短评内容': '设施已经陈旧，尤其是毛巾等易耗品，早晨四点无热水，早餐品种太少，希望改进。', '短评打分': 1}
{'短评内容': '很干净，空调也很足。\n离商业中心也很近，而且价格也不是很贵', '短评打分': 5}
{'短评内容': '房间还算干净。。。。。。。。。。。。。。。。。。。。。。。。。               ', '短评打分': 5}
