{'短评内容': '房间舒适安静，老板很热情，地理位置优越，离酒吧街和游玩的地方都近，可又不嘈杂，真的挺好的，以后去玩还住这', '短评打分': 5}
{'短评内容': '帮朋友代订的', '短评打分': 5}
{'短评内容': '帮朋友代订的', '短评打分': 5}
{'短评内容': '约了好友一起入住体验，整幢楼的设计很不错，不失古镇民宿原有的底蕴，又在硬件设备上加入了现代元素，亮点在于每个房间都有不同的小惊喜，待住客自己去发掘。泡一壶香茗，晒一下午的太阳，看看书，看看大堂里的家庭影院，与朋友天南地北胡扯一通，这不正是我印象中的古镇情结么？', '短评打分': 5}
{'短评内容': '可以的，下次还去', '短评打分': 5}
{'短评内容': '蚊子太多 ', '短评打分': 3}
{'短评内容': '很整洁。这对于旅行的人来讲很重要。这家店就很整洁。', '短评打分': 5}
{'短评内容': '男老板！就几个字！处处帮你省钱！找攻略，就找老板！推荐阁楼房！情趣！', '短评打分': 5}
{'短评内容': '标间比豪华大床房好。。。', '短评打分': 3}
{'短评内容': '位置虽然在景区，还是有点偏了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '规模不大，幽静，老板不错。', '短评打分': 5}
