{'短评内容': '房间干净  环境很好  周围是个商业街   总体来说非常不错                    给十分', '短评打分': 5}
{'短评内容': '房间很好  位置不错   周围挺繁华的   很干净                           ', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '方便，一直住这', '短评打分': 5}
{'短评内容': '很好！干净卫生', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店位置不错，服务好，卫生干净，下次再去', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '还不错，周边很繁华，步行街，购物都在楼下，就是位置稍微难找。', '短评打分': 5}
{'短评内容': '还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好 还好还好还好', '短评打分': 5}
{'短评内容': '让人比较欣慰的一家酒店，入住时虽然人比较多，但前台服务员能始终保持热情，非常难得了，保安还帮我拎行李，客房卫生相当不错，收拾的非常贴切，入住后经理还给我打了慰问电话，服务比较周到了。最好的还是性价比吧，120元还带份营养早餐，感觉很受用。希望这种标准和服务能一直延续下去。', '短评打分': 5}
