{'短评内容': '房间阳面太少了', '短评打分': 4}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '服务态度，卫生条件，房间装饰，设备设施交通便利，都非常好，非常满意的一次出差住宿，以后还后继续入住的', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '前台服务很热情。', '短评打分': 5}
{'短评内容': '很棒棒  好就是好', '短评打分': 5}
{'短评内容': '位置好，比较好的一次入住', '短评打分': 5}
{'短评内容': '设施一般，卫生较差，价格也不平易，不会有下次', '短评打分': 4}
{'短评内容': '一般化的酒店', '短评打分': 2}
{'短评内容': '很干净，离机场近', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '离机场不远，后面有超市和小吃街。应有尽有。房间没有窗户，价格相对有点高。不过上午出差还是不错的选择！', '短评打分': 4}
{'短评内容': '房间味太重', '短评打分': 4}
{'短评内容': '酒店房间空气不是很流通，有味', '短评打分': 4}
{'短评内容': '卫生条件让人满意', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店很好，离机场很近，服务各方面都不错，唯一不足的地方就是米饭上得忒慢了，我们足足等了30个小时。', '短评打分': 5}
{'短评内容': '还不错啦，最近旺季青岛酒店都涨价了。。这个蛮新的，早餐也很丰富，就是前台服务可以增强一点。，，', '短评打分': 5}
{'短评内容': '同事很喜欢，去机场很方便，下次还会选择入住', '短评打分': 5}
{'短评内容': '值得入住，但是没有窗子的房间通风不太好。', '短评打分': 5}
{'短评内容': '每次来都会订这家酒店，很干净的酒店，值得入住，距离机场也很近', '短评打分': 5}
{'短评内容': '房间没有窗户，但是很干净，278的价格但是的确是4星级的享受，除过没有窗子的这个缺陷其它都很好，性价比很高', '短评打分': 5}
{'短评内容': '性价比很高的酒店，服务不错，房间干净，早餐还行！', '短评打分': 5}
{'短评内容': '房间不错很干净，档次很高。下次还住。不过附近购物不是很方便啊。', '短评打分': 5}
{'短评内容': '很好很不错的一家酒店。卫生服务都很好下次还会光顾、', '短评打分': 5}
{'短评内容': '每次来城阳  都要住这里 总体感觉就是好 酒店其实设施都差不多 要看感觉了 这个酒店 感觉挺舒服 这就是最好', '短评打分': 5}
{'短评内容': '房间小了点，但是超值性价比的一家，如果在市南区，是600档次', '短评打分': 5}
{'短评内容': '我住的那天空调坏了，冻感冒了。维修人员修了好久也没有修好。最后4个小时候才跳的房间。服务员还有一次没有敲门就打开了我的房间。郁闷', '短评打分': 1}
{'短评内容': '住过几次了。总体还算不错。价格在降低点就更好了。', '短评打分': 5}
{'短评内容': '酒店位置不错 房间干净 服务也不错 早餐也可以 下次还住', '短评打分': 5}
{'短评内容': '位置不错 服务态度好 干净 早餐也可以 下次还住', '短评打分': 5}
{'短评内容': '空调太冷了，  不适合冬天居住， 服务态度倒是不错', '短评打分': 1}
{'短评内容': '靠近青岛机场，交通方便，酒店设施很不错，唯一不足的是餐馆的服务态度很差，希望他们能改善其服务态度。', '短评打分': 5}
{'短评内容': '挺不错的酒店，服务和硬件都可以。 就是新装修的房间有些味道', '短评打分': 5}
{'短评内容': 'general it is ok but need more work to do to improve it', '短评打分': 5}
{'短评内容': '酒店很新 复盛集团 代卖猪蹄 位置较好 干净卫生 早餐丰富 房间较小 ', '短评打分': 5}
{'短评内容': '酒店很新 干净宜人 早餐丰富 服务很好 交通方便（我们是开车过去的）设施不错 下次还住\n', '短评打分': 5}
