{'短评内容': '还行吧，能接受~！', '短评打分': 5}
{'短评内容': '还行吧，能接受~！', '短评打分': 4}
{'短评内容': '早餐8点半多就没多少东西了，餐厅就一个人连收拾东西带削面，停车位还可以一晚收费10元，感觉房间空气质量不好，窗户隔音效果不好', '短评打分': 3}
{'短评内容': '早餐一般般，免费的这样还算可以，比起一前去过的差远了', '短评打分': 5}
{'短评内容': '房间舒适阳光充足很好', '短评打分': 5}
{'短评内容': '～～～～～～～～～没有成功入住，酒店很不错就是艺龙网的客服人员太差劲', '短评打分': 5}
{'短评内容': '～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '预订完之后又接到电话说因为价格问题不能预订，很郁闷～～～', '短评打分': 5}
{'短评内容': '挺好的，值得一宿', '短评打分': 5}
{'短评内容': '环境', '短评打分': 5}
{'短评内容': '去额济纳在银川中转时住的地方，房间挺干净的，出入交通也比较方便，总体来说性价比不错', '短评打分': 5}
{'短评内容': '酒店环境还不错，位置也很好找，早餐是约好时间送到房间来的，室内环境比较舒适，没有介绍里写的免费瓶装水', '短评打分': 4}
{'短评内容': '网上订房不算数', '短评打分': 3}
{'短评内容': '服务一般', '短评打分': 4}
{'短评内容': '酒店硬件还行，前台年轻服务员需加强培训，尤其是需要责任心与认真态度的培训。酒店领导很好，有问题马上解决，服务意识好！', '短评打分': 3}
{'短评内容': '该酒店是我住过的最差的酒店，住了四天，有两天没有热水。外出游玩一天回来，满身大汗，却无法洗澡。每天游玩回来，房卡都无法打开门，要到总台去加磁，工作人员不嫌麻烦，旅客还嫌麻烦呢，也不知到该酒店为什么要这么做。虽然有Waif，但信号烂得可以。最多只能评2分。', '短评打分': 2}
{'短评内容': '地理位置不错，周边设施也齐全，出行比较方便，好找~~住一晚的价格非常实惠，下次去的话还会考虑，赞一下。', '短评打分': 4}
{'短评内容': '酒店的服务还好，特别是歺厅的菜品有点特色和水平，', '短评打分': 3}
