{'短评内容': '很好。位置很棒', '短评打分': 5}
{'短评内容': '还不错  每次都住这', '短评打分': 5}
{'短评内容': '有停车场，其他的很一般~价位合适出差的朋友~', '短评打分': 4}
{'短评内容': '住得感觉还行，卫生也很好，', '短评打分': 4}
{'短评内容': '一切都还不错，只是时间太短', '短评打分': 5}
{'短评内容': '还不错啊。。。。。', '短评打分': 5}
{'短评内容': '这个酒店到太升南路都会住！还是老样子 只是性价比高吧！住起来安静。地毯需要清洗哦，进来一股熟悉的霉味。其他没啥可说的，早餐牛奶都没有了。', '短评打分': 4}
{'短评内容': '不错！还可以！', '短评打分': 5}
{'短评内容': '好！！！', '短评打分': 5}
{'短评内容': '设备有些陈旧', '短评打分': 4}
{'短评内容': '房间设施陈旧～保安的车技和态度不错～', '短评打分': 3}
{'短评内容': ' 还行', '短评打分': 4}
{'短评内容': '地理位置优越，处于市中心，交通便利，生活设施齐全，性价比很高。', '短评打分': 4}
{'短评内容': '给朋友订的酒店，地理位置不错，房间宽敞明亮，设施一般。', '短评打分': 4}
{'短评内容': '环境一般，还OK，还有早餐', '短评打分': 3}
{'短评内容': '在市中心，离春熙路很近，可以停车，商务酒店，价位合适。', '短评打分': 3}
{'短评内容': '环境可以。但服务稍差点。', '短评打分': 3}
{'短评内容': '地理位置不错，房间环境很好，服务也很周到。最重要的是停车免费，总之值得推荐！', '短评打分': 5}
{'短评内容': '太吵了，旁边的建筑工地都晚上十一点了还在干活，没法睡。', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '交通满方便的，也挺安静，住过好几次了，感觉还不错', '短评打分': 5}
{'短评内容': '性价比尚可,喜欢逛街的适合住', '短评打分': 3}
{'短评内容': '还好，挺方便，就是房间不算大，设施不够新，不太隔音。', '短评打分': 5}
{'短评内容': '不错，房间一般大小，卫生还行，就是显得设施陈旧了些。。。给人的感觉不够年轻，呵呵。个人喜欢简洁明亮的地方。', '短评打分': 5}
{'短评内容': '酒店位置不错，干净，价格适中，就是房间小点，接待大堂在院内，不太好找，其他不错。', '短评打分': 5}
{'短评内容': ' 大床房有电脑，不错。', '短评打分': 3}
{'短评内容': '挺好的，房间干净整洁温馨。东西也齐全。距离春熙路很近。花洒的软管坏了，还好有个喷头。床再大点更好。', '短评打分': 5}
{'短评内容': '挺好的，房间干净整洁温馨。东西也齐全。距离春熙路很近。前台再热情点就更好了。', '短评打分': 5}
{'短评内容': '标间有点小，卫生间挺大，设施齐全；步行去春熙路10多分钟，去天府广场也很近，地理位置不错。', '短评打分': 5}
{'短评内容': '比较干净，价格还可以，周围很繁华，离市中心近。', '短评打分': 5}
{'短评内容': '这酒店第二次住宿了，硬件条件还是不错的,就是打水单的时候服务员比较麻烦', '短评打分': 5}
{'短评内容': '酒店虽然小，但所处位置非常的优越，距离春熙路、天府广场都非常的近，交通非常便利，极力推荐。', '短评打分': 5}
{'短评内容': '还可以，就是房间有点小，不过挺安静，下次还会考虑入住', '短评打分': 5}
{'短评内容': '地理/性价比/怀镜都不错，外地朋友来一定会推荐的', '短评打分': 5}
{'短评内容': '很好，推荐！', '短评打分': 3}
{'短评内容': ' 离市中心很近，有停车场，房间比较干净，就是太小了点，早餐还没吃过。', '短评打分': 3}
{'短评内容': '可以，不错可以，不错可以，不错可以，不错可以，不错', '短评打分': 5}
{'短评内容': '价格略有点贵，不过环境不错，房间设施还可以，关键是洗澡很舒服，水又大又热。房间周围比较安静，因为不临街。', '短评打分': 5}
{'短评内容': '住了这么久早餐总是那几样！                               ！', '短评打分': 5}
{'短评内容': '成都吉昌之星城市酒店 到天府广场20-25分钟', '短评打分': 5}
{'短评内容': '距离春熙路步行15-20分钟                                ！', '短评打分': 5}
{'短评内容': '成都吉昌之星城市酒店条件还可以，早餐也不错！去哪都挺方便的！  ', '短评打分': 5}
{'短评内容': '条件还可以!网速还好！算是中心位置！逛小吃，商场比较方便！', '短评打分': 5}
{'短评内容': '+良好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间大小适中，采光很好。隔音效果很好比较舒适的酒店。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施比较全，环境也很舒适，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店位于天府广场附近，逛街吃小吃非常方便呢。', '短评打分': 5}
{'短评内容': '推荐，位置不错', '短评打分': 5}
{'短评内容': '房间面积过小。床巨硬。外面施工还有点吵，反正以后不会住老！', '短评打分': 1}
{'短评内容': '酒店的位置很好，周围很热闹，不愁找不到逛的地方，客房环境安静，有助于休息。', '短评打分': 5}
{'短评内容': '服务员很热情，问个什么问题都能够耐心给我解答，让人感觉很亲切，下次还来这边住。', '短评打分': 5}
{'短评内容': '位置不错，离春熙路、王府井百货都很近，购物出行都很方便。', '短评打分': 5}
{'短评内容': '房间收拾的很干净，设施齐全，还有宽带的，网速还不错 ！', '短评打分': 5}
{'短评内容': '酒店是那种快捷型的，房间的布局很温馨，整洁干净，感觉很舒服。', '短评打分': 5}
