{'短评内容': '卫生太差，还有跳蚤，潮湿不能住', '短评打分': 2}
{'短评内容': '整体效果不错', '短评打分': 4}
{'短评内容': '超级古老的酒店，什么都差。就是附近有吃的方便。再也不会去住了', '短评打分': 1}
{'短评内容': '三串饰品忘记在该酒店没有带走。价值5000多元。离店后想起给酒店打电话，对方拒不承认。差评差评差评差评', '短评打分': 1}
{'短评内容': '服务没有的，然后房间环境特别差，非常旧！', '短评打分': 2}
{'短评内容': '入住时正在装修，最糟糕的一次住店', '短评打分': 4}
{'短评内容': '服务可以，停车方便，还行。就是有点吵，房间比较小。房间很温馨。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '位置非常好，服务还可以，卫生太差，环境好吵，预定的房间卖了，没信誉，。。。。。。。。。。。。。。。。。。。。', '短评打分': 2}
{'短评内容': '特价房，还行', '短评打分': 5}
{'短评内容': '一般，隔音效果不好', '短评打分': 3}
{'短评内容': '！！！就那样吧', '短评打分': 4}
{'短评内容': '服务差', '短评打分': 4}
{'短评内容': '9.2太老了，而且也不是很方便，周围没有公交车。', '短评打分': 3}
{'短评内容': '安静，环境不错，离步行街也近', '短评打分': 3}
{'短评内容': '环境设施还可以，价格有点贵', '短评打分': 3}
