{'短评内容': '典型的农家屋 但是干净 整洁 晚上非常安静 很适合家人居住 老板和老板娘很热情', '短评打分': 5}
{'短评内容': '价格便宜、老板热情。', '短评打分': 3}
{'短评内容': '老板热情，车接车送兼咨询指导，挺好的', '短评打分': 4}
{'短评内容': '经济实惠，老板热情客气', '短评打分': 4}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '老板很实在，大家聊的很开心。', '短评打分': 5}
{'短评内容': '兄弟们很高兴。干净整洁，经济实惠。', '短评打分': 5}
{'短评内容': '兄弟们很高兴。干净整洁，经济实惠。', '短评打分': 5}
{'短评内容': '兄弟们很高兴。干净整洁，经济实惠。', '短评打分': 5}
{'短评内容': '兄弟们很高兴。干净整洁，经济实惠。', '短评打分': 5}
{'短评内容': '房间很大 太冷 空调不暖和  里面的饭菜太贵??', '短评打分': 2}
{'短评内容': '携程客服服务较好，住宿环境较好，店老板服务、接待都非常热情，有到家的感觉，交通、吃住都很方便。店老板自己有旅行社，可以安排导游带你游玩，导游费用也不高，总的来讲，吃住游都很好。', '短评打分': 4}
{'短评内容': '三个大人和一个小孩，本来订了两个迷你间，结果说坏了一个，帮我们换成标间。还不错。老板娘还不错。如果说在山下真的很方便 就在服务中心对面  可以直接换电子票。离山上还很远呢。', '短评打分': 5}
{'短评内容': '老板娘很热情，原来是九华山导游出身。', '短评打分': 4}
{'短评内容': '环境不错，老板亲切，待人以义，所以叫义和，近九华山入口哦。', '短评打分': 5}
