{'短评内容': '周边生活没施不齐全，吃饭要走比较远，离地铁站较近，还是有一些声音的,比较吵闹，有点影响到休息，但服务还不错。', '短评打分': 5}
{'短评内容': '干净，卫生，快捷', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 4}
{'短评内容': '绝对干净舒服', '短评打分': 5}
{'短评内容': '交通方便，紧邻6号线地铁巨峰路站，周边有家乐福，凌河路美食一条街，文峰广场等休闲娱乐活动场所，停车方便但是要收费', '短评打分': 4}
{'短评内容': '有衣柜，空间不小，', '短评打分': 5}
{'短评内容': '评价大于20字的评论会有机会获得更多的京豆', '短评打分': 5}
{'短评内容': '房间小，味道大', '短评打分': 3}
{'短评内容': '房间很不错，价格很好，值得订购！', '短评打分': 5}
{'短评内容': '房间很不错，价格很好，值得订购！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务一般，房间尚可', '短评打分': 4}
{'短评内容': '交通方便 酒店还比较干净 整洁 价格比较合理', '短评打分': 4}
{'短评内容': '这次是第二次出差入住这家汉庭酒店了，房间总体干净，整洁，看的出来寝具是刚刚换上的，临近地铁6/12号线，出行十分方便。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '充电线准备的太少了，其他过得去', '短评打分': 4}
{'短评内容': '房间隔音太差，其它方面都正常', '短评打分': 4}
{'短评内容': '离面试地点很近，很好找，比较安静，靠近地铁，值得推荐。', '短评打分': 4}
{'短评内容': '有待提高', '短评打分': 4}
{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '房间窗户没法打开，即订即有，还比较方便快捷。洗手间有点窄', '短评打分': 4}
{'短评内容': '地理位置比较好，但是房间不好找，弯弯曲曲的，直到尽头，建议多设置指示牌，订的高级大床房但空间小了点', '短评打分': 4}
