{'短评内容': '没暖气，设备差，好臭', '短评打分': 2}
{'短评内容': '还不错，价格也不高，还行吧，', '短评打分': 5}
{'短评内容': '太老了 可以怀旧20年前', '短评打分': 3}
{'短评内容': '住过最旧最破最丑最垃圾的酒店，一点不开玩笑，不信去看看', '短评打分': 1}
{'短评内容': '这间房子的特色就是多镜子，一个房间六七个镜子。', '短评打分': 3}
{'短评内容': '服务态度好，环境不错，下次出差还过来住', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '真心不啥样，是住过最差的酒店，不如60元的旅馆?', '短评打分': 2}
{'短评内容': '设施有点旧。', '短评打分': 4}
{'短评内容': '很不错的酒店，太棒了', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '蒸汽房挺好！便宜干净', '短评打分': 3}
{'短评内容': '条件不错，服务态度很好，只是门口不好打车，可以用打车软件', '短评打分': 3}
{'短评内容': '房间还行，空调太差噪音大制冷差。', '短评打分': 3}
{'短评内容': '房间一般，空调太差噪音大制冷差。', '短评打分': 3}
