{'短评内容': '比重庆的7天好多了', '短评打分': 5}
{'短评内容': '便宜～', '短评打分': 5}
{'短评内容': '房间很大，干净整洁，没有噪音，所处位置离医院很近，客房人很多，楼下有几个车位，由于有事，早饭没有吃，自助，十元一位', '短评打分': 4}
{'短评内容': 'LD很满意！', '短评打分': 5}
{'短评内容': '好，环境很好', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '用四个字形容商品，物美价廉，店家态度也很好，下次继续光临', '短评打分': 5}
{'短评内容': '搜索很多家找到评分最好的一家，靠近省人民医院，够高大上，可惜因为出行日期计算错误错过了，有机会去了还住这家，推荐！', '短评打分': 5}
{'短评内容': '用优惠券价格比在铂涛会预定还要便宜，过年家里人多住不下，家附近就有个7天，每次回来都住这，房间宽敞，不错', '短评打分': 5}
{'短评内容': '还可以，设施有些老', '短评打分': 4}
{'短评内容': '听说还不错', '短评打分': 2}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好阿', '短评打分': 5}
{'短评内容': '还好好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '酒店还可以吧，有点陈旧。不过距离北站最近，很方便', '短评打分': 3}
{'短评内容': '挺好的～离火车站近～goodgood', '短评打分': 5}
{'短评内容': '离石家庄火车北站比较近，还可以', '短评打分': 3}
{'短评内容': '市中心区，还可以', '短评打分': 5}
