{'短评内容': '不错，安静舒适，服务人员很贴心', '短评打分': 5}
{'短评内容': '总体来说这里的民宿已经形成气候但是管理服务以及后续方面还值得提高。', '短评打分': 4}
{'短评内容': '环境不错，老板很好！房间娇小，购物不便', '短评打分': 4}
{'短评内容': '客栈位于灵隐寺景区的东面，山清水秀，环境优美，是休闲的好地方。', '短评打分': 4}
{'短评内容': '房间有点儿小，其他没毛病', '短评打分': 5}
{'短评内容': '定的比较仓促，酒店位置还行，但是一楼的房间真的是呵呵...设施陈旧，蚊萤成群。房间非常小，一楼房间跟外面视线相通。毫无隐私而言......联系定之前确认一下在几楼。总之还是很影响情绪的......节日价格相当可观。', '短评打分': 2}
{'短评内容': '交通不太方便   要走一段距离才能有公交车   但是呢附近的环境很好   有花有树有鸟有山有水  老板人也很棒哦   酒店环境也还好   没有评价里说的那么差    反正和朋友两个人住的都蛮开心的   ', '短评打分': 5}
{'短评内容': '老板人贼拉好！热情，耐心！性价比高！距离景区入口三俩分钟就到，适合悠闲自得住几天！', '短评打分': 5}
{'短评内容': '环境非常好，特别有情调，适合一个人出来走走的朋友们住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错，和同事一起住的', '短评打分': 3}
{'短评内容': '这边离灵隐寺就不到1公里的距离！非常有小调调，适合小朋友们来居住游玩！', '短评打分': 3}
{'短评内容': '坐落在山脚的别墅群里，很清幽，空气很好，可惜离市中心稍稍远了些。三人房小了点，但大家睡得很香。发票是后面快递来的，不明白为何是手写的？？报不了啊！', '短评打分': 5}
{'短评内容': '环境还不错，我住的房间就是有点小旧了，阳台的座椅什么的也是需要养护一下了。老板养的猫咪很可爱！', '短评打分': 5}
{'短评内容': '环境很好，晚饭后散步就到灵隐寺了，还有茶园。', '短评打分': 5}
{'短评内容': '第一次来不太好找，多亏有小妹出来接了下，周围风景很好，下次来杭州还会来住。', '短评打分': 5}
{'短评内容': '住的地方环境优美，在西湖边上。', '短评打分': 3}
{'短评内容': '很溫馨的酒店﹐178元標雙﹐很值﹔前台的帥哥很健談也很nice﹐貓咪超可愛。', '短评打分': 5}
{'短评内容': '客栈在去往灵隐寺的半山腰上，环境很好，院子里有休息坐的小凳子之类的，很温馨。当时一个人去，预定了特价的小单间，麻雀虽小，五脏俱全，墙上的贴纸是我喜欢的那种风格，很不错~  \n下次带某人去杭州就去这里~~', '短评打分': 5}
{'短评内容': '客栈很温馨', '短评打分': 3}
{'短评内容': '房间空间比较狭小，但布置温馨。洗澡水不烫。去灵隐比较方便。总体价格偏高。望改善环境，增加银行卡刷卡系统。', '短评打分': 3}
{'短评内容': '客栈周边环境很清幽，很适合度假，内部装修是简单的中式风格，还不错，就是隔音比较差', '短评打分': 3}
{'短评内容': '就在灵隐寺附近，周边好多小别墅都是开客栈的。3楼专属小阳台风景独好，可惜季节不适合旅游，太冷了。', '短评打分': 5}
{'短评内容': '旅店周边环境不错，阳光大窗房向南，冬天的阳光晒得很舒服，在阳台上聊天也很享受。屋子不大，但装饰搭配比较不错，有绿竹，有水仙，住了两晚，感觉挺好。租自行车卡每天需要20元，有些贵，不过比坐公车方便。天气好的话，骑游是好选择。', '短评打分': 5}
{'短评内容': '很有特色的店，整洁干净，但是很小，适合独自一人来放松', '短评打分': 3}
{'短评内容': '实际情况与客栈描述相符。感觉舒服。主人比较细腻，屋内的陈设比较用心思。', '短评打分': 5}
{'短评内容': '房间太小感觉很压抑 或许是下雨的缘故房间有点异味 照片与实际不符 ', '短评打分': 1}
{'短评内容': '国庆冒着高价的风险.呵呵......不过小栈的服务员和小栈的休闲风格不太一致,打扫的阿姨倒还有点笑容.房间的卫生细节还应该更加强.风格比较喜欢,就是一楼的房太小了,性价比不是很高', '短评打分': 5}
{'短评内容': '环境不错,悠闲,适合渡假', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '果然如传说中温馨精致，一副世外桃源的样子。房间无所谓大小，重要的是，气氛很清新很安静，胖猫咪好悠闲，也与灵隐寺毗邻，占占灵气非常好呢！床垫子再软一点就更锦上添花了，呵呵~', '短评打分': 5}
{'短评内容': '挺有乡村味，卧具不太舒服，服务员热情不够。周边环境不错，往里走看见另几家旅馆，下次一试。', '短评打分': 5}
{'短评内容': '，房间真的太小，性价比不高！', '短评打分': 3}
{'短评内容': '网页上介绍说有咖啡，有水果我们是没有见到，说房间有30平方，住的人都觉得没有。不过客栈装修比较干净，也很温馨，工作人员也很热情，到灵隐也比较近。总体感觉还可以，不过价格感觉偏高，最好能再便宜点，呵呵！', '短评打分': 5}
{'短评内容': '非常舒适.风格很喜欢.下次还去!', '短评打分': 3}
{'短评内容': '    老板很热情，环境很好，去寒山寺也方便，就是地理位置真的很偏，的士司机都说如果不是看我一个女生，晚上都不敢随便载客过去……', '短评打分': 5}
{'短评内容': '这个单间本来是定好的，可是到店被告知无房，不过漫步的服务态度真的很好，很快就帮我们解决了问题！只是原本在前台那里看上的手绘地图走的时候有点匆忙忘了买了！', '短评打分': 5}
{'短评内容': '漫步的两栋小楼都很有特色，这次住的白乐桥289号，下次要定那边的住住，最好能多住几天就好了，可惜时间有限啊~', '短评打分': 5}
{'短评内容': '很不错的一家店，和朋友一起玩儿的很开心，很适合休闲游或小住修养！下次游西湖还会选择的！也会推荐给朋友！尤其楼下那只肥猫~看见它你就会有种很休闲的感觉！', '短评打分': 5}
{'短评内容': '卫生好 周边环境好 服务员态度好 度假的好住处 安静清幽 就是房间隔音效果不好', '短评打分': 5}
{'短评内容': '挺不错的酒店 卫生挺好 周边环境也不错 服务员态度很好', '短评打分': 5}
{'短评内容': '客栈给人感觉很好很温馨，环境清幽，交通便利，然后店主也很热心，服务周到，总的来说很不错啦，值得推荐。。。', '短评打分': 5}
{'短评内容': '前台的sufei好温柔哦，还给我们泡茶喝！\n离灵隐寺很近，可是我和老公因为时间的关系没有去！\n离西溪湿地打车20块钱\n我定的房间有阳台，晚上的时候和老公在阳台上聊天，感觉不错！\n反正呢，对客栈的房间很满意，服务也比较满意！', '短评打分': 5}
{'短评内容': '很安静，也很干净，就是位子偏了点。如果再去灵隐，还会住。就是要提供信用卡担保有点麻烦。', '短评打分': 5}
{'短评内容': '我这是第2次来贵店，服务非常贴心。如果是去灵隐寺的话非常的方便，步行10分钟左右就可以到灵隐寺了。环境很静就是附近农家的狗狗会早起。性价比好~~特别适合自助游的朋友。', '短评打分': 5}
{'短评内容': '酒店不错啊 位置临灵隐寺非常近', '短评打分': 3}
{'短评内容': '很不错，因为带了小孩，店家还免费为我升级了房间，很贴心！谢谢！有机会想去常住！', '短评打分': 3}
{'短评内容': '离灵隐寺很近，周围环境很好，很安静，像是隐居在森林里一样的。很温馨的客栈，前台很热情喔。我住的特价房，榻榻米很舒服，房间也很干净，就是门缝会漏风，晚上有点冷。床的位置有空调还好，但是卫生间温度太低了，都不敢洗澡。', '短评打分': 5}
{'短评内容': '很不错，环境很好。如果是要度假的很值得住的地方。老板超好的。', '短评打分': 5}
{'短评内容': '周围环境挺好，非常适合休闲度假型的游客。', '短评打分': 5}
{'短评内容': '相当温馨的客栈，下次再去杭州还选择这里。', '短评打分': 3}
{'短评内容': '酒店不错，很温馨，老板娘确实不错，有求必应', '短评打分': 5}
{'短评内容': '离灵隐寺挺近的！但晚上出来不是很方便！早去早回!房间有点小，但挺精致的！我住那间房排气扇坏了，很的噪音，索性就关了！店家不错！', '短评打分': 5}
{'短评内容': '是个乡间的小别墅一样的房子里，周围环境很好，住着也很舒服，店家把房间也装饰的蛮有特色的。像我们订的那间房就很有古典的风格。很喜欢~', '短评打分': 5}
{'短评内容': '房子有点太小了，肉眼看可能就8，9个平方连上洗手间。不过店员都很好，位置有点偏，不过也有公交出去。', '短评打分': 5}
{'短评内容': '有时间还是会再去的酒店，设施很好，房间的像是床包括被褥都非常舒适，干净。晚上休息很幽静。', '短评打分': 5}
{'短评内容': '周边的环境是挺不错的但是位置非常不好找也没有招牌门牌号也是被树挡住了，酒店的房间面积也很小，卫生还可以但是我去过之后下次就不想去，价格也很贵。', '短评打分': 1}
{'短评内容': '房间很干净，老板人超级好。环境硬件设施都很好，周围环境很美。', '短评打分': 5}
{'短评内容': '离灵隐寺很近，步行就到很方便，是度假的好地方很休闲，去火车站也很方便有一趟专车。但房间有些小', '短评打分': 5}
{'短评内容': '房间设施优雅，环境舒适。感觉很温馨，地理位置也比较幽静。', '短评打分': 5}
{'短评内容': '网上定的，晚上去的，的士司机很勉强地走到灵隐支路，不知道白乐桥，打店铺提供的电话，自动报“请输房号”，我只知道自己预定了，不知道房号的，电话自动就挂断了，急得我和先生大骂，走到街道办了，有位保安，问他这个店铺在哪里，明明就在50米的地方，还说不知道，但是也按门牌号码指明了方向，总算找到店铺了。房间一般，很小，关键是很暗，灯的瓦数可能比较低，很昏暗，不满意。其他将就。', '短评打分': 1}
{'短评内容': '非常喜欢的一家小旅社。很有情调。周围环境也很好。', '短评打分': 5}
{'短评内容': '酒店的环境还不错，比较亲近.距离西湖比较近观景还不错.房间比较格调.', '短评打分': 5}
{'短评内容': '离西湖市中心不是一般的远，基本上坐公车从第一站做到最后一站，而且也不便宜。房间也小，买东西不方便，天黑后觉得人烟荒芜怕怕', '短评打分': 5}
{'短评内容': '房间很有情调，设计的很有味道，看得出老板很用心在经营。', '短评打分': 5}
{'短评内容': '客栈建在树林后面，感觉很有仙味儿，公交出租都有，去市区也挺方便。', '短评打分': 5}
{'短评内容': '特别喜欢被子，又大又软，再加上房间内精美的装饰，很温馨舒适，very good！', '短评打分': 5}
{'短评内容': '为了去灵隐寺，选择了这家客栈，挺合适的，离西湖、岳庙也不远，对位置很满意。', '短评打分': 5}
{'短评内容': '服务员可热情啦，老板娘也经常在，与我们闲聊，气氛很融洽。', '短评打分': 5}
