{'短评内容': '服务态度非常好', '短评打分': 5}
{'短评内容': '酒店跟温馨', '短评打分': 5}
{'短评内容': '房价大，干净', '短评打分': 5}
{'短评内容': '房间大，还干净，性价比超高', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '很满意的一次住店服务', '短评打分': 5}
{'短评内容': '整体感觉不错，就是隔音效果差点，晚上隔壁冲水声音太大，空调台陈旧了。其他都好。', '短评打分': 4}
{'短评内容': '给别人订的，反映说味道太重，估计开张没多久的缘故。', '短评打分': 5}
{'短评内容': '京东酒店的价格相对其他来说优惠一点。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店环境好，室内设施简约适用，出行方便！', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '服务不错，感觉很好，比较干净，很喜欢的酒店，很美好的旅程。交通也比较方便的。价格也比较便宜。下次会继续来住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '隔音效果超级差，一晚基没睡。', '短评打分': 3}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '都很好，就是门不太好，还有空隙，对面房间晚上3点看电视直接能把你吵醒', '短评打分': 5}
{'短评内容': '卫生条件不错，就是退房时间好早哦', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通方便，吃住行都非常便利！房间干净整洁！非常满意', '短评打分': 5}
{'短评内容': '还行吧，算是干净整洁，就是电视不太给力', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '房间卫生和设施还算可以，服务有点欠佳，我站在巴台叫了三次没反应。', '短评打分': 4}
