{'descr': '价格实惠，性价比高，真诚友好，手头现金不够还借我钱', 'star': 5}
{'descr': '定的是无窗的大床房，结果床偏小，空调不是很给力，卫生间还行。总的来说，上海这几十块钱的房间算是不错了。', 'star': 3}
{'descr': '我感觉满安静的，还行，就是洗发水沐浴露不行', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '环境还行，这个价位这个房子 可以了 就是离地铁有点远 做个麻木 5块钱可以到', 'star': 5}
{'descr': '服务态度可以，很有家的感觉~虽然远点，这价位，这服务，值~', 'star': 5}
{'descr': '价格便宜，性价比很高，很干净，就是交通部太方便，打车很难。', 'star': 5}
{'descr': '服务不错，就是距离地铁站远了点，周围吃饭的地方比较少，其他还不错', 'star': 3}
{'descr': '房间太小了，空调感觉也不暖和。里面的洗漱的东西太少了，洗澡用的凉拖鞋也没有。', 'star': 1}
{'descr': ' 不错，性价比超高！', 'star': 3}
{'descr': '该酒店住过一次，不会再去住第二次了……', 'star': 3}
{'descr': '价格便宜，就是远点。性价比高！设施齐全。', 'star': 5}
{'descr': '有提供免费的接机服务，不错，挺好，方便很多', 'star': 5}
{'descr': '很干净，性价比高！', 'star': 3}
{'descr': '入住房间为此旅店最小型房间，不知为何如此。窗外嘈杂，所以不会推荐。', 'star': 1}
