{'短评内容': '空调声音很响。。。关也关不掉。。设备老旧，房间内矿泉水都是收费的', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '己在另一个订单中描述。', '短评打分': 5}
{'短评内容': '早上去吃早餐 说是自助餐 但吃的很少 我跟我朋友就拿了6个鸡蛋 其他一点饭菜 结果被那里保安一样的人看到 说我拿这么多 吃完了再拿 我顿时有点懵逼 吃的时候还在那里走来走去 感觉就像电视里那种吃牢饭一样的场景 就餐体验极差 一大早上这种触霉头的感觉 瞬间让我这种从来没写过评语的人 才思泉涌 写了这么一大段 差评 本来还要住3天的 瞬间决定换酒店', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '很好不错不错，一直信赖京东', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '还是可以的，性价比也可以，已经住了好几次了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '经常住，周边有银泰、开太，走个十分钟就到纱帽河女人街、五马街等商圈，吃喝不愁，位置很不错，就是设施老一点，早餐为配送早餐，味道可以，量少。', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 1}
{'短评内容': '房间虽小 地理位置优越 对面就是五马街 胖哥俩蟹肉煲 长人馄饨 大王灯盏糕 小吃太多了 就住这里吧 ', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '원저우시내 중심지에 있기때문에최고의 위치에 있다.위치이외에가격대비시설은 너무 낡아서 실망이고모든면에서 가장낮은 호텔등급에도 미치지못할듯하다.', '短评打分': 2}
{'短评内容': '可以，下次去还继续住这里', '短评打分': 5}
{'短评内容': '酒店地段没话说，房间设施较陈旧，价格还是可以的。就是酒店没停车场，酒店服务员让我停酒店边上的虞师里路上，可虞师里路是单行道，我们外地人也不知道，酒店也没提醒，结果就逆行扣了三分，算是一个小插曲吧。', '短评打分': 5}
{'短评内容': '位置好，就是房间设施旧点，空调不工作', '短评打分': 4}
{'短评内容': '地段好，设施旧了，地毯太脏', '短评打分': 4}
{'短评内容': '还行，交通方便，便于出行，附近也有吃的', '短评打分': 5}
{'短评内容': '环境很好，主要干净', '短评打分': 5}
{'短评内容': '位置相当牛，就在最中心区域，吃饭，逛街都很方便。', '短评打分': 5}
{'短评内容': '逛开太，银泰，上医院，吃饭都很方便！', '短评打分': 5}
