{'descr': '性价比还可以', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '红红火火哈哈哈', 'star': 5}
{'descr': '旁边俢路，有点吵', 'star': 5}
{'descr': '还可以；靠窗位置有点吵', 'star': 4}
{'descr': '一般般，房间小，时间比较久了。价格也不高，性价比算可以的了。', 'star': 4}
{'descr': '一般旅社', 'star': 4}
{'descr': '不错 物美价廉', 'star': 5}
{'descr': '这是最差的易佰，我住了十几次了这次最不满意，枕头套上有污垢用手扣扣就掉有图有真相，房间是住过最差的一次，洗手间不是封闭的，马桶就在门旁边，住起来一点不舒服，之前住的洗手间和测所全是封闭在一个小玻璃房里的，这个非常的差，我订了两个房间，110定的大床房C已经付款，他说没房了,119元定的大床房B,我不知道这ABC有什么区别，但是我住的这个绝对是这个店最差的房间8315,开始给我的是8417由于窗口对', 'star': 2}
{'descr': '就是临街吵了点', 'star': 4}
{'descr': '订的是20个平方的。结果进来一看房间最多十个平方。马桶盖也是坏的。枕头上面还有脏的', 'star': 3}
{'descr': '还行   实惠！！！', 'star': 4}
{'descr': '性价比高', 'star': 5}
{'descr': '环境挺不错了，价格实惠', 'star': 3}
{'descr': '第二次来这家酒店了，位置很好，离万达很近，可以看完电影逛完街直接过去，很方便，卫生也很好，空间不大，但是两个人住足够了，很美好的一天，实惠，如果你还在犹豫，就不应该了，在上海能住到性价比这么高的酒店，很不容易了', 'star': 5}
{'descr': '周边环境还好！购物就餐很便捷！', 'star': 3}
{'descr': '出行很方便，各方面挺好，', 'star': 3}
{'descr': '虽然小。但是非常的温馨。就是镜前灯不是黄色的就更好了。太暗。', 'star': 3}
{'descr': '我昨天住‘易佰’连锁旅店(周浦店),房间内没有饮水设施,要去走廊取水而受凉感冒,所以今天不敢再住了,只能另行预定.', 'star': 3}
{'descr': '酒店很小，但是非常干净，和锦江之星有的一比了', 'star': 5}
