{'短评内容': '早餐稍微有点贵', '短评打分': 4}
{'短评内容': '真心不错，出乎意料！', '短评打分': 5}
{'短评内容': '商务套房不能加床，有停车场的地方。', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '酒店位置很好找，十字路口一角。卫生环境也不错，很干净，楼下有餐厅，晚上还有大排档，出门有共享单车，吃住行都很方便哈', '短评打分': 5}
{'短评内容': '公司买的 支持一下京东吧', '短评打分': 5}
{'短评内容': '还没开始住 等京东回复我', '短评打分': 5}
{'短评内容': '宾馆新装修，内部环境不错，只是外边过于清冷，连一个小超市吃早餐的地方都找不到。总体还不错，第一次用京东订酒店，因为没有很明确发票是邮寄的，还没有收到发票影响报销了。', '短评打分': 5}
{'短评内容': '不错挺好的非常喜欢，下次还会光顾。', '短评打分': 5}
{'短评内容': '第二次入住了 非常不错 环境好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间不错，空间还可以', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '位置离我们客户的地方工业园区是不错的额，相对来说价格是适合的 而且办理入住的时候，总体来说还是方便的', '短评打分': 3}
{'短评内容': '非常好………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '空调加暖气一起取暖效果还不错', '短评打分': 3}
{'短评内容': '还可以的酒店啦', '短评打分': 4}
{'短评内容': '还是到周边出差。这个地方离马路太远了，打的不方便。', '短评打分': 3}
{'短评内容': '商务大床房间很小', '短评打分': 4}
{'短评内容': '我们都是在布里斯班去买了两个小时后才开始明白知足常乐。', '短评打分': 5}
{'短评内容': '可我恶魔可怜看一看忘了哦呀', '短评打分': 5}
{'短评内容': '不是主楼,进入到里面要走很远的,环境非常不错,房间有点小,但价格很公道.毕竟牌子很亮.', '短评打分': 4}
