{'descr': '酒店非常的不错……', 'star': 5}
{'descr': '还不错，离南京南站很近', 'star': 5}
{'descr': '还行吧，这个价格还算一般吧', 'star': 4}
{'descr': '墙面，地板，毛毯。脏！！', 'star': 1}
{'descr': '不得不说实在是不能直视，去了饶了好几个弯，进去以后什么都没有，还是烂的', 'star': 1}
{'descr': '赞', 'star': 5}
{'descr': '很满意，服务好！！！', 'star': 5}
{'descr': '一般般把，不过在周围还算是比较便宜的', 'star': 5}
{'descr': '不错的酒店适合带孩子的一家3口，就是网线信号差点', 'star': 5}
{'descr': '酒店基础设施陈旧，房间卫生不错，浴巾都破出了洞。周边环境一般，距离车站较近，挺方便。', 'star': 3}
{'descr': '南站附近很便宜的宾馆了，还不错！', 'star': 4}
{'descr': '位置地点有点偏，但在南站附近也只能这样选择了。房间设施齐全，该有的基本都有。旅客只能乘电梯上下楼，而楼梯在什么地方未被告知。', 'star': 3}
{'descr': '环境还行，什么都有，有电视有空调，临时住的。', 'star': 5}
{'descr': '地点有点偏，但在南站附近也只能这样选择了。房间设施齐全，该有的基本都有。旅客只能乘电梯上下楼，而楼梯在什么地方未被告知。', 'star': 4}
{'descr': '感觉还好，凑合住下还行，床太软', 'star': 3}
{'descr': '酒店还行，设施一般！南站附近，也算凑合吧', 'star': 4}
{'descr': '装修太老价格太高不划算', 'star': 3}
{'descr': '挺好的，离着南站不是很远，走15分钟左右！', 'star': 3}
{'descr': '只有一张床，也不说明，房间很小，只有标间的一半大，感觉上当了！', 'star': 1}
{'descr': '住宿条件不错，价格合理，就是窗户没有纱窗，还关的不是很严，但是我觉得这价格住着还是很超值的', 'star': 5}
{'descr': '空调就像拖拉机一样在身边不停的吼，半夜能听到门口其他客人的说话声音，12个小时的睡眠时间，质量非常的差劲。', 'star': 1}
{'descr': '酒店到虹桥机场有车接送！就是网速慢！', 'star': 3}
{'descr': '订的石库门却拉到了银洋酒店！好烂的地方。', 'star': 3}
{'descr': '还不错 挺干净的，环境倒是一般，不过还是挺安静的，服务蛮周到', 'star': 5}
{'descr': '交通便利，专车送至虹桥机场仅需5分钟！环境一般。', 'star': 5}
{'descr': '环境不怎样，只是有道机场的接送车', 'star': 3}
{'descr': '太差太差，无法忍受。怎么感觉是其他酒店剩下来的二手货 摆在屋子里。而且灯光昏暗，热水壶 一层的灰尘 上面还脏兮兮的。只有 车接车送 是满意点。', 'star': 1}
{'descr': '房间比较小，但是服务比较好，距离虹桥机场非常近，能免费接送。', 'star': 5}
{'descr': '挺卫生的，各种设施齐全。宽带没连上网，房间里的电视不怎么清晰', 'star': 5}
{'descr': '房间大  干净  热水足   离火车站近    可把出租司机给气坏了，哈哈', 'star': 5}
{'descr': '就是原来的汉庭', 'star': 3}
{'descr': '非常好。比较干净，经济。', 'star': 3}
{'descr': '不错', 'star': 3}
