{'短评内容': '价格有点贵！楼下是饭店很吵其他还好！', '短评打分': 3}
{'短评内容': '酒店的服务设施都很好，比前一个酒店强很多，给我5分，下次还会选择这个酒店的！', '短评打分': 5}
{'短评内容': '春节和家人一起去的，适合一家人居住，房间挺大的，走着5分钟就到海边了，很方便，就是厨房的设施比较陈旧，老板也还算热情！~', '短评打分': 4}
{'短评内容': '酒店的位置很好，交通便利，离大东海近，走两三分钟就到海边了，只是最好不要订靠近马路的房间，晚上很吵，如果不靠近马路就完美了，价格相对酒店不贵，适合家庭旅游住宿，如果下次老板能给我们不是靠近马路的房间的话还会入住。', '短评打分': 5}
{'短评内容': '朋友说，公卫很不方便，洗个澡都洗不好，房间里有只讨厌的大苍蝇，一直嗡嗡的，其他还好', '短评打分': 3}
{'短评内容': '真的太不靠谱了，还家庭式公寓，让人一点都感觉不到家的温暖．进去啥都没有，一次性牙刷牙膏，一次性沐浴液洗发水都没有，说要有的话一个加１元，最夸张的是卷纸都要向他们要才提供．总共两张床一张床还是断脚的，他们回答的很好，你去别的地方还不一定有这种床给你们睡的！郁闷啊....本来订４天的，第二天就退了换地．来海南是第二次了这家给我印象最差.....', '短评打分': 1}
{'短评内容': '酒店离海边很近，环境不错。卫生一般，热水不热，还好这个天气冲凉水澡还挺舒服的。', '短评打分': 5}
{'短评内容': '房间布置和卫生还可以，在大东海周围算是性价比不错的了，周围交通很方便，去海边步行5分钟即可，店主也很热情~~~~~谢谢！', '短评打分': 5}
{'短评内容': '确实不咋地，上网房里上完全没信号，硬件差了点', '短评打分': 1}
{'短评内容': '房间什么的都很好，到三亚第一晚住的就是这，只可惜晚上外边有点吵，一直在放音乐，早上又开始施工，很难休息的好', '短评打分': 5}
{'短评内容': '一般，硬件确实较差，脆弱的不敢碰，洗澡水小就算了，还能洗洗，不像一般的家庭旅馆，私密性不好', '短评打分': 1}
{'短评内容': '还不错，价格便宜，公寓式的房间也很方便。挺满意的', '短评打分': 5}
{'短评内容': '周边环境 出行方便 离大东海海滩蛮近的 吃饭也比较方面 去市区乘公交只要3站 酒店环境还算可以 就是房间的太阳能热水器（我们去的那几天没什么太阳）没热水，要去公用卫生间洗澡，有点不太方便，希望能改善一下，换成太阳能和电能两用的。', '短评打分': 5}
{'短评内容': '有点贵', '短评打分': 3}
{'短评内容': '1302给我一个阳光充足的房间，假如你在中午入住的话，感受会更深刻。可以远远地看海。说到旅馆标志，我认为最清楚的是门口的大东海居委会标志，进去以后找一单元很不容易，希望能明确说明一下，我带着行李转了两圈又打了电话才找到（楼房好像是没有单元标记的）。前台服务很热情，提前给我们寄存了行李。但是如果我的钱包真得很鼓很鼓，这样的旅馆肯定不会是首选。一切都因人而宜，春节旺季，偶尔住住，满可以了不必太苛求。难', '短评打分': 1}
{'短评内容': '旅馆价格一般，位置比较隐蔽难找，本人入住的是海景双人房，装修一般，房间的太阳能热水不够热，另外晚上周围比较吵，喜欢安静的朋友不合适。', '短评打分': 5}
{'短评内容': '旅馆价格便宜，位置比较隐蔽难找，订的海景双人房，装修一般，房间的太阳能热水不够热，适合夏天的温度，好处是周边海鲜大排档挺多的，不需要跑到春园海鲜广场那么远', '短评打分': 5}
{'短评内容': '交通便利,布置温馨,窗外就是著名的大东海广场;不足酒店大门无明显标识,第一次上门不易找到,房间内只有太阳能热水器,阴天想用热水只能去公共卫生间.', '短评打分': 5}
{'短评内容': '位置很好很方便，但六户进一个大门难免有影响，要求高者务住。', '短评打分': 3}
{'短评内容': '服务态度好，但热水不好，水小。', '短评打分': 3}
{'短评内容': '服务不错，来前电话沟通后，店家尽最大努力满足了我的要求，环境整洁，而且交通非常便利，离海边很近，吃饭也很方便！下次来还住这家！！！', '短评打分': 5}
{'短评内容': ' 已经入住，房间很乾净，离公交车站约五分钟，离大东海滩走十分钟，挺方便的。酒店没有招牌，找路时绕了半天才找到', '短评打分': 3}
{'短评内容': '非常温馨的家庭旅馆.我们住的房子还有一个楼顶天台,面对大东海,地理位置极佳,5分钟就能走到大东海.而且这里还给我们提供洗衣机和厨房.入住了10天此店的热情服务使我们难以忘怀,尤其是老板娘思思,给我们了很多帮助.老公是德国人,他对我们中国人的周到服务印象极深.回到德国还不断提起这家家庭旅馆,如果下次去三亚我们一定还会选择三亚简爱居海边小筑.', '短评打分': 5}
