{'descr': '无线网络很快，工作人员服务很好，推荐入住哦！', 'star': 5}
{'descr': '很喜欢住在这里，性价比超高的', 'star': 5}
{'descr': '不错！！！！！！！！！！！！', 'star': 5}
{'descr': '超级好的 朋友很满意 性价比高', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间挺好挺干净的～', 'star': 4}
{'descr': '厕所味道很重，排风扇很吵，隔音效果也不好外面车子路过都能听见，还有蚊子……睡得很不好', 'star': 3}
{'descr': '交通便利，设施齐全', 'star': 5}
{'descr': '两个房间烟味都特别重 特别重 而且没有窗户 通风也很差 ', 'star': 3}
{'descr': '地理位置好', 'star': 5}
{'descr': '要是房间状况更好点就好了，服务没得说', 'star': 4}
{'descr': '环境很好，交通也很方便', 'star': 4}
{'descr': '就是感觉服务蛮好的', 'star': 5}
{'descr': '蛮好', 'star': 5}
{'descr': '床单有点脏不满意', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还行，就是有点小，大床房没有噪音，就是采光不太好~', 'star': 5}
{'descr': '很好，服务态度很好，酒店很干净，里火车站很近，走路五分钟，周围都有超市，本来订的是特惠大床房，运气好，换成了商务大床房，推荐！', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '特价房无窗子 其他还可以 厕所稍微有点脏', 'star': 5}
{'descr': '离火车站很近。莫泰168一贯的水准。价格可以接受，周边吃饭也比较方便。', 'star': 5}
{'descr': '离车站近,交通方便', 'star': 3}
{'descr': '离火车站近,很方便,不安静,总有机器噪声', 'star': 3}
{'descr': '交通挺便利的', 'star': 3}
{'descr': '整体还算可以 物有所值吧  交通比较方便', 'star': 5}
{'descr': ' 床很舒服 网络不稳定', 'star': 3}
{'descr': '空气不通畅，方便', 'star': 3}
{'descr': '离车站蛮近的 比较方便 环境也不错 而且经济实惠 ', 'star': 5}
{'descr': '本来定的大床房，后来大床房没了，给了商务大床的，不过房间还是小了点，隔音不是太好，其他都还可以，离火车站近，交通方便,,,', 'star': 5}
{'descr': '比北京的新世纪迷你鬼店好太多。会推荐给身边的朋友的。', 'star': 5}
{'descr': '环境很不错,离火车站,客运站,地铁站都很近.服务态度很好,很值得推荐.', 'star': 5}
{'descr': '房間很乾淨…空調很好～交通較方便。', 'star': 3}
{'descr': '啥都不错的，就是手机信号太差了，几分是0,上次住特价房如此，这次住大床房依然如此，嗨。。。', 'star': 5}
{'descr': '酒店有点旧，被子感觉也有点旧，感觉是莫泰里比较差的', 'star': 3}
{'descr': '很不错,靠近火车站，和同学去上海玩住的很开心。', 'star': 5}
{'descr': '地段还是比较好的，出门比较方便，房间小，隔音也不是很好', 'star': 5}
{'descr': '位置可以火车站南广场过两个马路的小街道上，房间黑小，服务不错在上海还是比较实惠的啦', 'star': 5}
{'descr': '环境不错，比较安静。里面的设施很干净。', 'star': 3}
{'descr': '蛮好 蛮好 蛮好 蛮好的，，，，，，有机会 会继续住', 'star': 5}
{'descr': '前台服務員處理事情很差,我先要求退房, 轉頭居然幫比我晚到的客人先處理, 只是他是白皮膚! ', 'star': 1}
{'descr': '真的离自己要去的地方很近，交通很方便，离上海火车站只要步行几分钟就行了。环境也不错，周围配套设施都很好。', 'star': 5}
{'descr': '连锁酒店 住得多了 就没什么新鲜了 整体可以', 'star': 5}
{'descr': '挺不错的！而且服务非常好！出去玩住在这还是挺实惠的哦！', 'star': 5}
{'descr': '房间不错，离上海火车站很近，步行即可到达，蛮方便的，下次还会入住。', 'star': 5}
{'descr': '整体还可以，因为离火车站近，有点声音，其他都蛮方便的\n', 'star': 5}
{'descr': '离火车站近，方便，蛮干净的，整体还好,下次还会住。', 'star': 5}
{'descr': '入住很舒适', 'star': 3}
{'descr': '其实蛮好找的，只是还可以再详细点，就说在火车站进站口正对面长安路上就行了~害我好找~房间卫生还好，就是隔音真的很差，我订的房间跟电梯隔了一间房，半夜居然还能听到电梯上下的声音，隔壁看电视、聊天也听得到~空调就像拖拉机一样，好大声，服务人员态度很好！', 'star': 1}
{'descr': '交通很便利，周围商店小饭店也很多。有的房间信号不太好，手机没办法用。换了间房间才解决。。。', 'star': 5}
{'descr': '酒店位置好方便啊，里面设施很全，大床也很舒服，价格也合理。走道里隔音不好，但是不影响休息，水很热，会再次选择入住的。', 'star': 3}
{'descr': '环境不好，卫生条件差，不推荐来！', 'star': 3}
{'descr': '酒店地理位置很好离上海站步行就五分钟，非常适合早上赶火车的人，不过酒店略显陈旧，隔音也不是太好', 'star': 3}
{'descr': '去上海机场接亲戚,在上海游玩,为了返苏州方便寄存行李,订在火车站附近.check in之前先进去看了看，感觉不错。晚上吃饭遇到亲戚同机的老乡，他们问住的地方是不是还有房间。打电话问了，有，就也预定了。\n第二天大家一致认为还不错。卫生状况都还可以。就是当天附近施工早上5点机器有噪音，好在天亮了。\n离机场专线大巴5线的停靠点300米，方便。\n以后还会尝试。行李可以免费积存到check out的当天晚上', 'star': 5}
{'descr': '交通确实方便，房间也很干净。但是空调太闹，而且南边的房间靠马路较吵。不过总体性价比还是不错的。', 'star': 5}
{'descr': '差不多情况，好处是靠办公室近，很安样。出行也方便！', 'star': 5}
{'descr': '差不多情况，好处是靠办公室近，很安样。出行也方便！', 'star': 5}
{'descr': '还可以，关键距离火车站近。连锁酒店，总体还过得去。', 'star': 5}
{'descr': '还可以，关键距离火车站近。连锁酒店，总体还过得去。', 'star': 5}
{'descr': '酒店网速不是一般的慢，恶心死了，下次再也不住这家了。', 'star': 3}
{'descr': '酒店网速不是一般的慢，恶心死了，下次再也不住这家了。', 'star': 3}
{'descr': '＋服务很好，卫生', 'star': 3}
{'descr': '＋服务很好，卫生', 'star': 3}
{'descr': '很精致 不错！ 可以用wifi，去南京路、外滩也很方便。', 'star': 5}
{'descr': '很精致 不错！ 可以用wifi，去南京路、外滩也很方便。', 'star': 5}
{'descr': '帮来上海办事的朋友定的，地段好，方便，火车站走过去3分钟，就什么都有了。', 'star': 5}
{'descr': '帮来上海办事的朋友定的，地段好，方便，火车站走过去3分钟，就什么都有了。', 'star': 5}
{'descr': '一个人住  空间还可以。不错了.主要是是离太平洋汽车站很近', 'star': 5}
{'descr': '一个人住  空间还可以。不错了.主要是是离太平洋汽车站很近', 'star': 5}
{'descr': '干净整洁。非常舒服。下次玩还会订这家。大家也去订啊', 'star': 5}
{'descr': '干净整洁。非常舒服。下次玩还会订这家。大家也去订啊', 'star': 5}
{'descr': '虽说有点破，但还是比较方便的，离火车站很近', 'star': 5}
{'descr': '虽说有点破，但还是比较方便的，离火车站很近', 'star': 5}
{'descr': '服务还不错，也还挺干净的，离车站较近，方便乘火车。', 'star': 5}
{'descr': '服务还不错，也还挺干净的，离车站较近，方便乘火车。', 'star': 5}
{'descr': '环境舒适，离火车站很近，房间比较大，值得再次入住', 'star': 5}
{'descr': '环境舒适，离火车站很近，房间比较大，值得再次入住', 'star': 5}
{'descr': '酒店地点好，离火车站很近，酒店的服务也好', 'star': 5}
{'descr': '酒店地点好，离火车站很近，酒店的服务也好', 'star': 5}
