{'短评内容': '总店，分店都是同一个问题，无线差得要死', '短评打分': 3}
{'短评内容': '早餐品种丰富', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '很好，方便，干净', '短评打分': 5}
{'短评内容': '价格对得起房间的环境，这个价格住这样的房间还不错', '短评打分': 4}
{'短评内容': '还好，经常住', '短评打分': 4}
{'短评内容': '服务不错，交通便利，很满意。', '短评打分': 5}
{'短评内容': '服务不错，交通便利，很满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的酒店 我一个人晚上 入住 还送间双人房给我 虽然我也不知道还剩下一张床给谁睡', '短评打分': 5}
{'短评内容': '不错，老顾客了，每次来桂林都住这家，因为离火车站近，交通方便，周边设施齐全，酒店空间大，最重要的是有宽带！', '短评打分': 5}
{'短评内容': '&hellip;去到那里说我的房间没了还要我补钱开标间，贼鸡儿气', '短评打分': 5}
{'短评内容': '기차역 뒷편이라 위치는 매우 좋은 편이지만, 객실이 청결하지 않습니다. 구석진 곳에 먼지와 벌레가 있네요.', '短评打分': 3}
{'短评内容': '因为要去到桂林坐飞机，所以提前了一晚上过来桂林。酒店离火车站实际上是有一定距离的，走路的话拉着行李箱非常辛苦。火车站附近地形又比较乱，言而总之，酒店位置太难找了。附近的的士摩托车司机非常坑，去到酒店要十块。等你上车，一眨眼功夫就到了。酒店房间比较窄，墙壁泛黄，设施都是比较陈旧。隔音效果差，晚上睡觉的时候还能听到火车站火车的声音。酒店附近在施工，打出租车也是极其不方便。', '短评打分': 3}
{'短评内容': '价格很便宜，入住后环境超级棒！', '短评打分': 5}
{'短评内容': '房间各方面还还，前台个别也不错，房间啊姨态度不好，很不耐烦，应该看个人素质吧，周边也没什么特别的，离景区有点距离吧，但是携程是依旧支持的', '短评打分': 4}
{'短评内容': '距离火车站很近  就在桂林站后面  环境干净  床铺也舒适  周围吃的很方便只是在修路不是太方便  总体性比价高   有机会再光临', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '干净、整洁。感觉挺好的。就是周边环境有些差。', '短评打分': 4}
{'短评内容': '整体环境都不错。。。。。。', '短评打分': 3}
{'短评内容': '房间小，地毯无比脏，味道大', '短评打分': 3}
{'短评内容': '主要是方便朋友入住，还不错，确认挺快', '短评打分': 4}
{'短评内容': '地理位置方便,酒店不错!床很大~早餐也不错.房间很漂亮', '短评打分': 5}
{'短评内容': '房间设计比较精巧，比较舒服。但是卫生间太小，排气系统有问题，有臭味。楼梯太远，拐弯太多。服务态度尚可。', '短评打分': 1}
{'短评内容': '该酒店虽然非挂牌星级酒店，但硬件设施不错；房间不大，但很新。对于一般商务出差来讲，还是很不错的。特别是前台服务很热情！不足之处就是酒店用餐费用不能挂房费，不太方便。', '短评打分': 5}
