{'短评内容': '隔音不好，又是大马路边，太吵了', '短评打分': 4}
{'短评内容': '挺好的，房间大，就是感觉年久失修，老照片。', '短评打分': 3}
{'短评内容': '酒店不专业，携程免押金入住，并且已经告知前台，前台说看不到，并且还让刷卡，结果携程也扣款，重复收款', '短评打分': 1}
{'短评内容': '卫生用品不全', '短评打分': 3}
{'短评内容': '还不错 可以', '短评打分': 5}
{'短评内容': '比较实惠，还可以吧，嗯，在周边来说的话，房间格局也挺好。', '短评打分': 5}
{'短评内容': '有蚊子！', '短评打分': 5}
{'短评内容': '环境还不错，性价比高，周边吃的比较少，离市区比较远，门口有公交站，还不错，酒店内卫生情况一般，有蟑螂', '短评打分': 5}
{'短评内容': '酒店还是不错的，性价比很高，房间还是很大的，卫生也还可以，就是晚上蚊子比较多，没有蚊香片要被咬死了，周边交通环境不咋地，交通还可以，有公交车。', '短评打分': 5}
{'短评内容': '酒店性价比很高，150多住的豪华大床房，房间很干净，有大窗户。交通也还比较方便，门口就是公交站，总体还是不错的，就是周边是五金市场，吃饭的地方比较少，我们绕了半天没看到有大点的饭店。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错，卫生，房间大，隔音好，下次还会选择这家', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间整体感觉还行，听说要重新装修，明年再来，希望已经装修好。', '短评打分': 3}
{'短评内容': '装修有点旧，但房间整体干净，感觉还挺好。', '短评打分': 3}
