{'短评内容': '家里有些冷，还有洗澡用的喷头是坏的', '短评打分': 3}
{'短评内容': '服务一般，卫生条件一般', '短评打分': 4}
{'短评内容': '比较小巧，性价比一般', '短评打分': 5}
{'短评内容': '不错！房间挺干净的', '短评打分': 5}
{'短评内容': '条件一般、屋里有异味。洗澡水很凉。', '短评打分': 3}
{'短评内容': '酒店不错，房间里干净，床挺舒服，舒适度不错，就是吃饭要走远些，楼下路口有个卖西瓜的，西瓜很好吃', '短评打分': 4}
{'短评内容': '就餐方便，出行便利', '短评打分': 4}
{'短评内容': '非常不错，就餐方便，出行便利！', '短评打分': 4}
{'短评内容': '附近吃饭方便，靠近团结大街，出行便利！', '短评打分': 4}
{'短评内容': '还好吧 房间里有些异味啊 价格一般 环境一般', '短评打分': 1}
{'短评内容': '环境还好 就是结账时候的价格与网上的价格不一样要多啊', '短评打分': 1}
{'短评内容': '干净卫生，，设施新，看起来挺豪华。服务很周到，位置也不错。没停车位。', '短评打分': 5}
{'短评内容': '挺好的吃的也很方便只是在网上定的价格跟结账时不同建议价格变更应提前告知', '短评打分': 3}
{'短评内容': '还算干净  但是酒店服务态度很差 发票不真 背后议论客人', '短评打分': 1}
{'短评内容': '在阿吉奈道和团结大街交叉口网北大概一百多米的距离。电视貌似是卫星的，能够收到星空卫视和凤凰卫视之类的台，还算卫生。就是喝的水有点味道。有单独的纯净水提供，但是是收费的。我们住的是六层，没有电梯。如果您行李多的话，要考虑一下。总体来说，对得起这个价格，下次我会考虑再次入住。', '短评打分': 5}
{'短评内容': '酒店很不错，比较卫生，空间大，很满意。', '短评打分': 3}
