{'短评内容': '房间挺好的 很温馨 跟干净  老板人也很好热情 周围次的也很方便 又续住了两天', '短评打分': 5}
{'短评内容': '不错   好评          ', '短评打分': 5}
{'短评内容': '房间挺大的  很温馨  周围逛的吃的也都很方便   ', '短评打分': 5}
{'短评内容': '好评！房间安静！也干净！老板也很好！', '短评打分': 5}
{'短评内容': '环境安静，出行当天酒店还有专门的短信通知路线。不算特别难找。找小吃，逛沙滩都很方便，小孩也玩得很开心。如果不是国庆期间去应该更棒。', '短评打分': 5}
{'短评内容': '感觉还不错啊，如果床能换成1.8米那就更加好了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '总的来说还行', '短评打分': 4}
{'短评内容': '客栈老板人很好，你们很晚才到的，一直等待我们，客栈位置也很好找，干净卫生，性价比超高，下次去还住这里。厦门这个城市很美喔，天都是蓝的。', '短评打分': 5}
{'短评内容': '其实不算难找，位置离车站，海边，小吃街，鼓浪屿都很近，而且房间特别漂亮也很温馨，坐在那里就觉得很惬意，房间挺大的，一般有的都有，非常满意。值得一提的是店家人很好，我们当天没赶上高铁，店家免费帮我们换成明天的，很感动啊！！相比鼓浪屿的住宿算非常便宜了！从鼓浪屿回来还住这边！！老板推荐的厚土司也很不错~~', '短评打分': 5}
{'短评内容': '房间不错，很大，第一次住圆床房。各方面整体上都很棒。只可惜是本次旅游最后一天，要赶飞机，否则一定多住几天', '短评打分': 5}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '客栈环境不错～卫生干净整洁～晚上也很安静～我们提早来了～然后老板也让我们提前入住了～很人性化的服务～厦门天气也太好了非常舒服～天空都是蓝的没有一片云～太爱这个城市了～住的我都不想走了～', '短评打分': 5}
