{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '这个宾馆，对得起这个价格。', '短评打分': 5}
{'短评内容': '地理位置好', '短评打分': 4}
{'短评内容': '马上关了，据说重新装修', '短评打分': 5}
{'短评内容': '非常棒的体验', '短评打分': 5}
{'短评内容': '设施陈旧，卫生一般，烧水壶不跳，老掉牙的装修，早餐差，没有什么吃的，感觉比纽约的价格贵，中国的消费水平太高了。', '短评打分': 3}
{'短评内容': '优点是卫生间设备设施还不错，办公桌上的小工具盒很贴心。缺点是房间太暗了，插头特别少，对着床有一面镜子。服务也不怎么样，送餐服加收30%服务费还得去餐厅点餐……', '短评打分': 4}
{'短评内容': '房间很大，装修有点老，服务有点儿硬。', '短评打分': 4}
{'短评内容': '还行，房型不规整', '短评打分': 5}
{'短评内容': '交通方便，在北京这个价格，值！', '短评打分': 5}
{'短评内容': '比较老的山西人开的酒店，性价比在那个地段算是很高的', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置不错，老牌四星，性价比还是很高的。', '短评打分': 5}
{'短评内容': '去附近办事，整体还可以，山西人开的', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '酒店交通很方便，卫生环境较好，适于商旅住宿', '短评打分': 2}
{'短评内容': '酒店很值得一住，原本预订的是豪华大床房，免费给升级了套间，环境卫生都很不错，值得推荐。', '短评打分': 5}
{'短评内容': '第二次入住，性价比不用说了，不错的酒店，有时候不容易预定。', '短评打分': 5}
{'短评内容': '位置好，去三环 二环都方便。周边的餐厅很多，品尝美食很方便  酒店的陕西餐厅做菜味道很好，价格不贵！', '短评打分': 5}
{'短评内容': '酒店位置很好，条件很不错，环境很好，干净，值得推荐。', '短评打分': 5}
{'短评内容': '酒店很好，干净卫生，下次来北京还会住这里的。', '短评打分': 5}
{'短评内容': '前台押金交的有点多，房间整体还好，浴缸有点小', '短评打分': 5}
{'短评内容': '停车免费。。优点。。房间不错，宽敞、干净', '短评打分': 5}
{'短评内容': '条件太好了，有种惊艳的感觉~推荐推荐~绝对有四星级了~', '短评打分': 5}
{'短评内容': '非常好的酒店 绝对有四星哦  还免费了升级了套间，非常舒适 性价比超高的酒店。全力推荐！', '短评打分': 3}
{'短评内容': ' 床质不好。前台服务员很热情。总体这个价位在北京也不错了。', '短评打分': 3}
{'短评内容': '很不错的一家酒店，客观讲装修稍显古老，比不上很多刚开业的现代化酒店，但是绝对够四星，前台免费升级了豪华套，屋子很大，总之住着很舒服，服务也不错，要什么东西很快就送来。 唯一不爽的插曲是一位同事到机场发现临走时把身份证落在房间里，打电话告诉服务员说在掉到什么位置了，等了一个小时还说没找到，根本没有。于是返回酒店就在告诉他们的的地方找到了，进屋的时候两个服务员正在聊天。。。责任心太差！', '短评打分': 5}
{'短评内容': ' 房间偏小。只有小管的沐浴洗发液。一楼餐厅吃饭一道菜等了50多分钟之间一个劲说马上就好。挂帐时说余额不足后又说可以...', '短评打分': 3}
{'短评内容': '来这里开会入住的，很好，很方便，价位也挺合适！', '短评打分': 5}
{'短评内容': '非常好，订了单人房，每次都升级为套房。是个惊喜！交通方便，安定门地铁北一站地！', '短评打分': 5}
{'短评内容': '非常不错，环境、位置及客房配套设施等都相当的不错', '短评打分': 5}
{'短评内容': '价格在同类酒店中算便宜的了，订了套房，里面的床真是小啊。', '短评打分': 5}
{'短评内容': '酒店卫生服务都不错,位置交通都好,就是不含早餐,', '短评打分': 3}
{'短评内容': '位置不错，环境也不错，交通方便，性价比高，下次来还住这。', '短评打分': 5}
{'短评内容': '酒店性价比高，餐厅味道不错。', '短评打分': 3}
{'短评内容': '房间很大,环境清靜,厕所浩淨,网速很快, 但房电视接收不清,早歺中式好、西式弱！', '短评打分': 5}
{'短评内容': '没有以前的大，暖风十点后才有。', '短评打分': 3}
{'短评内容': '不错,很干净整洁,洗漱间很大,房间也不小,朋友说下次来还要住,只是很可惜没能尝尝楼下晋味美食!', '短评打分': 5}
{'短评内容': '非常大，很好', '短评打分': 3}
{'短评内容': '4星级酒店，价格实惠；\n大堂气派，距离开会的地方很近；\n饭店山西风味浓郁。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '房间很大，设施不错。', '短评打分': 3}
{'短评内容': '酒店不错，下次还准备入住。', '短评打分': 3}
{'短评内容': '房间很大', '短评打分': 3}
{'短评内容': '房间很大，很干净，住的很舒服。就是总台服务人员服务一般，都不会用礼貌用语。另外就是楼道通风不好，有一股味。', '短评打分': 5}
{'短评内容': '服务态度非常好\u3000客房非常干净\u3000设施齐全\u3000装修布置的很舒服\u3000温馨\u3000让人放松', '短评打分': 5}
{'短评内容': '服务很好\u3000装修的很舒适\u3000打扫的很干净\u3000非常喜欢\u3000', '短评打分': 5}
{'短评内容': '预订的价格是398，但到了酒店后工作人员不愿意这个价格给我房间。无诚信。', '短评打分': 1}
{'短评内容': '该酒店离市中心较近，交通方便，就是房间小了点，不过价格合理。', '短评打分': 5}
{'短评内容': '性价比很高的，只是坊间挨着个公司的。很诧异。', '短评打分': 5}
{'短评内容': '价格公道，房间设施很不错，感觉物超所值的。交通也很便利，几乎成了我们去北京的定点酒店了', '短评打分': 5}
{'短评内容': '靠马路房间太吵', '短评打分': 3}
{'短评内容': '这次房间很安静', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '1007房间比较大很好', '短评打分': 3}
{'短评内容': '还可以,就是服务人员办事效率低.隔音不好,需要提高.', '短评打分': 5}
{'短评内容': '同样的价格房间的大小不同时间不一样', '短评打分': 3}
{'短评内容': '很好,服务很周到!', '短评打分': 3}
{'短评内容': '周末的价格比较优惠，其它日子能否也优惠一样', '短评打分': 3}
{'短评内容': ' 酒店很不错！', '短评打分': 3}
{'短评内容': '楼下的晋味楼不错，尤其是酸菜煮牛肉，另外还有小米粥', '短评打分': 5}
{'短评内容': '酒店配套的餐饮不错', '短评打分': 3}
{'短评内容': '酒店环境不错，就是有租为办公室的，性价比好。', '短评打分': 5}
{'短评内容': '免费的水果很温馨', '短评打分': 3}
{'短评内容': '早餐虽然便宜也不能太次哦\n\n正餐价格偏高', '短评打分': 5}
{'短评内容': '哪都好,价格不值啦\n\n别只以为有会议就行哦', '短评打分': 5}
{'短评内容': '很好，价格公道，性价比合适。\n美中不足：房间稍吵。', '短评打分': 5}
{'短评内容': '非常好，设施好，人性化，下次还会来！入住10分钟左右就有水果赠送！咖啡和茶都是免费，冰箱内的饮料也不是很贵，可以接受！', '短评打分': 5}
{'短评内容': '靠马路房间晚上有点闹', '短评打分': 3}
{'短评内容': '酒店此次房间不错', '短评打分': 3}
{'短评内容': '酒店周围没有什么，设施一般，服务一般，很一般的酒店。', '短评打分': 5}
{'短评内容': '安全可靠，干净卫生。交通方便，周边还有山西特色餐厅', '短评打分': 5}
