{'短评内容': '不错吧！主要是服务好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置好，卫生好，服务好', '短评打分': 5}
{'短评内容': '订的家庭房，一进去感觉很长时间没有打扫了一样，不太干净……还有一股霉味……希望酒店多休息一下。但是很便宜。', '短评打分': 3}
{'短评内容': '酒店好老了，好旧，前台一般在房内休息，要打电话才来。', '短评打分': 3}
{'短评内容': '离植物园很近，自带院子，停车方便，设施陈旧，床垫坑坑洼洼。', '短评打分': 3}
{'短评内容': '当天突然暴雪，服务员提前给开了空调。很感动。感谢前台的细心安排。', '短评打分': 5}
{'短评内容': '头疼的无线网…', '短评打分': 5}
{'短评内容': '、汇都宾馆地理位置好，离堪山寺、植物园近，步行十分钟到达，坐公交方便，建议节假日去青岛游玩坐公交出行，自驾游停车不好找车位', '短评打分': 5}
{'短评内容': '位置到很好！但卫生条件需改善！', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '条件实在一般，交通不是太便利，既没早餐，也没牙具，有网线也用不成', '短评打分': 1}
{'短评内容': '就是房间有点小，上网不是很方便。住在一楼，可能是价格低的原因吧。好像周末的时候，房间比较紧张。', '短评打分': 4}
{'短评内容': '本次入住感觉卫生不好，还有蚊子叮咬。', '短评打分': 1}
{'短评内容': '房间实在太小，设备太旧，卫生一般，洗澡洗到一半热水没了“晕”。。。！如果自驾，院内停车很方便！这个价钱只能这样了！', '短评打分': 5}
{'短评内容': '该酒店地理位置不错，西边挨着八大关东边比邻五四广场商务区。有网友说稍晚点就没热水，这点我们没发现，因为晚上十点多我们还洗热水澡了。但是，酒店房间实在太小，与其价格不匹配，大床房号称180*200，实际只有150*200。被子勉强，枕头内枕芯有血迹，要求换竟然拿来个枕套，说是没有多余的枕头可换了。', '短评打分': 5}
{'短评内容': '酒店环境不错，只是有点潮湿，可能是因为海滨城市吧\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': ' 酒店环境不错，只是有点潮湿，可能是因为海滨城市吧', '短评打分': 5}
{'短评内容': '一般的酒店，装修和床都不是很舒服，唯一一点好处就是离湛山寺特别近，如果信奉佛教的香友可以选择此家酒店。另外他们家的牙刷都要付1元钱的', '短评打分': 1}
{'短评内容': '房间还不错，有阳台', '短评打分': 3}
{'短评内容': '环境挺好也很安静 就是房间有点小 两个人住 挺好', '短评打分': 3}
{'短评内容': '特价房，潜台词就是有特价的服务。客观评价：优点：安静，有宽带，有暖气，卫生间较干净。缺点：不是对青岛有点了解的，不是很好找，东西陈旧些，房间很小，设备不好用，隔音很差。说话和电视的声音都能听见，推荐经济实力低的，要求不高的住，', '短评打分': 1}
{'短评内容': '房间太小，虽然位置对我这次出行不错，但是硬件不怎么样', '短评打分': 1}
