{'descr': '给公司同事定的,说是交通不太方便,环境也很一般,有些阴暗潮湿,没有宽带', 'star': 1}
{'descr': '条件简陋，但很实惠，没有高档奢华，服务很贴心。', 'star': 5}
{'descr': '有免费接机，送机，挺方便的。下次还会入住。', 'star': 5}
{'descr': '品质与价格不成正比，感觉不是很值的这个价', 'star': 1}
{'descr': '房间空气太差，是不很干净，接送机服务还好', 'star': 1}
{'descr': '店家态度恶劣，随意换房，恶语相向，再也不去了', 'star': 1}
{'descr': '房间有很大霉味，服务态度一般', 'star': 3}
{'descr': '一群垃圾  ！！！垃圾！！！没水！！！厕所还堵！！！态度很差！！！', 'star': 1}
{'descr': '虽然住宿条件比较简朴，方位稍微有点偏，但我推荐。理由如下：\n1.宾馆离首都机场大概开车15分钟距离，十分适合第二天赶早飞机的人。\n2.接送机服务十分方便。我早上7点半的飞机，宾馆5点叫早服务后，宾馆的巴士5点半又把我送到机场。\n3.宾馆工作人员服务比较周到。巴士到了宾馆，立即就有服务人员迎上来帮忙提箱子，我在前台办理入住时，又有人给我倒了杯热水。\n4.房间有网线可以免费上网。', 'star': 5}
{'descr': '第二次入住了，虽然条件简陋些但人很负责，而且离地铁近。', 'star': 3}
{'descr': '十简陋', 'star': 3}
{'descr': '有接送业务，但中途我们去错了停机喽，想请他们帮忙再送一下结果不同意，郁闷', 'star': 1}
{'descr': '这是一个乡村的旅馆，开始在门市会被吓坏，但走进住处，才稍微安慰一些，整体来说，店面较为灰暗，窄小，条件件很简朴，很简朴，很简朴，很简朴，很简朴，很简朴。', 'star': 1}
{'descr': '晚上2点才到的酒店，条件是差点，但作为只住一晚的我，觉得还是物有所值的。特别是工作人员还热心推荐坐地铁进城，既经济实惠，又快捷。下次有机会还会继续住的', 'star': 5}
{'descr': '酒店一般，比较潮湿，有异味。\n\n但酒店还可以，有免费接送服务', 'star': 1}
{'descr': '还算满意，到机场已是零晨，还有车接', 'star': 3}
