{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '交通方便，很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有停车场，如果带孩子的话可以定家庭公寓型的房间，一张2米大床一张1.5米小床，卧室和客厅都有电视，客厅还有电脑。早餐品质不错，挺丰富的。位置就不用说了 特别好找，周围火锅店大小餐厅都有，方便就餐，。关键酒店价位性价比超高哦！', '短评打分': 5}
{'短评内容': '还算不错，服务很好，停车方便', '短评打分': 5}
{'短评内容': '还有十几天就要入住了，好期待好期待。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置不错，设施偏老。', '短评打分': 5}
{'短评内容': '基本每次来都住这里，高大上，安静，安全，大气，方便，总之哪哪都好!对面道道里面的荣福居黄焖鸡米饭棒棒哒!', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '房间不错，早餐还行', '短评打分': 4}
{'短评内容': '在嘉峪关还算不错', '短评打分': 4}
{'短评内容': '好…………………………', '短评打分': 5}
{'短评内容': '一个很好的酒店，地理位置优越，距离距离景点关城较近；房间宽敞，设施齐全，房间卫生不错；不管是前台工作人员，还是客房服务人员都尽职尽责；餐厅饮食多样，赠送免费早餐； 总之入住愉快，感觉挺好，以后有机会来嘉峪关还会选择酒钢宾馆。', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '不错，性价比很高的酒店，离关城也非常近，推荐', '短评打分': 5}
{'短评内容': '住的是豪华标准间，设备齐全，干净卫生，从火车站打车过来20元以内，或者火车站做2路1元，20分钟，距离汽车站步行5分钟，酒店门口有4路车到关城，没几站也就15分钟吧，总体来说出入方便，值得推荐！ 自助早点品种还行，就是味道一般', '短评打分': 5}
{'短评内容': '这是这次大西北之行住的唯一一家地方四星级酒店，到酒店已经11点过了，第二天因为要到关城参观，所以一早就退了房，可能只入住了7个小时吧。酒店功能还是很齐全的，也比较干净。我们是头天晚上从敦煌到嘉峪关的火车，很晚到嘉峪关火车站，出了站可能是因为天有点晚了的缘故，不太容易打到的。还有出租车在车站门口等客的，听说我们第二天已经包好了车，就不愿意拉我们到酒店。所以如果酒店能提供接站服务会方便很多，也会收获更', '短评打分': 5}
{'短评内容': '酒钢宾馆不错，房间干净。布置雅致。早餐品种多样，推荐羊肉粉条，真的非常好吃，意犹未尽。去的朋友一定要尝尝！', '短评打分': 3}
{'短评内容': '房间很大、餐饮有味、可惜服务一般，可能是国有宾馆的缘故。', '短评打分': 3}
{'短评内容': '非常好,强烈推荐', '短评打分': 3}
{'短评内容': '到了酒店是晚上八点，去餐厅准备点餐，结果一问我们只有两个人，就说没有菜了，但另一帮人大概六七人，比我们晚到，就有菜，是什么四星级宾馆哦，还要看人多少才给服务吗？', '短评打分': 1}
{'短评内容': '相对不错，不到四星标准。服务一般，设施还行。', '短评打分': 5}
{'短评内容': '房间很大，还有一个阳台，很不错，就是入住的时候居然没有拖鞋，打给客房说没货了，个人觉得很影响酒店形象的。', '短评打分': 5}
{'短评内容': '酒店条件挺好的，房间比较大，干净，餐饮味道也不错，价格可以接受，就是紫菜蛋汤上的慢了点。下午赶了两个景点，心情挺好。', '短评打分': 5}
{'短评内容': '好，卫生不错。而且服务也很到位，美中不足的就是服务质量仍需提高，逐步达到星级酒店的标准。而且可供选择的酒店也很多。希望以后有机会仍然选择入住本酒店。', '短评打分': 5}
{'短评内容': '非常好,新楼是四星的,房间大,设施好,象许多朋友说的,阳台很有特色,可以看到雪山.', '短评打分': 5}
{'短评内容': '不错，配得上4星。房间比较大，卫生好，地理位置不错。', '短评打分': 5}
{'短评内容': '室内设施不错，交通很方便，就是价位较高，对地域而言！', '短评打分': 5}
{'短评内容': '设施、卫生方面还不错，在嘉峪关也没什么选择。', '短评打分': 5}
{'短评内容': '房间大，有很明亮的阳台，床也舒服。餐厅也不错。性价比高！酒店位置稍偏，但没什么大碍。', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务周到，很好。', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '这是我这次一路上住的性价比最高的酒店，360的价格很好，房间大，服务也不错，', '短评打分': 5}
{'短评内容': '设施挺好的，性价比很不错。在嘉峪关也没啥选择。', '短评打分': 5}
{'短评内容': '物美价廉。很好。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店新楼房间设施很好，虽然是小城市的星级饭店，一点也不比大城市的4,5星级的差，房间很干净，床铺很舒适。有一个观景阳台，站在南向阳台可远看祁连山，很惬意。是这次旅行中最好的一次住宿。唯一有点不足，可能十一黄金周投宿的人很多，前台接待的小姐笑容欠奉。不过总体来说非常超值！如有机会再来嘉峪关，一定还住这里！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，还有个大阳台，总体来说条件不错', '短评打分': 5}
{'短评内容': '酒店的环境还可以房间的卫生设施都还不错，价格也不算高。', '短评打分': 5}
{'短评内容': '酒店还是在当地还算可以的，内部环境还不错卫生设施都很好，位置还是挺方便出行。价格服务态度都差不多。', '短评打分': 5}
{'短评内容': '酒店分成好几个楼，第一次来会觉得困惑，当地司机都找不到哪个是正门。总台大堂看起来也不够气派。不过在西楼（主楼）的客房还是相当干净漂亮的。设施也挺完善。看起来是新装修的。大床非常漂亮。就是感觉一个大长条枕头没有一堆枕头那样灵活舒服。液晶电视。上网需打电话开通。上网和早餐都会根据不同的楼层有不同的待遇。总之是很值得入住的酒店！', '短评打分': 5}
{'短评内容': '酒钢宾馆条件还不错.各方面都比较达标.房间住起来也舒服.性价比很高.', '短评打分': 5}
{'短评内容': '房间挺宽大，但酒店整体不怎么样。网上信息有误，应该达不到4星标准，且酒店开业时间应该早于2008年5月。服务有待提高，（开房时，竞将未授权的门卡给客人，导致客人上楼后开不了门）。价格偏高，性价比低。', '短评打分': 1}
{'短评内容': '酒店很不错，性价比很高，住着很舒服，下次还会住的。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '酒店环境还可以硬件方面都不错软件的马马虎虎但是也算可以，位置还不错，服务态度价格都很好。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '这家酒店很不错，之前就入住过，下次还会住的。', '短评打分': 5}
{'短评内容': '这家酒店很不错，之前就入住过，下次还会住的。', '短评打分': 5}
