{'短评内容': '距离浙大100m左右很近。距离银行考证中心隔着一条街。周边没有早餐店，仅有一家便利店。所在房间油烟机声音很吵。床头没有插头，很不方便。厕所很臭。房间不含早餐', '短评打分': 4}
{'短评内容': '不怎么样，味道太大，带孩子住了一晚比较后悔。床单味道特别重，后来美团外卖自己买了个床单毯子，好不容易熬了一晚', '短评打分': 3}
{'短评内容': '卫生不错，后边的池塘很美，离浙大很近。', '短评打分': 5}
{'短评内容': '酒店很不错，就是离地铁站有段距离，但是门口就是公交站，交通还算方便。总体还不错。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '故地重游，怀念几年前在学校的美好时光', '短评打分': 5}
{'短评内容': '真心不错，性价比超高！推荐！', '短评打分': 5}
{'短评内容': '怎么说好呢，卫生和设施都是奇葩，下次不住老宾馆了。', '短评打分': 3}
{'短评内容': '房间桌面很整洁', '短评打分': 5}
{'短评内容': '设施旧一点，环境很好，安静。', '短评打分': 5}
{'短评内容': '学生主题酒店，方便，卫生，性价比高', '短评打分': 5}
{'短评内容': '住很多次了，环境好！', '短评打分': 5}
{'短评内容': '性价比偏低的。', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '还是可以的环境，就是就是有一股味道', '短评打分': 3}
{'短评内容': '在这个地方已经可以了', '短评打分': 3}
{'短评内容': ' 日式的房间是阁楼上，空调制冷还不错，一人住还是可以的', '短评打分': 3}
{'短评内容': '干净整洁，环境也挺别致的。地段也好。里面的设备很齐全。就是中央空调不太好，不方便，制冷也不能调节。', '短评打分': 5}
{'短评内容': '房间比较小，稍显压抑，关键离学校近，很方便', '短评打分': 3}
{'短评内容': '交通很便利，酒店环境不错，日式典雅房间有点小，设施设备还是很齐全的。卫生不错，但空调不太给力~总之，还不错', '短评打分': 5}
{'短评内容': '很不错,房间设计的挺有意思的......就是隔音....咱要求也不能太苛刻了', '短评打分': 5}
{'短评内容': '住的是日式雅致房，清爽风格，一半地毯，一半木板，两张圆沙包凳，舒服~', '短评打分': 3}
