{'短评内容': '实在是差，态度好差，连管理级别的人员都不知道尊重顾客。房间也很差很差。这么差的酒店奇怪还会有人住。', '短评打分': 1}
{'短评内容': '还可以吧，有点旧了', '短评打分': 5}
{'短评内容': '还不错，干净', '短评打分': 4}
{'短评内容': '', '短评打分': 4}
{'短评内容': '可以了', '短评打分': 4}
{'短评内容': 'good goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgood', '短评打分': 5}
{'短评内容': '房间小了点', '短评打分': 4}
{'短评内容': '交通方便 地段不错', '短评打分': 4}
{'短评内容': '酒店设施有点陈旧，但是地理位置不错，出行方便', '短评打分': 4}
{'短评内容': '酒店设施较陈旧，位于主路旁，晚上较吵。卫生和服务还可以。', '短评打分': 3}
{'短评内容': '酒店室内,灯光有待改善', '短评打分': 5}
{'短评内容': '灯光不亮，床头灯不能调节', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '位置好，环境不错，服务周到热情', '短评打分': 5}
{'短评内容': '房间挺干净的，设施齐全，就是空调有点旧，总体还是不错的', '短评打分': 4}
{'短评内容': '很一般，卫浴不好，没有永久电源插座', '短评打分': 3}
{'短评内容': '酒店环境还可以…价格也合适…就是老了点！总体还是可以的', '短评打分': 5}
{'短评内容': '环境不错，客房也干净，离火车站也近！', '短评打分': 5}
{'短评内容': '环境不错，客房也干净，离火车站也近！', '短评打分': 5}
{'短评内容': '设施老旧老化严重！服务质量不是一般的差：总台服务员对客人爱理不理且无佩戴姓名牌；退房要花半小时；房间内且无纯净水；', '短评打分': 3}
{'短评内容': '房间隔音太差，隔壁开关声音太响，交通较便利，设施太老。', '短评打分': 3}
{'短评内容': '位置很好，价位也合理。\n酒店房间干净，清爽。设备用起来蛮舒服，适合商务出差。', '短评打分': 5}
{'短评内容': '酒店看上去还比较新，暖气很足，唯一的遗憾是翻身时床吱嘎作响', '短评打分': 3}
{'短评内容': '交通很方便，出门就是车站，周围也什么都有。房间很大，甚至大到觉得有点空旷。虽然说是新开张的，但是感觉还是有点旧，应该是改装过的。不喜欢前台的态度，让人觉得有点冷漠，也不会说欢迎光临，没有宾至如归的感觉。客房服务员倒是挺好。还有，为什么前台没有告诉过我们隔天早上来前台领取早餐券！！！！！！！！！服务配不上这个价位，不推荐。', '短评打分': 1}
