{'短评内容': '服务热情周到！环境干净整洁！', '短评打分': 5}
{'短评内容': '位置好，交通方便。', '短评打分': 3}
{'短评内容': '环境挺不错，设施也非常好。安静，整洁服务超好', '短评打分': 5}
{'短评内容': '房间很舒服干净', '短评打分': 5}
{'短评内容': '已经住过好几次了，好', '短评打分': 5}
{'短评内容': '设施比较新，住的蛮舒服', '短评打分': 5}
{'短评内容': '卫生间很大，房间设施比较旧了，地理位置不错，还有免费停车场', '短评打分': 5}
{'短评内容': '房间稍微小点，还算干净，有早餐！', '短评打分': 4}
{'短评内容': '酒店位于中心区，方便。服务态度一般，早餐差。', '短评打分': 4}
{'短评内容': '真心不错', '短评打分': 5}
{'短评内容': '还都不错 就是一到周末那些个麻将房太TM吵了 本地人说话嗓门都大还是隔音不好 反正是比较吵', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '第一次来 相当不错 物美价廉 以后还会来的', '短评打分': 5}
{'短评内容': '第一次来，不错的地方', '短评打分': 5}
{'短评内容': '环境好，干净卫生，，，，', '短评打分': 5}
{'短评内容': '环境很好入住期间服务很好', '短评打分': 5}
