{'短评内容': '不是第一次住了，还挺便宜的价格', '短评打分': 5}
{'短评内容': '很好，不错哦.......', '短评打分': 5}
{'短评内容': '就是不提供早餐，别的还可以', '短评打分': 4}
{'短评内容': '经济实惠卫生！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间味道特别难闻，因为是特价房，所以也没有窗户可以打开通风。屋里的装饰假窗户上厚厚的尘土应该有挺长时间没有打扫过了。因为离办事的地方近，一个人凑合住吧。', '短评打分': 3}
{'短评内容': '酒店是新装修的很干净，地理位置临街，很安静，不错，价格也优惠！有机会还会来', '短评打分': 5}
{'短评内容': '什么都一般，房间太小。性价比不高。至少同样的房型下次不会住了', '短评打分': 2}
{'短评内容': '很好 二次入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '方便，卫生', '短评打分': 5}
