{'descr': '条件不错，如家还是值得信赖', 'star': 5}
{'descr': '不错的', 'star': 5}
{'descr': '卫生干净，服务良好', 'star': 5}
{'descr': '非常不错', 'star': 5}
{'descr': '好不错', 'star': 5}
{'descr': '位置很好，离地铁口很近，就是靠马路晚上很吵', 'star': 4}
{'descr': '还可以挺干净', 'star': 5}
{'descr': '交通方便快捷 :i', 'star': 5}
{'descr': '勉强不错', 'star': 5}
{'descr': '还行，就是当时说是早上8点装修，7点就开始了，吵', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '交通便利，出地铁口就在马路边', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '设施有点老，服务员服务一般', 'star': 4}
{'descr': '非常好呀，，，，，，，，', 'star': 5}
{'descr': '酒店在装修 房间卫生间门很小 马桶按下一直响 还要手动搞一下 房间隔音很一般 外面隔壁声音都能听见', 'star': 3}
{'descr': '住过的最破最差的如家，真无语了', 'star': 1}
{'descr': '客服很好 房间很干净', 'star': 5}
{'descr': 'wifi速度有待提高。。。。', 'star': 5}
{'descr': '地理位置还行，毗邻外滩和南京路，经济型酒店房间小已有心理准备，唯一美中不足的是酒店房间有股霉味，开门进去非常刺鼻，其他还好，毕竟就这价位', 'star': 3}
{'descr': '99的特价房很给力，就是电视机小了些。', 'star': 4}
{'descr': '房间大，但是电视机很小，洗澡水温偏低，能增加3-5&deg;就好了其他的都蛮好的。还送两瓶矿泉水，99的价位已经很不错了', 'star': 4}
{'descr': '这是我住过最稀烂的酒店，服务质量极差，我下午两点到酒店，他们居然告诉我我订的房给别人当钟点房了！！！！要我下午再去！！！！什么酒店！', 'star': 3}
{'descr': '设施什么的都不错 服务员的态度也很好 总的来说挺好的', 'star': 5}
{'descr': '条件过得去。马马虎虎，但是这个返利太差了。', 'star': 1}
{'descr': '干净，实惠，交通很方便，到地铁站3分钟，晚上不吵，房间面积不算大还可以，只是住了三天床单没有更换，还有IPTV很卡', 'star': 5}
{'descr': '交通很方便，到地铁3分钟，卫生挺好，干净，卫生间偏小，床单不是每天一换', 'star': 5}
{'descr': '室内环境色调很温馨，整体都不错。不过电视有点小，且有点高……', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '还是很不错的  和其他如家的水品差不多 交通方便', 'star': 5}
{'descr': ' 房间较老，网络很快，早餐非常烂', 'star': 3}
{'descr': '还不错，交通很方便，也干净。其他的和普通的酒店差不多。', 'star': 5}
{'descr': '网上预定的是特价大床房，没有窗户，住的时候比较闷，而且会觉得一直是黑夜。房间比较小，但这个价格也值了。离地铁非常近，楼下有便利店，也很方便。', 'star': 5}
{'descr': '位置是很不错的，距离地铁四号线出口步行2分钟就到了。就是隔音有点差。', 'star': 5}
{'descr': '近地铁4号线，交通比较方便，但是房间比较小，设备陈旧。', 'star': 5}
{'descr': '交通还算便利，与在其他城市入住的相比差很多，床单睡了身上痒，后来起床穿上衣服睡觉了，楼上上厕所都能听的一清二出，隔壁出水的水管声音挺大，最只要的是餐厅和客房是在一层，我就住在餐厅的隔壁，早上本想睡个懒觉的，吵闹的不行，餐厅和住房的中间的墙壁居然是木板隔的并非石墙，所以拖动座椅以及餐盘的声音非常大，早上清理房间的推车声音也很大，客人的吵闹声没有听到，整个声音全是由酒店内部发出的特大响声，本来想下次来', 'star': 1}
{'descr': '住了好几天，交通很方便，房间不错，服务态度很好。\n', 'star': 5}
{'descr': '房间挺大的，还有小客厅，环境不错。但是居然柜子下边有蚂蚱。我崩溃了。\n服务态度很好。\n中央空调制冷较慢，但还是可以接受。\n最好选有窗的房间，要不然上海的天气确实让人在房里感觉到有些闷。\n\n', 'star': 5}
