{'短评内容': 'wifi连不上，房间隔音差，吵', '短评打分': 4}
{'短评内容': '卫生不错环境挺好旁边就是中学离火车站也近老板人不错下次会再来', '短评打分': 5}
{'短评内容': '很好 住了两次。', '短评打分': 5}
{'短评内容': '位置好找，比较实惠', '短评打分': 5}
{'短评内容': '房间很好 服务也很热情', '短评打分': 5}
{'短评内容': '房间很新很干净，又方便，下次来厦门还会住', '短评打分': 5}
{'短评内容': '卫生环境不错，服务也好。晚上睡觉也很安静，靠近文灶站brt，交通很方便。去九中考试，超级近的，走路五分钟就到门口了。', '短评打分': 5}
{'短评内容': '环境优美，房间干净整洁，客服很有礼貌，给好评！', '短评打分': 5}
{'短评内容': '不错 老板人也挺好', '短评打分': 5}
{'短评内容': '价格其实还好不过呢就是照片和实体不一样没那么好……厕所还是蹲坑的……洗脸的还特别脏……有洁癖的人算了', '短评打分': 1}
{'短评内容': '特價房110元的實在太差勁', '短评打分': 4}
{'短评内容': '设施还可以。晚上睡觉有点吵', '短评打分': 4}
{'短评内容': '這樣的價格這樣的地區，還算划算', '短评打分': 4}
{'短评内容': '地点离动车站近，交通方便，很容易就找到了，周边购物、公园也很方便，周末价格合理，不象其他的周末还要加价，这一点不错！重新装修过，卫生设施新，下次有朋友来，在帮他们定这里！', '短评打分': 4}
{'短评内容': '周边非常方便，到哪的车都有～～', '短评打分': 4}
{'短评内容': '这个和那个靠海居是同一家宾馆，我订的是138的大床房，结果只有一个小窗户还是朝里的，而靠海居宾馆没有窗户的价格是108。由于没有外面的窗户房间有点味道，卫生还算凑合吧。', '短评打分': 1}
{'短评内容': '我是26日预定的，原本就是为了住得舒服些，所以预定双床的标准间。店内设施旧，门面小，没有大堂，卫生间小，要额外缴纳4%的政府基金，都是在预料中的。但29日入住酒店时，总台告诉我给我定的这件房间空调制冷差，需要较长时间才能达到比较凉快的程度，但到了晚上肯定凉快了，不会影响睡眠的。或者他可以为我们安排一间大床间（谁都知道大床间比较便宜）。我想不影响睡眠，空调多等一会儿，也就算了。到了房间才13点，空调', '短评打分': 1}
{'短评内容': '位置很好，交通方便，价钱也合适，就是条件一般', '短评打分': 3}
{'短评内容': '性价比还可以，设施有点旧，好在基本设施还算齐备，交通很方便。', '短评打分': 5}
{'短评内容': '价格还行，就是一般的旅馆模样，该做好内部装饰了', '短评打分': 1}
{'短评内容': '普通客房，有点贵', '短评打分': 3}
{'短评内容': '交通便捷，就在文灶BRT旁。价格合理，设施齐全。窗外的风景也不错哈~', '短评打分': 5}
{'短评内容': '虽然是特价房！但房间小了！在中间的位置！没透风！洗手间差劲！', '短评打分': 1}
{'短评内容': '房间比较小，设备也不怎样，但地点好离火車站近，价格也低，短暂住还可以。', '短评打分': 5}
{'短评内容': '环境一般,服务态度还不错,有wifi上网', '短评打分': 3}
{'短评内容': '环境太烂，不过便宜，算了。。', '短评打分': 3}
{'短评内容': '价位对比起房间质量来说有点稍高，不过周围很繁华，吃饭很方便', '短评打分': 5}
{'短评内容': '卫生做得不是很好，睡觉的时候发现枕头下面有蟑螂····着实吃了一惊，其他还行', '短评打分': 5}
{'短评内容': '还好，在市区里，性价比还是ok的。就是电视不太好···', '短评打分': 5}
{'短评内容': '房间不够明亮和宽敞，其他还好。价格贵了点。', '短评打分': 5}
{'短评内容': ' 经济型，厕所很差。', '短评打分': 3}
{'短评内容': '卫生间马桶盖坏了，还加收4%额外费用,经协调取消。', '短评打分': 3}
{'短评内容': '位置可以，价格便宜，环境一般', '短评打分': 3}
{'短评内容': '位置不错,临时停车不方便,价格还算行,就是有点旧,靠路边,有点嘈', '短评打分': 5}
{'短评内容': '房间好小，没窗户,但是还算干净.................', '短评打分': 1}
{'短评内容': '看到京城宾馆四个字的的时候我的心情就直线下降，先是木有大堂，就跟个小门面似的，然后从旁边电梯上去到达房间，到达楼层看到那地毯心继续往下沉，找到房间看到那门要石化了，打开房间，天花修补的痕迹，墙上空调移过的痕迹依然存在，洗手间那个脏啊，小也就罢了，刷白一点儿嘛，看到的都是斑斑污垢，洗手间旁边还拉一帘子，掀开一看不知道何意，多出了一块地方，干嘛拉个帘子呢？走向窗户，窗帘中间部分的扣环脱落，所以根本拉不', '短评打分': 1}
{'短评内容': '还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。还不错，性价比高。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '设备还好   WIFI基本用不了   我们住的919三人间空调不冰   晚上出去一趟回来竟然在门口发现小姐信息   ', '短评打分': 5}
{'短评内容': '我要付房间价138元加上4%的房间价，总价=144元，不合理。酒店挺久，服务员还好。开房就把没打扫的房给你，非常恐怕！', '短评打分': 1}
{'短评内容': '一般招待所的标准，地段好，但是房间也简陋，好在价格便宜，随便住住无妨。文灶站下比从金榜公园下过去更近。距离火车站1站多些路，可步行。', '短评打分': 5}
