{'短评内容': '不是说15分钟确认的吗？', '短评打分': 5}
{'短评内容': '早餐还行！房间拥挤，大堂电话永远占线！无语', '短评打分': 4}
{'短评内容': '久和是该地区相当不错的酒店，是出差这边的最佳选择之一。只是当天天气阴雨，周边啥情况不是特别清楚。酒店环境还是很棒的！', '短评打分': 5}
{'短评内容': '总体优', '短评打分': 5}
{'短评内容': '位置很好，到市区很方便', '短评打分': 5}
{'短评内容': '帮朋友订的，很好', '短评打分': 5}
{'短评内容': '都还没住上！', '短评打分': 5}
{'短评内容': '作为京东多年的老客户，第一次尝试在京东上预订宾馆，但总体感觉：除了我因订单显示一直&ldquo;处理中&rdquo;打过京东预订电话，接电话的这位客服主动联系了我4次外（让我感觉到京东仍在关注协调），直到最终预订失败，虽然也退了款，但真的挺遗憾的&hellip;&hellip;', '短评打分': 3}
{'短评内容': '挺方便的，不错的，期待使用中', '短评打分': 5}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '算是，当地最好的酒店了。早餐的牛肉面不错', '短评打分': 4}
{'短评内容': '性价比很高的当地住宿最好', '短评打分': 5}
{'短评内容': '服务还可以。卫生也OK', '短评打分': 4}
{'短评内容': '可能是广德最好的酒店了吧，要求不要太高。', '短评打分': 4}
{'短评内容': '环境不错，房间很漂亮，下次还会选择。', '短评打分': 5}
{'短评内容': '价格偏高，', '短评打分': 4}
{'短评内容': '还不错的酒店，只是周围好像不是太热闹，吃饭需要走', '短评打分': 5}
{'短评内容': '每次去广德出差都会选择久和、房间足够大、环境也很好、档次也可以、就是餐饮那边的价格稍稍有点贵了、而且感觉服务员也不是很热情、', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 5}
