{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错的房间，宽敞，性价比很好，周边交通方便。只是卫生有待改善，沙发有撕掉的套套包装，还有女人的内内，感觉有些不对劲儿。除此外，一切还好。', '短评打分': 4}
{'短评内容': '不错挺干净', '短评打分': 5}
{'短评内容': '一般条件', '短评打分': 5}
{'短评内容': '不能加床地方太小，网上订没有早餐，位置还可以在大马路边上，门口可以停车，这个价格也算可以了，还是比较便宜的了。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '首先给我的感觉是：同是速8连锁，房间装饰布置同比北京的要好很多，价格也相对北京便宜了不少，也许是寸土寸金吧。\n到邢台出差，因为是速8酒店的会员，所以，首选的邢台速8（凯旋店），来之前看网评不是很高，但是，到了之后，给我的感觉确实很惊喜。酒店大门的装修很气派，很高大上，入住房间后，布置很齐全，很干净，睡觉很舒服（床的质量不错）。完全没有了，之前看网评带来的顾虑。\n这家店不错，值得推荐。', '短评打分': 5}
{'短评内容': '地下室房间，冬天潮味很大。', '短评打分': 4}
{'短评内容': '性价比高，对这个酒店很满意', '短评打分': 5}
{'短评内容': '各方面都还可以', '短评打分': 4}
{'短评内容': '设施可以', '短评打分': 4}
{'短评内容': '太破了', '短评打分': 2}
{'短评内容': '不错，很好！性价比好！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '价格不贵，朋友住了一晚走的仓促没觉得有什么不好，唯一感觉就是床有点小吧', '短评打分': 5}
{'短评内容': '还讲究吧', '短评打分': 4}
{'短评内容': '服务环境都不错', '短评打分': 5}
{'短评内容': '卫生间竟然是透明的玻璃。。。。。', '短评打分': 4}
{'短评内容': '酒店不错而且价格合适非常便宜干净', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'en enenenen', '短评打分': 5}
{'短评内容': '设施不错，还是比较干净的，去邢台一直住速8。', '短评打分': 5}
{'短评内容': '房间不太好，洗手间是没有门的，不干净，个人不推荐，', '短评打分': 1}
{'短评内容': '酒店很新，装修也很好，但是无法做信用卡预授权，只能先交押金', '短评打分': 5}
{'短评内容': '房间有线宽带用不了，无线网太不给力了。', '短评打分': 3}
{'短评内容': '环境不错，酒店比较安静，交通便利，入住的首选', '短评打分': 5}
{'短评内容': '地理位置好，打车方便。服务佳 饭菜也不错。', '短评打分': 5}
