{'短评内容': '挺方便的，离虹口足球场比较近，交通是比较便利，房间环境也不错。', '短评打分': 5}
{'短评内容': '一般吧 小小的 就在十字街口 所以不是很安静', '短评打分': 1}
{'短评内容': '卫生间不太干净，淋浴房地面应该很久没打扫过了。', '短评打分': 3}
{'短评内容': '还可以吧，连锁酒店的价格，就是在路边上 晚上有点小吵，吧台小妹服务很热情。', '短评打分': 5}
{'短评内容': '房间什么的都还行   就是靠近加油站 有点吵', '短评打分': 5}
{'短评内容': '离上外很近，但稍微有点小贵啊,房间倒是挺干净整洁。', '短评打分': 5}
{'短评内容': '蛮好，挺干净的，就是隔壁住着几个没素质的人，半夜还在那边叫', '短评打分': 5}
{'短评内容': '还算不错，在虹口足球场看演唱会可以选择。', '短评打分': 5}
{'短评内容': '也就是个一般的快捷水平，只能适合临时住一晚', '短评打分': 3}
{'短评内容': '酒店卫生环境不错，服务态度很好！', '短评打分': 3}
{'短评内容': '蛮好的，酒店不大不过还蛮干净，装修也还好', '短评打分': 5}
{'短评内容': '新酒店 干净 交通也方便 适合在上海出差的人住宿 不错', '短评打分': 5}
