{'短评内容': '环境优美，早餐丰富，是休闲度假的好地方。', '短评打分': 5}
{'短评内容': '早餐可以适合带孩子酒店停车方便。', '短评打分': 5}
{'短评内容': '酒店不错的', '短评打分': 5}
{'短评内容': '环境不错的', '短评打分': 5}
{'短评内容': '太棒的，可以说是超越五星酒店的标准，还有送宵夜，环境优美，安静，性价比超高的，有机会还会下榻这家，太给力了', '短评打分': 5}
{'短评内容': '的很低调白帝城经典奶茶不大口大口HD肯定不动不动就受苦受难的你烦不烦你的快递HD布丁奶茶检查呢水泥地', '短评打分': 4}
{'短评内容': '商务出行住宿的好地方，环境好安静！', '短评打分': 5}
{'短评内容': '嗯。。挺好的', '短评打分': 5}
{'短评内容': '地方有点偏，但环境不错，空气清新，又有早餐，又送宵夜劵。赞一个！', '短评打分': 5}
{'短评内容': '地方有点偏，但空气清新，环境不错，又有早餐，还送宵夜劵。', '短评打分': 5}
{'短评内容': '卫生条件好，安静，一百多能住到这样的酒店很值得。进来的时候有公交，还行，出去的时候比较麻烦一点。酒店有免费的夜宵，第一次碰见。唯一不满意的是再三确认了第二天需要出去，酒店有提供送客人的服务，结果第二天还是没有司机，我步行出来，在酒店门口碰到刚回来的司机，问他什么时候会出去，司机竟然叫我自己去门口等公交，和服务员的态度截然相反，希望酒店在这方面能改进一下。', '短评打分': 5}
