{'短评内容': '给朋友订的，朋友在房间里发现了几只蟑螂。酒店前台服务态度差到爆，床是潮的，也不干净，空调一直响。很糟糕的一次出行，表示再也不会去。影响心情。', '短评打分': 2}
{'短评内容': '服务可以，就是住的房间家具老化了', '短评打分': 5}
{'短评内容': '多次入住，有停车场，服务也很好。', '短评打分': 5}
{'短评内容': '服务好，卫生干净。多次入住的地方。', '短评打分': 5}
{'短评内容': '服务很好！床品卫生。', '短评打分': 5}
{'短评内容': '就是非常好', '短评打分': 5}
{'短评内容': '京东真的是太棒了。太喜欢在京东买东西了。物流神速', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '价格便宜，卫生间不是很满意', '短评打分': 5}
{'短评内容': '价格便宜，卫生间不满意', '短评打分': 5}
{'短评内容': '好，非常好，', '短评打分': 5}
{'短评内容': '离办事点近，房间偏小，停车不便', '短评打分': 4}
{'短评内容': '酒店一般化，有点旧了。不过还能将就着住。位置很好，离学校特别近。', '短评打分': 2}
{'短评内容': '不错，就在公司对面，周围交通，吃都很方便', '短评打分': 5}
{'短评内容': '1、酒店毛巾简直没法用了，都黑得不行了。2、电视老是晃、wifi根本连不上，最奇葩的是居然停电，找服务员，反正就是一句话，他们也没办法！', '短评打分': 2}
{'短评内容': '有特色，价格合适，可以再来。', '短评打分': 3}
{'短评内容': '挺好的，房间超大的，感觉不错', '短评打分': 3}
{'短评内容': '酒店还算干净，价格公道，比如家之类的要好', '短评打分': 3}
{'短评内容': '酒店还不错，比如家这类的要好', '短评打分': 3}
{'短评内容': '一切都还好，厕所不太只有帘子，隔音不太好。', '短评打分': 3}
{'短评内容': '比较干净，价格也比较合适，大厅非常漂亮，就是楼上有歌厅，晚上比较嘈杂，影响休息。', '短评打分': 5}
{'短评内容': '还好，就是床不是很软。', '短评打分': 3}
{'短评内容': '----------------------太一般的酒店，--------------------------------------', '短评打分': 1}
{'短评内容': 'DP73酒店房间装修风格有特色空间大', '短评打分': 3}
{'短评内容': '＋干净整洁现代推荐', '短评打分': 3}
{'短评内容': '       酒店不错  可惜不能开机打发票 这点比较郁闷... ', '短评打分': 5}
{'短评内容': '酒店设施很一般，不值这个价，卫生间没有门，很不方便！！！！！！总之不好！！！', '短评打分': 1}
{'短评内容': '酒店不算豪华，却够温馨，装修也较现代简约。新开不长时间，到店后明确告诉顾客暂时不能开局发票，过后可以不开。房间内不提供香皂、免费矿泉水，需另购。早餐酒店也不能供应。但周边用餐的地方挺多，品尝下地方特色也不错。', '短评打分': 5}
{'短评内容': '酒店不怎么样，不能开发票，不能刷卡，环境设施很一般', '短评打分': 3}
