{'短评内容': 'Dfgghhjgfcvhloihvv', '短评打分': 5}
{'短评内容': '早餐略差', '短评打分': 5}
{'短评内容': '酒店位置很好，挺满意。早餐丰富，房间面积还大，水量很足，服务也很到位，非常感谢。', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 4}
{'短评内容': '位置離南湖很近；可用共享單車當工具。到1號地鉄還是有些距離。', '短评打分': 4}
{'短评内容': '环境蛮好的', '短评打分': 5}
{'短评内容': '早餐一般，性价比很高', '短评打分': 5}
{'短评内容': '早餐一般。性价比很高', '短评打分': 5}
{'短评内容': '6655556666665433', '短评打分': 5}
{'短评内容': '刚刚他哥哥哥哥哥哥哥哥哈哈红红火火恍恍惚惚红红火火', '短评打分': 5}
{'短评内容': '99990999998877654432211', '短评打分': 5}
{'短评内容': '8888888888888888', '短评打分': 5}
{'短评内容': '666544333467', '短评打分': 5}
{'短评内容': '，一一', '短评打分': 5}
{'短评内容': '路过，多次入住。性价比不错，茶攴厅很方便。', '短评打分': 5}
{'短评内容': '........', '短评打分': 5}
{'短评内容': '自驾过夜首选，性价比高。二楼茶点不错。', '短评打分': 5}
{'短评内容': '还是不错的感觉', '短评打分': 5}
{'短评内容': '酒店位置不错，离南湖很近，两个晚上都去南湖散步景色不错。入住的时候房间有异味，设施稍显陈旧，不过床很舒服。早餐非常一般。', '短评打分': 4}
{'短评内容': '酒店还不错，周边环境也很好，长途跋涉后能好好休息。唯一缺点就是没有早餐，不过旁边的粉店也很好吃哦。下次还会住这边。', '短评打分': 4}
{'短评内容': '连着预定了好几天，招待朋友，楼下早茶，特别便利，都很满意', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '真正的挂牌四星酒店，房间宽敞大气，地理位置优越，房间可以看到南湖，夜景非常漂亮，附近餐饮非常方便', '短评打分': 5}
{'短评内容': '真正的挂牌四星酒店，房间宽敞大气，地理位置优越，旁边就是南湖公园，周边环境闹中取静，交通便捷。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错', '短评打分': 5}
{'短评内容': '位置还好，前台服务态度不好，多问二句就给臭脸，房间比较大，装修风格很老土，洗澡水冷热不均，不值这个价，差评', '短评打分': 4}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '宽敞舒适', '短评打分': 5}
{'短评内容': '好，值得推荐.', '短评打分': 5}
{'短评内容': '.景都国大好，环境好，房大，床大床铺软，夜晚睡得好。物有所值。我住几次了。', '短评打分': 3}
{'短评内容': '酒店不错，装修很豪华，卫生很干净，服务就有好象没达到到5星记标准', '短评打分': 5}
{'短评内容': '这酒店不错啊，没有像前面说得这么夸张啊\n因为靠近南湖，环境非常好，酒店无论从大堂到客房，都是非常奢华，在南宁呆这么久，四星级酒店里面可能就这家是最好的了，感觉像五星级', '短评打分': 5}
{'短评内容': '我12点15分退的房，酒店说过了退房时间，非要我加一个小时的钟点房钱，我说一般2点前都不收费的，何况只有15分钟，服务员立刻从前台的角落里拿出一个不起眼的小牌，指着上面告诉我，这上写的很清楚，超过12点按钟点房收费，不满一小时按一小时收取。我无语。庆幸那上面写的不是半天，乖乖交了钱走人。', '短评打分': 1}
{'短评内容': '酒店大堂一般，房间还不错，酒店比较新，不错。', '短评打分': 5}
{'短评内容': '酒店的硬件还可以，但前台服务太差。前台在预定时告诉住客的后来都不认了，缺乏信用。', '短评打分': 1}
