{'短评内容': '不错，房间干净，性价比高。下次还会入住。', '短评打分': 5}
{'短评内容': '不错，房间干净，性价比高。下次还会入住。', '短评打分': 5}
{'短评内容': '还行服务还不错，十一点多了楼上还在搞装修，睡不了，后来打电话到前台换房，还好', '短评打分': 5}
{'短评内容': '＋200米外有沃尔玛', '短评打分': 3}
{'短评内容': '离我要办事的地方比较近，酒店一般般，不过娄底也没有其他什么好酒店的。', '短评打分': 5}
{'短评内容': '房间还是不错的、就是酒店久了些、价格也有些高、', '短评打分': 5}
{'短评内容': '很不错的体验，服务态度很好！餐饮也不错的！', '短评打分': 5}
{'短评内容': '没有牙膏牙刷沫浴露', '短评打分': 3}
{'短评内容': '娄底老牌三星级。在市中心 旁边有广场  比较方便，但是下面比较吵 有酒吧', '短评打分': 5}
{'短评内容': '很干净，服务员的态度很好~表扬下打扫房间的阿姨\n交通很方便，房间有点小，通风好吵', '短评打分': 5}
{'短评内容': '住的还不错，不过感觉位置相对有点点不方便，可能和我要去的地方有关系', '短评打分': 5}
{'短评内容': '交通便利，房间干净设施完好，服务态度也不错，早餐还可以。', '短评打分': 5}
{'短评内容': '服务，环境都是一流，比部分省城同星级别的酒店都要好，顶一个！~', '短评打分': 5}
{'短评内容': '卫生相当不错，房间舒适度挺好，出行交通便利，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店装修有些老旧了，卫生和服务方面还不错，能提供早餐，价格上比较便宜。', '短评打分': 3}
{'短评内容': '虽然是老酒店，但服务质量很好，用品质量也不错，价格也不贵，还是可以推荐的。', '短评打分': 5}
{'短评内容': '酒店看着挺大的，房间还不错，住的挺舒适，位置很好，出行很方便。', '短评打分': 5}
{'短评内容': '服务上挺热情的，办事也挺利索，房间挺干净，采光挺好，就是隔音需要改进。', '短评打分': 3}
{'短评内容': '环境不错，安静干净，安全性也挺高，价格还便宜，值得推荐。', '短评打分': 5}
{'短评内容': '房间装修的挺简洁，看着挺朴素，设施还算齐全，整体感觉还好。', '短评打分': 3}
{'短评内容': '酒店位于市中心，周边交通购物娱乐都挺方便，这点挺好，性价比也挺好。', '短评打分': 3}
{'短评内容': '房间的舒适度还好，卫生不错，价格挺合理，住的还算满意。', '短评打分': 5}
{'短评内容': '卫生方面不错，打扫挺干净的，周边交通挺便利，价格挺实惠的。', '短评打分': 5}
