{'短评内容': '不错。值得。', '短评打分': 5}
{'短评内容': '4分是给酒店的。但选择在京东订房绝对是我的错误。京东客服应该知道怎么回事。耽误我4小时入住，赔偿60块钱，你们的服务是多少分自己评吧', '短评打分': 4}
{'短评内容': '位置相当不错 临江 出门便是码头户部巷等景点 交通比较便利 价钱合理了 环境还不错 只是中途停了两次电 电视节目很少 半夜有人往房间里扔小卡片 挺吓人孩子看到了不好 ', '短评打分': 4}
{'短评内容': '酒店江景房风景很好，设施齐全', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置太好了，坐船过江方便，到小吃街也很近。', '短评打分': 5}
{'短评内容': '很干净整洁，价格实惠', '短评打分': 5}
{'短评内容': '确实是一间值得推荐的望江酒店，开窗即可看见长江大桥，江对岸的景色一览无遗，房间设施俱全、干净，出行便利，周边就有户部巷、黄鹤楼等著名景点，过江码头也近在咫尺，最意想不到的是房间内的几本书籍，增添了不少的人文气息。在此附上几张早午晚的景色照', '短评打分': 5}
{'短评内容': '靠江边！！！！！', '短评打分': 4}
{'短评内容': '总体来说还行', '短评打分': 5}
{'短评内容': '酒店老板还是比较用心经营的，入住房间后，可以看到房间的床前柜上摆放着几本励志书籍，可供免费阅读，另外房间还摆放着几盆绿萝，看着赏心悦目，上图片吧', '短评打分': 4}
{'短评内容': '吃东西方便，附近几分钟就是户部巷，不过以烧烤居多，本人不怎么喜欢，离景点也近，黄鹤楼，晴川阁就在附近，酒店住着挺舒适', '短评打分': 5}
{'短评内容': '住着比较舒适，离户部巷，黄鹤楼，晴川阁都较近，真心感觉不错', '短评打分': 5}
{'短评内容': '性价比很高，这个价钱的江景房很棒哦，风景嗯不错，出行也算方便，房间很大，还有摆放书可以看，总体还是非常好的。', '短评打分': 4}
{'短评内容': '无线坏了，最后硬是没人修，细节摆设都很破旧。', '短评打分': 3}
{'短评内容': '价格合适，房间还可以，江景房视野很好', '短评打分': 4}
{'短评内容': '整体不错 里面设施齐全 家的感觉 出行也方便', '短评打分': 4}
{'短评内容': '环境很好 靠近江边 床也很大 睡的很爽 出行也方便', '短评打分': 4}
{'短评内容': '还可以，酒店很有特色，喜欢他们的书', '短评打分': 4}
