{'短评内容': '性价比高，比较热闹', '短评打分': 4}
{'短评内容': '以前的房間不好，現在装修好了。還可以的。而且价格很划算。', '短评打分': 5}
{'短评内容': '前台很热情，还给我们推荐玩的地方，房间卫生不错，不过似乎周围有在道路施工，第一晚上睡觉时比较吵，但靠后的房间还好。前台还可以存放东西，走的那天早上退了房以后去玩了一上午又回来拿的东西。总之还不错，两晚上三个人房费算下来也不多，挺划算的。', '短评打分': 5}
{'短评内容': '挺好的出差经常住这里', '短评打分': 5}
{'短评内容': '酒店位置还可以，打车比较方便', '短评打分': 3}
{'短评内容': '总体还行，价格实惠', '短评打分': 4}
{'短评内容': '位置好，出行方便', '短评打分': 5}
{'短评内容': '房间给人感觉脏兮兮的，空调还是制冷默认，这是有多久没人住了。床板很硬不舒服。前台让我们把携程取消直接给他们钱。这种体验很不好。还有就是临街太吵！！', '短评打分': 1}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '替人订的，地段不错', '短评打分': 3}
{'短评内容': '老顾客了，居然一个保安的态度极差，不为客户的财产安全着想，反而与客户争吵，想到此事心寒，每次都住，都不在乎如何维护老顾客，我在想老板是如何做生意的？', '短评打分': 2}
{'短评内容': '不错哦挺开心', '短评打分': 5}
{'短评内容': '蛮好挺开心', '短评打分': 5}
{'短评内容': '还可以…卫生挺好的…服务态度好…', '短评打分': 4}
{'短评内容': '蛮好的，舒适大方，得体180分', '短评打分': 5}
