{'短评内容': '很不错的家庭旅馆', '短评打分': 4}
{'短评内容': '很棒&hellip;&hellip;卫生干净&hellip;&hellip;服务态度好', '短评打分': 5}
{'短评内容': '出行很方便。地铁三号线c出口出来右转就是成都市二院，酒店所在地就在对面，非常的好找。住宿环境很不错，设施也齐全，感觉像在家里一样。', '短评打分': 5}
{'短评内容': '非常好，推荐', '短评打分': 5}
{'短评内容': '位置超好，交通便利', '短评打分': 1}
{'短评内容': '酒店很不错 推荐大家可以去住的', '短评打分': 5}
{'短评内容': '挺好的 空调用不起也及时给我们换了房间', '短评打分': 5}
{'短评内容': '确实不错', '短评打分': 4}
{'短评内容': '住的很有家的感觉，小区环境很好，交通便利，公交站地铁站都很近，楼下有两个超市，有很多吃的', '短评打分': 5}
{'短评内容': '交通方便吃飯方便家的感覺', '短评打分': 5}
{'短评内容': '没人打扫房间，和之前比起来差的远。保洁员连垃圾都没有上来清理，还是自己提下去的。不会再来', '短评打分': 3}
{'短评内容': '在网上刚订好房间老板就打电话来确认，比约好的时间早到但工作人员态度都很好。房间也比想象中的好。', '短评打分': 3}
{'短评内容': '还不错，就是不能多睡会儿懒觉，老板退房时间把的很严', '短评打分': 5}
{'短评内容': '住得挺好 挺舒服 有家的感觉', '短评打分': 3}
{'短评内容': '房间很大、卫生没搞好、床垫太差了', '短评打分': 3}
