{'短评内容': '酒店不错，收拾干净，晚上很安静', '短评打分': 5}
{'短评内容': '周边就是旺角的地铁口，还有个大商场买东西比较方便，大厦旧些，老楼是这样了，这个价位只能住这边咯。', '短评打分': 3}
{'短评内容': '不建议居住，虽然老板态度很好，但是条件和环境真的太差了。我住的时候正好是周末，三百一晚，也不便宜啊。', '短评打分': 2}
{'短评内容': '还不错。。环境非常好。', '短评打分': 5}
{'短评内容': '地理位置比较方便，离地铁比较近，门口不起眼，有点难找，还算不错了', '短评打分': 3}
{'短评内容': '可以住...一晚没问题，地形便利', '短评打分': 5}
{'短评内容': '嗯，非常棒，下次\n还去', '短评打分': 5}
{'短评内容': '如果是家庭出游就不推荐了。香港的房间虽然都很小，但这路房间特别小，一进房间竟然有一只壁虎，挺吓人的。不过胜在周边出行方便，吃的东西也多。', '短评打分': 3}
{'短评内容': '一共住了两天，每天很晚回到住所，白天9点前就离开了。真就是睡一夜，所以和朋友挑了个四人间。所住酒店在一所大楼的18楼，从旺角C站口出来，正对着朗豪坊，购物的好去处。走五分钟就可以到达酒店大厦。服务员服务态度挺好，将房间换好干净的被单。房间不大，卫生间狭小，提供了转换插座。下楼街对面是稻香，用早茶早点方便，价格也便宜，但可惜的是服务员有点歧视陆客，因理解为不到位，竟然放上茶水，一言不发的再也不到桌边', '短评打分': 5}
{'短评内容': '香港是弹丸之地，寸土寸金。所处的地域是旺角最繁华的地方，地铁站出口正对着朗豪坊，购物方便。只有5分钟不到就到达了酒店的大厦。酒店大厦正对面是稻香，喝早茶用早点很方便，价格可以承受。和朋友一起带小孩出来主要是领略风光，要经济实惠，所以商量订4人间，上下铺。房间总体干净，提供了转换插座，所带的手机、相机都可以好好充电。有卫生间，但房间、卫生间都很狭小。有空调，但开到16度，在夏季还是感觉不到很凉爽。一', '短评打分': 5}
{'短评内容': '离旺角地铁站5分钟路程，朗豪坊就在地铁站对面，', '短评打分': 4}
{'短评内容': '地理位置很好，到旺角地铁站5分钟路程，朗豪坊就在地铁站对面', '短评打分': 4}
{'短评内容': '不错，4人房挺大的', '短评打分': 5}
