{'短评内容': '风景挺好的 也很安静 ', '短评打分': 5}
{'短评内容': '环境很好，空气特棒。服务态度也很好，有宾至如归的感觉!停车很方便，晚上安静，对睡觉环境要求高的朋友值得来。', '短评打分': 5}
{'短评内容': '有早餐，环境很好，地方也很大，整个绿化非常好，空气清新，工作人员素质很高，态度很好，还有本地特色农食品卖，哦，还有共享单车可以骑', '短评打分': 5}
{'短评内容': '酒店在市委党校里面，党校很大，环境非常不错，晚上散步好去处。美中不足的是房间小虫子多了点……可能是生态绿化比较好且靠山的原因吧。总体来说，不错！是个休闲度假疗养的好去处。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '服务太差了，明明网上定的带早餐，酒店却不提供', '短评打分': 1}
{'短评内容': '酒店自己毛巾都是黑的，好大的味道，估计没洗，也没消毒', '短评打分': 1}
{'短评内容': '房间被子都是脏的，毛巾都没洗', '短评打分': 1}
{'短评内容': '环境很好，前台也不错，安排错房之后也立即调整了。空调有点吵，不过马上要换新了。离火车站远', '短评打分': 5}
{'短评内容': '安静，，，，，，，，，', '短评打分': 3}
{'短评内容': '还是不错分 好多次了', '短评打分': 5}
{'短评内容': '还是不错分 好多次了', '短评打分': 5}
{'短评内容': '还是不错分 好多次了', '短评打分': 5}
{'短评内容': '已经评价多次，反正下次再到义乌还住这儿，别的就不多说了', '短评打分': 5}
{'短评内容': '环境非常好，去了几次都住这，只是房间尤其是单间太难订到', '短评打分': 5}
{'短评内容': '除了客房硬件稍陈旧了点，其他环境都相当好，非常安静，空气非常好', '短评打分': 5}
{'短评内容': '环境优美 服务好 就是没有电梯 有附送早餐哦 ', '短评打分': 3}
{'短评内容': '非常不错的酒店，就是位置实在是太偏了。有车的话还是可以住住的。', '短评打分': 5}
{'短评内容': '环境不错，不过离市内太远，交通不方便。', '短评打分': 3}
{'短评内容': '环境好，性价比高，不过位置太偏，没有公车，出入都要叫的士，适合有车族。', '短评打分': 5}
{'短评内容': '义乌中学旁边难得能有这种条件不错的宾馆，性价比还行，很干净，也很安静。房间也算宽敞，设施不错。', '短评打分': 5}
