{'短评内容': '在装修，住着还可以吧', '短评打分': 1}
{'短评内容': '没有早餐，的房价不错，房间安静，去机场近，很方便。不管多早都送机。所以服务和性价比很高了。真的推荐。可以住', '短评打分': 5}
{'短评内容': '接送机就是骗人的，送你是要掏钱的，不会在住，', '短评打分': 1}
{'短评内容': '酒店非常不错', '短评打分': 5}
{'短评内容': '离机场近，房间有点潮...', '短评打分': 4}
{'短评内容': '要质量肯定价位不便宜，想便宜价位的，质量肯定不行，', '短评打分': 5}
{'短评内容': '价格低就不要追求质量', '短评打分': 2}
{'短评内容': '环境差，服务差，卫生差，设施差，蟑螂多，没网络', '短评打分': 3}
{'短评内容': '我住过的最差劲的旅馆！墙角有蜈蚣、地上有臭虫，被子上点点点点的仔细一看竟然是蟑螂腿、电视机没几个台，房间一天到晚都是飞机轰鸣声，想给前台打电话却发现电话线是断的！！一切都是那么意外！', '短评打分': 1}
{'短评内容': '酒店标间还挺大 公共卫浴蚊子太多 细节上再好点就好了', '短评打分': 3}
{'短评内容': '挺便宜的', '短评打分': 5}
{'短评内容': '酒店简陋。设施老服务差。环境差。周边环境不易出行', '短评打分': 2}
{'短评内容': '酒店的接待服务很好，尤其是接送去机场，可以去机场接送两次（送一次，接一次）。整点就有车，夜里从机场去酒店，随叫随到，更是贴心，这是我们选择这里的主要原因。每年至少四次在这里入住。唯一值得改善的是卫生用品过于简陋，塑料拖鞋太脏了，有的已经坏了。没有一次性拖鞋。我们每次都是自带拖鞋的。', '短评打分': 4}
{'短评内容': '冷脏', '短评打分': 3}
{'短评内容': '服务挺好的 有接送机服务', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
