{'descr': '宾馆还是有些年代了，配套设施需要更新。', 'star': 3}
{'descr': '房间还可以，卫生间和洗浴间是分开的，这个比较好，离车站近，电视频道有点少，房间在5楼，没有电梯，总体还行。', 'star': 3}
{'descr': '一个字差', 'star': 2}
{'descr': '唯一还好的就是前台的老板特别热情，卫生，环境都一塌糊涂', 'star': 2}
{'descr': '江景房 位置好 交通便利', 'star': 5}
{'descr': '到了有人来接，服务好，房间装修可以，有家的感觉，下次回来还住这里', 'star': 5}
{'descr': '不舒服', 'star': 2}
{'descr': '一般般', 'star': 3}
{'descr': '实在是不敢恭维，凑合住吧，火车站旁，将就吧', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '服务很周到细心，房间也很干净卫生，住起来很舒适 ，很暖和，价格也比其他的要便宜很多，真是物美价廉啊，以后就住这家了，老板和服务员们都对人特别亲切', 'star': 5}
{'descr': '太差太差了', 'star': 1}
{'descr': '设施太陈旧，马路边很吵', 'star': 2}
{'descr': '再也不会来了！80多元的特价房，感觉不好，靠近马路，特别吵，有空调，没有遥控器，说是这个季节用不上。房间的被子感觉没有换洗，房间的厕所臭的，是蹲厕，没有抽风，厕所纸篓里还有纸，洗澡间也是很简陋，可能房子比较老了吧。用电不是我们自己插卡控制的，是楼层管电的大爷控制的，早上我还没起床就把电断了，脸没洗成牙没刷。我觉得80，虽然不可能跟连锁酒店比，但也不是很廉价吧？也没有必要这么抠门吧？住宿体验非常差！', 'star': 3}
{'descr': '还不错 干净 服务也好', 'star': 4}
{'descr': '太差了，不要去住', 'star': 1}
{'descr': '房间面积和网上描述的不一样，很靠江，一等间在窗口可以看到跨江大桥，很不错', 'star': 3}
{'descr': ' 初到重庆,住的非常温馨,老板热情,感受到重庆人的火热,酒店性价比高,交通也方便,出门竟然就有好多公交车,祝酒店越办越好', 'star': 3}
{'descr': '优点：\n1、价格便宜。\n2、交通方便。\n3、服务态度好。\n缺点：\n1、设备陈旧。\n2、马路噪音大。 \n3、卫生条件不好。\n\n', 'star': 1}
{'descr': '总体来说还凑合吧，酒店所在位置给人感觉有点不放心，距长途车站不到两站地，江景的房间下面就是水果批发市场。还好旁边是消防队，几百米外的马路对面有个派出所。房间还算比较干净，面积挺大的，可是窗户有点关不严，不知道夏天会不会进蚊子。电热水器24小时有热水，至于卫生间嘛。。。有日子没用蹲便了。。。盥洗室和卫生间是分开的。另外，房间都在4-5层没有电梯，年轻朋友还可以吧，不建议岁数大朋友去住。给我的感觉跟招', 'star': 5}
{'descr': ' 居住条件好,服务质量高,性价比不错,下次还会再来的', 'star': 3}
{'descr': '卫生还可以，就是条件差了点，都是以前的老东西，陈旧，不过价格合适。我早上退房没有发票，没有2元零头找。', 'star': 5}
{'descr': '不错，价格挺便宜的，朋友去住的没听说不好', 'star': 5}
{'descr': '位置还是不错的，如果只是路过重庆的话，对于外地人来，到哪都比较方便', 'star': 5}
{'descr': '嗯，总体觉得还满意，干净卫生！', 'star': 3}
{'descr': '价格合理，只是没有电梯，和价格联系起来还是可以接受的', 'star': 5}
{'descr': '房间一般环景比较差', 'star': 3}
{'descr': '实在便宜，对住宿条件要求不高的学生族可以考虑。', 'star': 5}
{'descr': '比较干净安全，但如果要求过高的人最好花大价钱去住星级酒店！个人认为性价比挺高的，交通方便！', 'star': 5}
{'descr': '酒店的设备有点陈旧了，希望能及时更新，这样可以吸引更多的回头客。', 'star': 5}
{'descr': '设施陈旧,不要选择临街面。', 'star': 3}
{'descr': '服务态度还好，尚算干净，但房间很单薄，外面是闹市', 'star': 1}
{'descr': '条件一般，只是便宜', 'star': 3}
{'descr': '特价房很一般,建议不要去住,唯一的就是房间大点.', 'star': 1}
{'descr': '哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎哎', 'star': 1}
{'descr': '装修太老', 'star': 3}
{'descr': '酒店比较简陋，但是也十分便宜，距离车站很近，方便，没有电子门锁，感觉不安全', 'star': 1}
{'descr': '环境太吵，本是看很便宜才去住的，最后还不值这个价钱，设施也太破旧，房间卫生不好。。。', 'star': 1}
{'descr': '很老很久，很吵。去了一次再也不想去第二次了\n', 'star': 1}
{'descr': '服务人员着装整齐，说话很客气，服务很周到，这点很满意。', 'star': 3}
{'descr': '卫生打扫的挺好，硬件设施有些欠缺，服务态度挺热情，整体感觉还好。', 'star': 3}
{'descr': '酒店还不错，挺干净的，服务也挺好，价格还比较合适。', 'star': 5}
{'descr': '服务态度挺好，房间挺干净整洁，设施有些陈旧了，出行还比较方便，总体感觉还不错。', 'star': 5}
{'descr': '优点：离火车站汽车站近，房间面积大，能上网，价格便宜。\n不足：设施过于陈旧，服务一般；出门都不给房间钥匙，得由服务员开门，极其不便；房间空调坏了，只能使用电热毯；房间隔音效果很差，一晚上汽车噪音不断，不适合睡眠浅的人。', 'star': 5}
{'descr': '位置不错，交通挺便利，附近餐馆也挺多，吃饭也挺方便的。', 'star': 3}
