{'descr': '设施比较陈旧，2月份住有些冷！', 'star': 4}
{'descr': '价格有点小贵,但是可以推荐.条件不错,交通因地铁修建,开车去的还行.总之不错.', 'star': 5}
{'descr': '在市中心，交通方便，宽敞的床铺，睡得比较舒服，但是卫生间始终有怪味。如自助游的话，建议住此宾馆，离各个景区都较近。无需打的，公交方便。但自己要先做足功课，宾馆前台都是推荐上旅行社。', 'star': 5}
{'descr': '不错，住的很温馨。离市区又近，又方便。下次还会再继续住。', 'star': 5}
{'descr': '房间舒适，地理位置好，布置整洁，服务态度好', 'star': 5}
{'descr': '入住感觉不错，态度也好，就是电脑不咋滴，美中不足啊，但总体感觉不错', 'star': 3}
{'descr': '非常好的酒店,一直很喜欢来苏州, 这里住行吃都方便的一塌糊涂', 'star': 5}
{'descr': '交通算便利，離步行接不遠，周邊比較安靜，入住的商務大床房，熱水有點不夠熱而已，其他還行。', 'star': 5}
{'descr': '房间很大，环境还可以，就是水太冷了，空调也有些不太给力，希望下次能有所改进，总的来说还是可以的', 'star': 3}
{'descr': '套房 房間蠻大的，但沒看到棋牌桌，不過我也沒問就是了，交通算方便，離步行街不遠，蠻不錯的酒店。', 'star': 5}
{'descr': '还可以，就是刚刚进去有点味道，其他还好', 'star': 3}
{'descr': '酒店位置在市中心，购物，出行很方便。酒店管理很好，早餐也比较丰富。', 'star': 5}
{'descr': '非常不错＇设施很新＇划算', 'star': 3}
{'descr': '很干净的酒店，位置也很好。很喜欢，一直住那里.', 'star': 5}
{'descr': '竟然一天停了几次电，害得我爬了两次12楼。而且我预定的是标间，去了却告诉我只有一间标间，另一间用家庭间代替。反正我觉得服务还有待进一步改进！', 'star': 1}
{'descr': '很好，很人性化的服务，环境也不错，只不过门开的位置有些偏。', 'star': 5}
{'descr': '里面布置很一般，没有什么商务的感觉，卫生也不是很好，门口在修路，全是土。结合价格来看，勉强凑合。', 'star': 1}
{'descr': '很不错的酒店，已经多次入住了。离石路步行街很近，停车也超级方便，下次有可能还会继续入住的', 'star': 5}
{'descr': '交通不是很方便。也不能寄存东西。酒店还挺大。可以去别的分店！', 'star': 1}
{'descr': '交通便利，酒店周围商家很多，买东西很方便。酒店前台也很热情。就是隔音有一点小差。', 'star': 5}
{'descr': '位置还好，距离各个景点都差不多远，房间很大，挺好', 'star': 5}
{'descr': '由于苏州市中心全部都在建设，修路、修地铁，不太好找，停车场不是很大，里面还算干净、安静，周围步行可以到七里山塘街、观前街，逛夜景。下面有一家苏州特色面老店，排骨双交面很好吃，只不过苏州甜食太多，居然连吃面都是甜味的，哈哈', 'star': 5}
{'descr': '由于苏州市中心全部都在建设，修路、修地铁，不太好找，停车场不是很大，里面还算干净、安静，周围步行可以到七里山塘街、观前街，逛夜景。', 'star': 5}
{'descr': '总体不错，就是周围修路，不太好找。\n另外房间内厕纸送的不及时，服务好象还要跟上！', 'star': 5}
{'descr': '房间里算是比较干净的。位置很方便，出门就有一家新开的“新苏天地”，步行街和山塘走路也就几分钟。只是周围在建地铁和拆迁，所以有些乱。出租车非常难打，还好周围的公交车都比较方便。', 'star': 5}
{'descr': '位置不错，离留园、拙政园、观前街都挺近，房间也挺大，服务也还好', 'star': 5}
{'descr': '房间价位很值，设施完备，只是卫生打扫的不太干净…', 'star': 3}
{'descr': '还可以。就是没有无线网络，希望下次去路可以修好了', 'star': 5}
{'descr': '预订的是三人间，环境不错，卫生很好，主要是离苏州汽车南站比较近。不过就是卫生间的洗手盆在外面，溅出来的水容易弄湿地板，淋浴空间很小，而且用的是浴帘，很容易弄湿地板。房间的环境很喜欢！', 'star': 5}
{'descr': '去的时候有点晚了，电话给酒店保留房间，酒店的服务态度很好，换了商务房，有电脑，不错，房间也很干净不错。外面就是石路，很热闹的。', 'star': 5}
{'descr': '住的是豪华标间，床是2张1.5米的，房间也大。住得蛮舒服的。\n旁边就有一间商场，有吃饭，逛逛都蛮好的。', 'star': 5}
{'descr': '＋总体还行就是厕所有异味', 'star': 3}
{'descr': 'gooddddddddddddddddddddddddddddddddddddddddddddddddd', 'star': 5}
{'descr': '酒店位置好，交通方便，室内装修不错，房间也宽敞，酒店人员的服务态度特别好，很礼貌，总体很好，还会继续住这个的连锁店。', 'star': 5}
{'descr': '房间比较安静，热水充足，水量较大，地处市中心较近，购物比较方便，网速较慢。', 'star': 5}
{'descr': '空间大，安静，但地毯有点脏，被子有点味道，最主要电视没几个台，连五套体育频道都没', 'star': 3}
{'descr': '＋性价比高，就是床太硬。', 'star': 3}
{'descr': '硬件还行，软件一般，对得起这个价格，随便住住的推荐', 'star': 5}
{'descr': '酒店卫生还算不错，环境也很好，就是位置不太好，在新苏天地后面，周围在大搞建设，不好找，走路也不方便。性价比不怎么样。', 'star': 1}
{'descr': '多次入住了，非常不错，希望价格能在下调点就更好了。', 'star': 5}
{'descr': '我是会员，到苏州每次来这里，就是早餐稍微差点', 'star': 5}
{'descr': '周围施工给带来了不少不便，但是离步行街很近，挺方便', 'star': 5}
{'descr': '一直在这里住，虽然周围一直在装修，但这里还算安静吧，服务也不错', 'star': 5}
{'descr': '很赞的酒店。首先离石路步行街很近，购物吃喝相当方便，走到石路就是公交车直通各大景点。其次酒店房间很宽敞很舒适，简直超值享受。前台服务员态度很好，下雨天还帮我们电话叫出租车。退房后行李可以免费寄存3天，这也是很赞的地方。', 'star': 5}
{'descr': '地理位置不错,服务态度也不错,就是毛巾和地毯旧了些,等地铁完工后,周边环境肯定会好的.', 'star': 5}
{'descr': '还是之前那样吧，就是周围施工的面积更大了，吃饭方便，还不错', 'star': 5}
{'descr': '酒店很上档，环境服务都不错了 除了不给延时退房', 'star': 5}
{'descr': '感觉不错，交通还算方便，房间还行，只能说对得起220这个价格', 'star': 5}
{'descr': '这家酒店环境室内环境很好，空间也很大，但是我去的时候正赶上酒店周边有地方施工，声音很大，搞得晚上睡不好。', 'star': 5}
{'descr': '还可以。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店不错！位置很好，非常安静，性价比高！推荐居住。', 'star': 5}
{'descr': '價格合理,地點熱鬧,食得方便,夜遊更佳.', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '总体讲不错，酒店设施很好。离商业街也很近，住过几次了。', 'star': 5}
{'descr': '感觉不锗', 'star': 3}
{'descr': '房价挺大的。就是卫生间稍稍小了点。服务态度蛮好。打扫房价的阿姨态度也很好的噶~~~~~', 'star': 5}
{'descr': '交通比较方便,临近步行街可以随便逛逛,房间卫生也不错 就是稍微有些味道 得多开窗通风.', 'star': 5}
{'descr': '挺不错的。。。。。。。。。。。。。。。。。', 'star': 5}
