{'短评内容': '还可以就是空调不太好用', '短评打分': 5}
{'短评内容': '没有早餐额', '短评打分': 2}
{'短评内容': '确实有点差', '短评打分': 1}
{'短评内容': '还不错哦噢噢噢', '短评打分': 5}
{'短评内容': '环境挺好，交通便利', '短评打分': 5}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很吵，很吵很吵！！！！', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '连住了三天 还是不错的！', '短评打分': 5}
{'短评内容': '还是不错的 下次还会入住！', '短评打分': 5}
{'短评内容': '房间环境清洁挺不错，还实惠', '短评打分': 3}
{'短评内容': '还不错…就是半夜有点小闹…', '短评打分': 3}
{'短评内容': '还可以马马虎虎，还可以马马虎虎还可以马马虎虎', '短评打分': 3}
